"",BBK01.CEBQ0I,BBK01.CEBQ0I_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:04,
1991-01,150.4,
1991-04,155.6,
1991-07,165.8,
1991-10,177.3,
1992-01,191.7,
1992-04,199.7,
1992-07,210.9,
1992-10,205.0,
1993-01,218.1,
1993-04,223.5,
1993-07,225.4,
1993-10,235.0,
1994-01,243.8,
1994-04,232.0,
1994-07,218.6,
1994-10,190.2,
1995-01,182.9,
1995-04,172.9,
1995-07,168.1,
1995-10,154.6,
1996-01,153.3,
1996-04,146.0,
1996-07,140.2,
1996-10,130.6,
1997-01,130.9,
1997-04,126.8,
1997-07,124.1,
1997-10,124.5,
1998-01,124.8,
1998-04,122.3,
1998-07,123.2,
1998-10,128.9,
1999-01,134.3,
1999-04,126.9,
1999-07,122.1,
1999-10,126.1,
2000-01,122.3,
2000-04,123.2,
2000-07,129.0,
2000-10,135.3,
2001-01,143.8,
2001-04,147.2,
2001-07,150.6,
2001-10,151.0,
2002-01,147.0,
2002-04,142.3,
2002-07,140.3,
2002-10,140.4,
2003-01,134.8,
2003-04,128.6,
2003-07,123.4,
2003-10,117.9,
2004-01,113.2,
2004-04,107.3,
2004-07,103.4,
2004-10,104.4,
2005-01,98.5,
2005-04,96.8,
2005-07,96.2,
2005-10,100.1,
2006-01,103.7,
2006-04,105.8,
2006-07,117.1,
2006-10,128.0,
2007-01,136.2,
2007-04,144.2,
2007-07,162.3,
2007-10,185.1,
2008-01,201.5,
2008-04,218.7,
2008-07,238.6,
2008-10,263.7,
2009-01,213.8,
2009-04,188.4,
2009-07,156.8,
2009-10,130.4,
2010-01,114.0,
2010-04,107.9,
2010-07,102.1,
2010-10,104.5,
2011-01,100.8,
2011-04,104.8,
2011-07,110.7,
2011-10,113.5,
2012-01,115.2,
2012-04,113.8,
2012-07,108.4,
2012-10,100.6,
2013-01,94.4,
2013-04,90.5,
2013-07,84.7,
2013-10,82.8,
2014-01,82.2,
