"",BBSF2.M.1.S.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
1987-07,-,Nothing exists
1987-08,-,Nothing exists
1987-09,-,Nothing exists
1987-10,-,Nothing exists
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,23,
1995-09,34,
1995-10,39,
1995-11,413,
1995-12,270,
1996-01,152,
1996-02,152,
1996-03,112,
1996-04,81,
1996-05,83,
1996-06,85,
1996-07,48,
1996-08,54,
1996-09,45,
1996-10,16,
1996-11,16,
1996-12,1,
1997-01,1,
1997-02,1,
1997-03,2,
1997-04,3,
1997-05,4,
1997-06,4,
1997-07,4,
1997-08,9,
1997-09,37,
1997-10,42,
1997-11,42,
1997-12,39,
1998-01,57,
1998-02,53,
1998-03,50,
1998-04,48,
1998-05,40,
1998-06,38,
1998-07,44,
1998-08,42,
1998-09,42,
1998-10,51,
1998-11,51,
1998-12,58,
1999-01,54,
1999-02,62,
1999-03,64,
1999-04,81,
1999-05,83,
1999-06,94,
1999-07,85,
1999-08,80,
1999-09,84,
1999-10,90,
1999-11,90,
1999-12,90,
2000-01,94,
2000-02,95,
2000-03,96,
2000-04,91,
2000-05,98,
2000-06,98,
2000-07,97,
2000-08,99,
2000-09,100,
2000-10,99,
2000-11,85,
2000-12,85,
2001-01,548,
2001-02,548,
2001-03,551,
2001-04,576,
2001-05,585,
2001-06,582,
2001-07,580,
2001-08,584,
2001-09,581,
2001-10,595,
2001-11,597,
2001-12,565,
2002-01,907,
2002-02,970,
2002-03,991,
2002-04,1000,
2002-05,866,
2002-06,875,
2002-07,875,
2002-08,1080,
2002-09,1082,
2002-10,1112,
2002-11,1104,
2002-12,1093,
2003-01,1094,
2003-02,1097,
2003-03,1096,
2003-04,1099,
2003-05,1092,
2003-06,1067,
2003-07,1123,
2003-08,1308,
2003-09,1303,
2003-10,1424,
2003-11,1411,
2003-12,1406,
2004-01,1384,
2004-02,1434,
2004-03,1532,
2004-04,1527,
2004-05,1758,
2004-06,1780,
2004-07,1773,
2004-08,1739,
2004-09,1775,
2004-10,1742,
2004-11,1682,
2004-12,1686,
2005-01,1653,
2005-02,1642,
2005-03,1630,
2005-04,1643,
2005-05,1646,
2005-06,1708,
2005-07,1685,
2005-08,1773,
2005-09,1860,
2005-10,1890,
2005-11,1877,
2005-12,1802,
2006-01,1766,
2006-02,1758,
2006-03,1736,
2006-04,1733,
2006-05,1610,
2006-06,1610,
2006-07,1622,
2006-08,1603,
2006-09,1515,
2006-10,1536,
2006-11,1523,
2006-12,1501,
2007-01,1506,
2007-02,1505,
2007-03,1503,
2007-04,1502,
2007-05,2202,
2007-06,2248,
2007-07,2248,
2007-08,2215,
2007-09,2495,
2007-10,2420,
2007-11,2493,
2007-12,2434,
2008-01,2369,
2008-02,2334,
2008-03,2272,
2008-04,2318,
2008-05,2394,
2008-06,2346,
2008-07,2320,
2008-08,2298,
2008-09,2154,
2008-10,2006,
2008-11,1926,
2008-12,1841,
2009-01,1836,
2009-02,1785,
2009-03,1716,
2009-04,1697,
2009-05,1675,
2009-06,1697,
2009-07,2025,
2009-08,1860,
2009-09,1467,
2009-10,1418,
2009-11,1404,
2009-12,1351,
2010-01,1363,
2010-02,1278,
2010-03,1664,
2010-04,1626,
2010-05,1504,
2010-06,1481,
2010-07,1327,
2010-08,1518,
2010-09,1465,
2010-10,1415,
2010-11,1198,
2010-12,1183,
2011-01,1203,
2011-02,1203,
2011-03,1213,
2011-04,1221,
2011-05,1245,
2011-06,1222,
2011-07,1305,
2011-08,1341,
2011-09,1365,
2011-10,1364,
2011-11,1389,
2011-12,1393,
2012-01,1402,
2012-02,1403,
2012-03,1421,
2012-04,1418,
2012-05,1407,
2012-06,1417,
2012-07,1472,
2012-08,1083,
2012-09,1080,
2012-10,1478,
2012-11,1487,
2012-12,1464,
2013-01,1459,
2013-02,1583,
2013-03,1635,
2013-04,1633,
2013-05,1530,
2013-06,1147,
2013-07,1206,
2013-08,1206,
2013-09,871,
2013-10,646,
2013-11,642,
2013-12,134,
2014-01,139,
2014-02,138,
2014-03,128,
2014-04,128,
2014-05,127,
2014-06,127,
2014-07,125,
2014-08,126,
2014-09,145,
2014-10,141,
2014-11,145,
