"",BBK01.CELB0J,BBK01.CELB0J_FLAGS
"",long-term debt securities debtor: Total                               creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:45,
1999-01,4.1,
1999-04,-1.2,
1999-07,-1.1,
1999-10,-4.8,
2000-01,0.3,
2000-04,4.6,
2000-07,10.1,
2000-10,-12.0,
2001-01,-9.3,
2001-04,-5.5,
2001-07,5.8,
2001-10,14.3,
2002-01,-12.3,
2002-04,6.2,
2002-07,-2.4,
2002-10,20.0,
2003-01,4.8,
2003-04,-0.6,
2003-07,3.3,
2003-10,10.0,
2004-01,12.1,
2004-04,9.8,
2004-07,12.4,
2004-10,-3.0,
2005-01,11.2,
2005-04,2.1,
2005-07,4.6,
2005-10,-1.8,
2006-01,7.8,
2006-04,11.2,
2006-07,11.0,
2006-10,5.9,
2007-01,18.1,
2007-04,11.3,
2007-07,5.0,
2007-10,-8.2,
2008-01,-6.8,
2008-04,5.0,
2008-07,-0.3,
2008-10,-22.7,
2009-01,-6.0,
2009-04,-4.5,
2009-07,0.7,
2009-10,-1.9,
2010-01,-3.3,
2010-04,-5.0,
2010-07,-0.3,
2010-10,-3.5,
2011-01,1.0,
2011-04,1.2,
2011-07,-3.1,
2011-10,-2.2,
2012-01,-2.8,
2012-04,-2.8,
2012-07,-4.8,
2012-10,-6.8,
2013-01,-6.8,
2013-04,-6.2,
2013-07,-2.1,
2013-10,-2.3,
2014-01,-2.2,
2014-04,-2.4,
2014-07,-7.1,
