"",BBAI3.Q.DE.N.V.LE.F332B.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:27,
2005-10,60761,
2006-01,61181,
2006-04,62115,
2006-07,63740,
2006-10,57041,
2007-01,59866,
2007-04,56558,
2007-07,58134,
2007-10,58007,
2008-01,55766,
2008-04,54395,
2008-07,54197,
2008-10,57576,
2009-01,53950,
2009-04,59184,
2009-07,63191,
2009-10,64990,
2010-01,72881,
2010-04,76657,
2010-07,78448,
2010-10,76555,
2011-01,78794,
2011-04,84198,
2011-07,87146,
2011-10,87444,
2012-01,94290,
2012-04,100748,
2012-07,110305,
2012-10,115388,
2013-01,122123,
2013-04,125518,
2013-07,128481,
2013-10,131547,
2014-01,134403,
2014-04,143989,
2014-07,153659,
