"",BBK01.CELO0K,BBK01.CELO0K_FLAGS
"",Other deposits                                                 debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:50,
1999-01,8.5,
1999-04,1.3,
1999-07,6.4,
1999-10,7.1,
2000-01,10.4,
2000-04,2.2,
2000-07,0.7,
2000-10,3.1,
2001-01,5.3,
2001-04,2.5,
2001-07,3.2,
2001-10,1.5,
2002-01,3.5,
2002-04,-0.2,
2002-07,2.6,
2002-10,5.3,
2003-01,7.4,
2003-04,0.1,
2003-07,4.2,
2003-10,1.2,
2004-01,9.7,
2004-04,6.3,
2004-07,6.4,
2004-10,8.4,
2005-01,10.9,
2005-04,-0.2,
2005-07,1.3,
2005-10,-1.6,
2006-01,7.7,
2006-04,7.2,
2006-07,7.3,
2006-10,1.7,
2007-01,11.7,
2007-04,8.4,
2007-07,4.8,
2007-10,9.5,
2008-01,9.5,
2008-04,2.1,
2008-07,-0.7,
2008-10,-0.2,
2009-01,9.0,
2009-04,0.9,
2009-07,2.7,
2009-10,-1.7,
2010-01,1.4,
2010-04,-4.1,
2010-07,-2.2,
2010-10,-1.8,
2011-01,3.7,
2011-04,1.4,
2011-07,2.1,
2011-10,-3.9,
2012-01,-1.4,
2012-04,-3.3,
2012-07,0.1,
2012-10,-5.8,
2013-01,-6.5,
2013-04,-1.8,
2013-07,-6.7,
2013-10,-3.0,
2014-01,-4.1,
2014-04,-2.3,
2014-07,-4.0,
