"",BBK01.CEHFX0,BBK01.CEHFX0_FLAGS
"",longer-term loans debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:10,
1991-01,0.6,
1991-04,0.1,
1991-07,-0.1,
1991-10,0.8,
1992-01,0.2,
1992-04,0.4,
1992-07,0.4,
1992-10,1.6,
1993-01,0.3,
1993-04,0.5,
1993-07,-0.1,
1993-10,1.5,
1994-01,2.4,
1994-04,-0.3,
1994-07,0.0,
1994-10,1.4,
1995-01,0.6,
1995-04,1.2,
1995-07,0.7,
1995-10,0.2,
1996-01,0.6,
1996-04,0.7,
1996-07,1.5,
1996-10,0.9,
1997-01,0.1,
1997-04,0.2,
1997-07,2.0,
1997-10,1.1,
1998-01,2.1,
1998-04,6.7,
1998-07,-0.6,
1998-10,3.2,
1999-01,1.1,
1999-04,3.1,
1999-07,0.8,
1999-10,3.3,
2000-01,5.3,
2000-04,2.1,
2000-07,2.6,
2000-10,47.8,
2001-01,8.5,
2001-04,3.9,
2001-07,14.2,
2001-10,8.6,
2002-01,1.3,
2002-04,17.2,
2002-07,5.2,
2002-10,12.3,
2003-01,-5.3,
2003-04,4.2,
2003-07,6.9,
2003-10,-14.5,
2004-01,-23.9,
2004-04,4.6,
2004-07,-1.6,
2004-10,-12.3,
2005-01,4.1,
2005-04,3.5,
2005-07,1.2,
2005-10,4.5,
2006-01,10.1,
2006-04,8.7,
2006-07,5.1,
2006-10,2.7,
2007-01,-3.9,
2007-04,0.3,
2007-07,6.9,
2007-10,-6.0,
2008-01,10.1,
2008-04,3.3,
2008-07,9.4,
2008-10,15.4,
2009-01,6.6,
2009-04,8.2,
2009-07,10.6,
2009-10,2.6,
2010-01,13.5,
2010-04,9.1,
2010-07,0.5,
2010-10,11.6,
2011-01,0.1,
2011-04,-4.1,
2011-07,3.7,
2011-10,-1.9,
2012-01,5.6,
2012-04,5.4,
2012-07,-2.4,
2012-10,-7.5,
2013-01,1.1,
2013-04,0.4,
2013-07,-3.0,
2013-10,4.4,
2014-01,1.2,
