"",BBQFS.M.U2.CORP.EST_PE_ES50._X.0000,BBQFS.M.U2.CORP.EST_PE_ES50._X.0000_FLAGS
"",Expected price-to-earnings ratio Euro Stoxx 50 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:23,
2005-04,12.15,
2005-05,12.53,
2005-06,12.76,
2005-07,13.21,
2005-08,12.76,
2005-09,13.34,
2005-10,12.76,
2005-11,12.91,
2005-12,13.41,
2006-01,12.90,
2006-02,13.00,
2006-03,13.22,
2006-04,13.21,
2006-05,12.19,
2006-06,12.11,
2006-07,12.24,
2006-08,12.51,
2006-09,12.77,
2006-10,12.90,
2006-11,12.77,
2006-12,13.16,
2007-01,12.70,
2007-02,12.44,
2007-03,12.69,
2007-04,13.35,
2007-05,13.51,
2007-06,13.39,
2007-07,12.79,
2007-08,12.59,
2007-09,12.79,
2007-10,13.02,
2007-11,12.72,
2007-12,12.78,
2008-01,10.39,
2008-02,10.34,
2008-03,10.27,
2008-04,10.97,
2008-05,10.97,
2008-06,9.84,
2008-07,10.03,
2008-08,10.12,
2008-09,9.22,
2008-10,8.27,
2008-11,8.14,
2008-12,8.56,
2009-01,8.30,
2009-02,8.06,
2009-03,9.14,
2009-04,11.04,
2009-05,11.73,
2009-06,11.57,
2009-07,12.86,
2009-08,13.54,
2009-09,13.77,
2009-10,13.13,
2009-11,13.37,
2009-12,14.06,
2010-01,11.07,
2010-02,10.94,
2010-03,11.82,
2010-04,11.19,
2010-05,10.15,
2010-06,10.05,
2010-07,10.68,
2010-08,10.01,
2010-09,10.60,
2010-10,10.90,
2010-11,10.00,
2010-12,10.55,
2011-01,10.17,
2011-02,10.46,
2011-03,10.20,
2011-04,10.62,
2011-05,10.07,
2011-06,10.13,
2011-07,9.72,
2011-08,8.55,
2011-09,8.21,
2011-10,9.29,
2011-11,9.31,
2011-12,9.29,
2012-01,9.41,
2012-02,9.96,
2012-03,9.92,
2012-04,9.35,
2012-05,8.62,
2012-06,9.57,
2012-07,9.92,
2012-08,10.56,
2012-09,10.71,
2012-10,10.94,
2012-11,11.31,
2012-12,11.68,
2013-01,11.29,
2013-02,11.15,
2013-03,11.16,
2013-04,11.83,
2013-05,12.19,
2013-06,11.54,
2013-07,12.50,
2013-08,12.47,
2013-09,13.29,
2013-10,14.26,
2013-11,14.46,
2013-12,14.57,
2014-01,12.92,
2014-02,13.73,
2014-03,13.90,
2014-04,14.29,
2014-05,14.60,
2014-06,14.61,
2014-07,14.31,
2014-08,14.37,
2014-09,14.67,
2014-10,14.25,
"",Source: Bloomberg,
"",Methodology: Based on consensus estimates of earnings per share for the next four quarters.,
