"",BBK01.CEB20B,BBK01.CEB20B_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:36,
1991-01,158.6,
1991-04,160.3,
1991-07,162.7,
1991-10,164.4,
1992-01,170.1,
1992-04,171.5,
1992-07,173.2,
1992-10,176.4,
1993-01,184.0,
1993-04,187.2,
1993-07,192.2,
1993-10,197.2,
1994-01,209.5,
1994-04,215.6,
1994-07,221.7,
1994-10,225.6,
1995-01,236.3,
1995-04,243.3,
1995-07,250.4,
1995-10,256.8,
1996-01,268.2,
1996-04,278.1,
1996-07,285.5,
1996-10,288.8,
1997-01,296.9,
1997-04,302.3,
1997-07,304.7,
1997-10,310.9,
1998-01,319.6,
1998-04,322.7,
1998-07,325.5,
1998-10,327.6,
1999-01,339.1,
1999-04,341.2,
1999-07,349.9,
1999-10,361.2,
2000-01,372.6,
2000-04,374.7,
2000-07,374.2,
2000-10,381.4,
2001-01,386.3,
2001-04,390.3,
2001-07,394.4,
2001-10,399.0,
2002-01,401.4,
2002-04,402.3,
2002-07,407.0,
2002-10,416.3,
2003-01,427.5,
2003-04,427.8,
2003-07,430.5,
2003-10,432.0,
2004-01,445.7,
2004-04,450.2,
2004-07,461.0,
2004-10,467.6,
2005-01,484.6,
2005-04,484.3,
2005-07,484.7,
2005-10,485.0,
2006-01,494.5,
2006-04,502.8,
2006-07,511.6,
2006-10,520.1,
2007-01,529.4,
2007-04,541.1,
2007-07,545.2,
2007-10,558.7,
2008-01,570.3,
2008-04,573.1,
2008-07,572.5,
2008-10,574.7,
2009-01,588.8,
2009-04,586.6,
2009-07,590.7,
2009-10,588.9,
2010-01,587.9,
2010-04,582.4,
2010-07,577.2,
2010-10,570.8,
2011-01,576.3,
2011-04,578.7,
2011-07,582.0,
2011-10,576.2,
2012-01,572.6,
2012-04,568.8,
2012-07,566.3,
2012-10,560.3,
2013-01,560.2,
2013-04,554.4,
2013-07,546.7,
2013-10,539.8,
2014-01,541.1,
