"",BBAI3.Q.DE.N.V.LE.F332B.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:43,
2005-10,12724,
2006-01,13572,
2006-04,13701,
2006-07,12691,
2006-10,11984,
2007-01,14499,
2007-04,13329,
2007-07,12877,
2007-10,11697,
2008-01,13244,
2008-04,12798,
2008-07,12333,
2008-10,12185,
2009-01,13598,
2009-04,14594,
2009-07,15172,
2009-10,15151,
2010-01,17943,
2010-04,17824,
2010-07,16601,
2010-10,15899,
2011-01,17737,
2011-04,17284,
2011-07,16841,
2011-10,20594,
2012-01,25745,
2012-04,25150,
2012-07,25143,
2012-10,26075,
2013-01,32712,
2013-04,30485,
2013-07,29032,
2013-10,30229,
2014-01,38046,
2014-04,37115,
2014-07,36461,
