"",BBK01.CEHA03,BBK01.CEHA03_FLAGS
"",Money market paper debtor: All sectors                   creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:49,
1991-01,-0.7,
1991-04,-0.2,
1991-07,-2.4,
1991-10,0.9,
1992-01,-2.2,
1992-04,-0.7,
1992-07,5.2,
1992-10,-5.8,
1993-01,5.7,
1993-04,-4.6,
1993-07,-0.8,
1993-10,1.2,
1994-01,-1.6,
1994-04,-2.9,
1994-07,-0.4,
1994-10,3.9,
1995-01,-1.4,
1995-04,-0.2,
1995-07,0.1,
1995-10,1.2,
1996-01,-0.8,
1996-04,-0.8,
1996-07,0.4,
1996-10,2.9,
1997-01,0.6,
1997-04,-1.6,
1997-07,0.7,
1997-10,-1.4,
1998-01,2.0,
1998-04,0.7,
1998-07,0.0,
1998-10,6.0,
1999-01,1.3,
1999-04,0.8,
1999-07,6.2,
1999-10,8.7,
2000-01,1.4,
2000-04,2.1,
2000-07,0.3,
2000-10,0.8,
2001-01,-3.0,
2001-04,-6.2,
2001-07,-1.6,
2001-10,-9.5,
2002-01,2.1,
2002-04,-0.2,
2002-07,6.2,
2002-10,-2.8,
2003-01,4.6,
2003-04,-1.5,
2003-07,-1.4,
2003-10,-0.7,
2004-01,-2.4,
2004-04,3.5,
2004-07,6.7,
2004-10,-2.3,
2005-01,-4.2,
2005-04,-0.1,
2005-07,4.6,
2005-10,-0.3,
2006-01,2.7,
2006-04,7.5,
2006-07,-0.8,
2006-10,-1.1,
2007-01,8.4,
2007-04,6.8,
2007-07,7.3,
2007-10,23.2,
2008-01,3.3,
2008-04,18.1,
2008-07,1.7,
2008-10,-4.9,
2009-01,-28.8,
2009-04,-11.2,
2009-07,-4.2,
2009-10,6.1,
2010-01,-5.1,
2010-04,5.1,
2010-07,-3.3,
2010-10,-1.1,
2011-01,-0.1,
2011-04,-0.5,
2011-07,-4.1,
2011-10,-16.5,
2012-01,3.0,
2012-04,-2.7,
2012-07,-2.7,
2012-10,-5.4,
2013-01,-1.1,
2013-04,1.2,
2013-07,0.2,
2013-10,-0.8,
2014-01,1.7,
