"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,8.683,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,9.874,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,9.250,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,16.319,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,22.577,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,28.251,
1982-10,28.479,
1982-11,28.727,
1982-12,25.485,
1983-01,27.867,
1983-02,28.092,
1983-03,27.515,
1983-04,26.955,
1983-05,26.610,
1983-06,26.736,
1983-07,26.976,
1983-08,27.035,
1983-09,26.167,
1983-10,26.802,
1983-11,27.021,
1983-12,24.682,
1984-01,25.955,
1984-02,26.802,
1984-03,26.386,
1984-04,26.626,
1984-05,26.661,
1984-06,26.493,
1984-07,27.187,
1984-08,27.905,
1984-09,27.333,
1984-10,27.559,
1984-11,28.274,
1984-12,25.170,
1985-01,25.516,
1985-02,25.955,
1985-03,25.291,
1985-04,25.549,
1985-05,25.616,
1985-06,25.921,
1985-07,26.022,
1985-08,26.697,
1985-09,25.979,
1985-10,25.719,
1985-11,25.772,
1985-12,23.118,
1986-01,24.522,
1986-02,24.283,
1986-03,23.798,
1986-04,23.111,
1986-05,22.499,
1986-06,21.887,
1986-07,21.517,
1986-08,21.393,
1986-09,20.954,
1986-10,21.382,
1986-11,20.822,
1986-12,18.020,
1987-01,18.939,
1987-02,19.336,
1987-03,18.139,
1987-04,17.516,
1987-05,17.153,
1987-06,17.033,
1987-07,16.888,
1987-08,16.929,
1987-09,17.146,
1987-10,18.026,
1987-11,18.444,
1987-12,17.083,
1988-01,18.063,
1988-02,18.314,
1988-03,17.782,
1988-04,17.506,
1988-05,17.787,
1988-06,18.075,
1988-07,17.955,
1988-08,18.083,
1988-09,18.071,
1988-10,18.106,
1988-11,18.195,
1988-12,16.405,
1989-01,17.434,
1989-02,17.294,
1989-03,17.716,
1989-04,17.552,
1989-05,17.520,
1989-06,17.671,
1989-07,17.658,
1989-08,18.243,
1989-09,18.476,
1989-10,18.974,
1989-11,19.803,
1989-12,17.761,
1990-01,19.433,
1990-02,20.182,
1990-03,20.729,
1990-04,20.937,
1990-05,20.688,
1990-06,20.969,
1990-07,21.109,
1990-08,21.668,
1990-09,22.093,
1990-10,22.597,
1990-11,23.534,
1990-12,20.574,
1991-01,22.191,
1991-02,24.070,
1991-03,24.876,
1991-04,25.964,
1991-05,26.538,
1991-06,27.311,
1991-07,27.313,
1991-08,28.766,
1991-09,28.772,
1991-10,29.049,
1991-11,28.896,
1991-12,28.251,
1992-01,27.927,
1992-02,26.736,
1992-03,24.120,
1992-04,22.387,
1992-05,23.130,
1992-06,23.695,
1992-07,25.549,
1992-08,25.665,
1992-09,27.488,
1992-10,27.549,
1992-11,28.340,
1992-12,27.210,
1993-01,29.966,
1993-02,29.972,
1993-03,28.766,
1993-04,29.977,
1993-05,29.708,
1993-06,28.084,
1993-07,27.049,
1993-08,27.753,
1993-09,26.435,
1993-10,26.158,
1993-11,25.151,
1993-12,24.645,
1994-01,24.640,
1994-02,24.791,
1994-03,25.225,
1994-04,24.685,
1994-05,24.959,
1994-06,24.329,
1994-07,24.258,
1994-08,24.146,
1994-09,24.445,
1994-10,24.656,
1994-11,24.647,
1994-12,22.743,
1995-01,23.780,
1995-02,24.045,
1995-03,25.082,
1995-04,24.207,
1995-05,24.872,
1995-06,25.002,
1995-07,24.789,
1995-08,25.046,
1995-09,25.549,
1995-10,25.595,
1995-11,26.136,
1995-12,23.951,
1996-01,24.139,
1996-02,25.641,
1996-03,24.256,
1996-04,25.199,
1996-05,26.427,
1996-06,24.325,
1996-07,23.742,
1996-08,23.789,
1996-09,25.111,
1996-10,25.176,
1996-11,24.764,
1996-12,23.656,
1997-01,22.458,
1997-02,24.029,
1997-03,24.096,
1997-04,25.998,
1997-05,26.944,
1997-06,29.594,
1997-07,30.087,
1997-08,27.274,
1997-09,26.379,
1997-10,28.944,
1997-11,28.091,
1997-12,26.521,
1998-01,27.934,
1998-02,27.807,
1998-03,30.328,
1998-04,29.765,
1998-05,27.465,
1998-06,24.287,
1998-07,25.647,
1998-08,24.346,
1998-09,24.060,
1998-10,24.451,
1998-11,25.869,
1998-12,24.866,
1999-01,25.777,
1999-02,24.838,
1999-03,27.040,
1999-04,27.039,
1999-05,26.191,
1999-06,28.653,
1999-07,30.261,
1999-08,31.958,
1999-09,30.401,
1999-10,32.350,
1999-11,29.111,
1999-12,37.177,
2000-01,40.697,
2000-02,49.451,
2000-03,47.987,
2000-04,46.254,
2000-05,47.147,
2000-06,36.143,
2000-07,30.268,
2000-08,28.615,
2000-09,34.942,
2000-10,32.652,
2000-11,31.412,
2000-12,30.559,
2001-01,33.656,
2001-02,28.584,
2001-03,28.681,
2001-04,30.940,
2001-05,34.639,
2001-06,31.484,
2001-07,33.205,
2001-08,31.352,
2001-09,29.892,
2001-10,28.886,
2001-11,29.128,
2001-12,25.898,
2002-01,27.486,
2002-02,28.973,
2002-03,30.011,
2002-04,28.163,
2002-05,30.342,
2002-06,27.697,
2002-07,27.858,
2002-08,28.069,
2002-09,26.340,
2002-10,26.177,
2002-11,26.814,
2002-12,22.407,
2003-01,25.385,
2003-02,22.812,
2003-03,22.997,
2003-04,24.822,
2003-05,22.492,
2003-06,20.603,
2003-07,21.605,
2003-08,21.682,
2003-09,20.200,
2003-10,19.294,
2003-11,20.046,
2003-12,20.977,
2004-01,24.781,
2004-02,25.707,
2004-03,23.963,
2004-04,22.804,
2004-05,22.259,
2004-06,20.020,
2004-07,18.828,
2004-08,18.484,
2004-09,19.079,
2004-10,18.357,
2004-11,17.572,
2004-12,15.528,
2005-01,16.778,
2005-02,16.934,
2005-03,15.810,
2005-04,15.956,
2005-05,16.254,
2005-06,15.604,
2005-07,16.820,
2005-08,20.335,
2005-09,21.461,
2005-10,22.405,
2005-11,22.272,
2005-12,19.611,
2006-01,22.063,
2006-02,25.339,
2006-03,25.851,
2006-04,26.422,
2006-05,25.153,
2006-06,29.467,
2006-07,30.078,
2006-08,31.230,
2006-09,34.795,
2006-10,31.904,
2006-11,30.618,
2006-12,28.486,
2007-01,36.679,
2007-02,45.841,
2007-03,36.729,
2007-04,35.630,
2007-05,40.950,
2007-06,33.302,
2007-07,34.141,
2007-08,30.937,
2007-09,34.150,
2007-10,29.630,
2007-11,31.841,
2007-12,29.600,
2008-01,43.095,
2008-02,45.374,
2008-03,35.307,
2008-04,39.130,
2008-05,42.434,
2008-06,36.601,
2008-07,35.018,
2008-08,34.138,
2008-09,37.019,
2008-10,45.481,
2008-11,43.077,
2008-12,40.222,
2009-01,47.610,
2009-02,42.705,
2009-03,44.939,
2009-04,47.809,
2009-05,40.826,
2009-06,40.291,
2009-07,35.279,
2009-08,35.397,
2009-09,33.927,
2009-10,34.869,
2009-11,36.149,
2009-12,46.464,
2010-01,34.049,
2010-02,33.106,
2010-03,35.062,
2010-04,35.016,
2010-05,38.237,
2010-06,42.631,
2010-07,48.680,
2010-08,48.424,
2010-09,49.202,
2010-10,49.408,
2010-11,47.383,
2010-12,47.619,
2011-01,51.363,
2011-02,48.685,
2011-03,45.665,
2011-04,51.692,
2011-05,51.807,
2011-06,55.842,
2011-07,61.659,
2011-08,68.313,
2011-09,78.684,
2011-10,69.931,
2011-11,71.068,
2011-12,71.508,
2012-01,68.772,
2012-02,65.981,
2012-03,81.425,
2012-04,87.157,
2012-05,94.427,
2012-06,91.770,
2012-07,87.770,
2012-08,77.007,
2012-09,82.864,
2012-10,83.396,
2012-11,79.920,
2012-12,77.983,
2013-01,80.822,
2013-02,83.502,
2013-03,88.885,
2013-04,99.511,
2013-05,94.280,
2013-06,102.908,
2013-07,95.796,
2013-08,82.081,
2013-09,86.376,
2013-10,78.647,
2013-11,82.721,
2013-12,67.113,
2014-01,74.998,
2014-02,69.871,
2014-03,75.485,
2014-04,81.034,
2014-05,78.961,
2014-06,74.609,
2014-07,87.617,
2014-08,81.834,
2014-09,80.295,
2014-10,74.918,
2014-11,75.248,
2014-12,75.076,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
