"",BBAI3.Q.DE.N.V.LE.N.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:03,
2005-10,5108,
2006-01,5064,
2006-04,5026,
2006-07,4943,
2006-10,4868,
2007-01,4579,
2007-04,4312,
2007-07,4297,
2007-10,4287,
2008-01,4179,
2008-04,4072,
2008-07,4106,
2008-10,4141,
2009-01,4048,
2009-04,3981,
2009-07,4195,
2009-10,4438,
2010-01,4545,
2010-04,4468,
2010-07,4379,
2010-10,4290,
2011-01,4093,
2011-04,4097,
2011-07,4387,
2011-10,4820,
2012-01,4830,
2012-04,4839,
2012-07,4828,
2012-10,4825,
2013-01,4840,
2013-04,4876,
2013-07,5101,
2013-10,5351,
2014-01,5426,
2014-04,5512,
2014-07,5758,
