"",BBEX3.D.LTL.EUR.CA.AC.000,BBEX3.D.LTL.EUR.CA.AC.000_FLAGS
2001-12-09,.,No value available
2001-12-10,.,No value available
2001-12-11,.,No value available
2001-12-12,.,No value available
2001-12-13,.,No value available
2001-12-14,3.5920,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,.,No value available
2001-12-18,.,No value available
2001-12-19,.,No value available
2001-12-20,.,No value available
2001-12-21,.,No value available
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,.,No value available
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,.,No value available
2001-12-28,.,No value available
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,3.5272,
2002-01-01,.,No value available
2002-01-02,.,No value available
2002-01-03,.,No value available
2002-01-04,.,No value available
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,.,No value available
2002-01-08,.,No value available
2002-01-09,.,No value available
2002-01-10,.,No value available
2002-01-11,.,No value available
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,.,No value available
2002-01-15,3.5764,
2002-01-16,.,No value available
2002-01-17,.,No value available
2002-01-18,.,No value available
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,.,No value available
2002-01-22,.,No value available
2002-01-23,.,No value available
2002-01-24,.,No value available
2002-01-25,.,No value available
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,.,No value available
2002-01-29,.,No value available
2002-01-30,.,No value available
2002-01-31,3.4576,
2002-02-01,.,No value available
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,.,No value available
2002-02-05,.,No value available
2002-02-06,.,No value available
2002-02-07,.,No value available
2002-02-08,.,No value available
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,.,No value available
2002-02-12,.,No value available
2002-02-13,.,No value available
2002-02-14,.,No value available
2002-02-15,3.4528,comment
"","General: Until 1 February 2002, the litas was pegged to the US dollar (USD 1 = LTL 4.00) and from 2 February 2002 to 31 December 2014, it was pegged to the euro. Lithuania joined the euro area on 1 January 2015; irrevocable euro conversion rate: EUR 1 = LTL 3.45280.",
"","Source: The Bank of Lithuania, Vilnius.",
"","Comment on 2002-02-15: On 2 February 2002, the litas ceased to be pegged to the US dollar (USD 1 = LTL 4.00) and was pegged to the euro instead at a rate of EUR 1 = LTL 3.4528.",
