"",BBK01.CEHEC0,BBK01.CEHEC0_FLAGS
"",short-term loans debtor: General government                                creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:35,
1991-01,-1.4,
1991-04,1.1,
1991-07,-0.7,
1991-10,4.2,
1992-01,-3.2,
1992-04,2.6,
1992-07,-1.5,
1992-10,5.1,
1993-01,-4.5,
1993-04,0.9,
1993-07,-0.5,
1993-10,3.5,
1994-01,-2.8,
1994-04,1.9,
1994-07,0.3,
1994-10,6.7,
1995-01,-0.2,
1995-04,-0.6,
1995-07,-2.2,
1995-10,4.3,
1996-01,-0.6,
1996-04,3.3,
1996-07,-6.5,
1996-10,8.7,
1997-01,3.0,
1997-04,-14.8,
1997-07,9.3,
1997-10,-0.5,
1998-01,1.4,
1998-04,-5.3,
1998-07,7.3,
1998-10,0.0,
1999-01,2.2,
1999-04,0.9,
1999-07,-0.1,
1999-10,-4.0,
2000-01,7.5,
2000-04,-7.0,
2000-07,11.3,
2000-10,-15.8,
2001-01,14.5,
2001-04,-10.7,
2001-07,1.2,
2001-10,2.6,
2002-01,16.5,
2002-04,-16.3,
2002-07,-1.8,
2002-10,7.1,
2003-01,4.9,
2003-04,2.7,
2003-07,9.4,
2003-10,-7.9,
2004-01,12.5,
2004-04,-7.1,
2004-07,-0.5,
2004-10,-3.2,
2005-01,10.3,
2005-04,-1.1,
2005-07,3.4,
2005-10,-7.0,
2006-01,12.0,
2006-04,-2.2,
2006-07,9.4,
2006-10,-13.3,
2007-01,16.1,
2007-04,4.3,
2007-07,-4.8,
2007-10,-12.8,
2008-01,15.2,
2008-04,5.3,
2008-07,-9.9,
2008-10,10.5,
2009-01,-4.6,
2009-04,-6.5,
2009-07,5.3,
2009-10,-6.5,
2010-01,-0.3,
2010-04,9.9,
2010-07,1.8,
2010-10,159.6,
2011-01,-21.6,
2011-04,-18.0,
2011-07,-3.5,
2011-10,7.1,
2012-01,-19.0,
2012-04,11.6,
2012-07,-22.8,
2012-10,-16.3,
2013-01,-14.4,
2013-04,-2.2,
2013-07,-17.9,
2013-10,11.3,
2014-01,-14.6,
