"",BBAI3.Q.DE.N.V.LE.F331.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:26,
2005-10,1526,
2006-01,464,
2006-04,473,
2006-07,555,
2006-10,786,
2007-01,1339,
2007-04,1610,
2007-07,783,
2007-10,1293,
2008-01,1460,
2008-04,1109,
2008-07,1092,
2008-10,1489,
2009-01,966,
2009-04,1082,
2009-07,722,
2009-10,1089,
2010-01,853,
2010-04,1146,
2010-07,1201,
2010-10,1626,
2011-01,915,
2011-04,895,
2011-07,1448,
2011-10,1101,
2012-01,1289,
2012-04,1472,
2012-07,1906,
2012-10,1826,
2013-01,1935,
2013-04,1419,
2013-07,1374,
2013-10,1425,
2014-01,1610,
2014-04,1280,
2014-07,1188,
