"",BBK01.CEBQ0B,BBK01.CEBQ0B_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:38,
1991-01,6.1,
1991-04,5.4,
1991-07,5.1,
1991-10,3.8,
1992-01,6.3,
1992-04,5.3,
1992-07,4.7,
1992-10,4.3,
1993-01,7.8,
1993-04,6.3,
1993-07,6.1,
1993-10,5.4,
1994-01,7.0,
1994-04,6.6,
1994-07,6.8,
1994-10,5.0,
1995-01,8.6,
1995-04,7.6,
1995-07,7.6,
1995-10,5.4,
1996-01,8.7,
1996-04,10.1,
1996-07,10.7,
1996-10,4.7,
1997-01,8.3,
1997-04,8.5,
1997-07,8.1,
1997-10,6.2,
1998-01,12.5,
1998-04,10.9,
1998-07,10.8,
1998-10,8.6,
1999-01,13.0,
1999-04,9.5,
1999-07,8.6,
1999-10,9.5,
2000-01,12.6,
2000-04,8.9,
2000-07,7.9,
2000-10,10.0,
2001-01,12.0,
2001-04,10.1,
2001-07,11.9,
2001-10,13.4,
2002-01,10.5,
2002-04,10.6,
2002-07,13.6,
2002-10,15.8,
2003-01,17.4,
2003-04,17.9,
2003-07,14.4,
2003-10,16.0,
2004-01,20.8,
2004-04,15.7,
2004-07,19.8,
2004-10,21.4,
2005-01,23.4,
2005-04,20.3,
2005-07,18.5,
2005-10,16.5,
2006-01,17.4,
2006-04,16.4,
2006-07,18.0,
2006-10,18.1,
2007-01,20.2,
2007-04,20.3,
2007-07,19.4,
2007-10,25.0,
2008-01,29.3,
2008-04,26.0,
2008-07,23.9,
2008-10,24.8,
2009-01,28.1,
2009-04,21.9,
2009-07,22.1,
2009-10,22.9,
2010-01,23.2,
2010-04,20.5,
2010-07,18.1,
2010-10,17.4,
2011-01,19.9,
2011-04,19.9,
2011-07,22.8,
2011-10,21.4,
2012-01,22.5,
2012-04,20.5,
2012-07,21.6,
2012-10,21.5,
2013-01,19.7,
2013-04,19.1,
2013-07,15.6,
2013-10,17.5,
2014-01,18.5,
