"",BBK01.CEHL0I,BBK01.CEHL0I_FLAGS
"",Mutual funds shares debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:54,
1991-01,3.8,
1991-04,3.6,
1991-07,3.3,
1991-10,3.1,
1992-01,8.1,
1992-04,4.7,
1992-07,4.3,
1992-10,10.5,
1993-01,18.1,
1993-04,8.9,
1993-07,4.5,
1993-10,-13.0,
1994-01,13.1,
1994-04,2.1,
1994-07,7.0,
1994-10,20.4,
1995-01,-1.6,
1995-04,1.6,
1995-07,1.8,
1995-10,9.1,
1996-01,6.3,
1996-04,1.8,
1996-07,0.4,
1996-10,1.9,
1997-01,7.5,
1997-04,3.4,
1997-07,8.0,
1997-10,2.0,
1998-01,11.1,
1998-04,8.2,
1998-07,6.2,
1998-10,4.9,
1999-01,14.3,
1999-04,12.4,
1999-07,11.1,
1999-10,6.2,
2000-01,22.5,
2000-04,13.0,
2000-07,10.4,
2000-10,8.8,
2001-01,20.1,
2001-04,10.1,
2001-07,8.5,
2001-10,14.1,
2002-01,17.1,
2002-04,6.9,
2002-07,9.4,
2002-10,4.6,
2003-01,20.2,
2003-04,9.1,
2003-07,-0.6,
2003-10,-1.2,
2004-01,4.6,
2004-04,1.4,
2004-07,-0.3,
2004-10,-10.6,
2005-01,7.2,
2005-04,5.8,
2005-07,7.7,
2005-10,-3.0,
2006-01,7.0,
2006-04,-8.9,
2006-07,-3.1,
2006-10,-7.7,
2007-01,-8.8,
2007-04,-7.4,
2007-07,-11.9,
2007-10,-6.6,
2008-01,-6.8,
2008-04,-4.2,
2008-07,-8.3,
2008-10,-15.0,
2009-01,-2.8,
2009-04,2.5,
2009-07,-0.5,
2009-10,-0.3,
2010-01,3.4,
2010-04,6.6,
2010-07,0.6,
2010-10,-0.5,
2011-01,-3.5,
2011-04,-0.1,
2011-07,-7.0,
2011-10,-4.0,
2012-01,-1.6,
2012-04,-2.1,
2012-07,-1.1,
2012-10,5.0,
2013-01,10.5,
2013-04,3.9,
2013-07,2.8,
2013-10,3.1,
2014-01,2.7,
