"",BBK01.CEL50K,BBK01.CEL50K_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:03,
1999-01,11.1,
1999-04,5.7,
1999-07,6.6,
1999-10,16.1,
2000-01,10.7,
2000-04,12.1,
2000-07,11.3,
2000-10,8.9,
2001-01,12.3,
2001-04,4.8,
2001-07,7.6,
2001-10,24.2,
2002-01,24.9,
2002-04,13.7,
2002-07,6.2,
2002-10,0.1,
2003-01,-4.5,
2003-04,4.9,
2003-07,2.5,
2003-10,5.7,
2004-01,-0.7,
2004-04,-3.1,
2004-07,-3.0,
2004-10,-4.5,
2005-01,6.9,
2005-04,2.1,
2005-07,6.1,
2005-10,19.0,
2006-01,1.4,
2006-04,9.1,
2006-07,-1.9,
2006-10,17.9,
2007-01,2.5,
2007-04,2.9,
2007-07,11.0,
2007-10,13.8,
2008-01,-0.4,
2008-04,-0.8,
2008-07,9.5,
2008-10,6.5,
2009-01,-1.9,
2009-04,-3.6,
2009-07,-4.6,
2009-10,4.7,
2010-01,13.0,
2010-04,3.5,
2010-07,10.2,
2010-10,16.7,
2011-01,8.5,
2011-04,7.7,
2011-07,7.8,
2011-10,12.4,
2012-01,13.9,
2012-04,1.2,
2012-07,-2.7,
2012-10,22.7,
2013-01,19.9,
2013-04,4.6,
2013-07,8.7,
2013-10,10.5,
2014-01,15.9,
2014-04,6.7,
2014-07,5.3,
