"",BBSF2.M.1.T.00000.DER01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Derivative funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:07,
2009-09,4,
2009-10,4,
2009-11,4,
2009-12,4,
2010-01,4,
2010-02,4,
2010-03,4,
2010-04,4,
2010-05,4,
2010-06,4,
2010-07,4,
2010-08,4,
2010-09,4,
2010-10,4,
2010-11,4,
2010-12,4,
2011-01,4,
2011-02,4,
2011-03,3,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,3,
2011-10,5,
2011-11,5,
2011-12,5,
2012-01,6,
2012-02,6,
2012-03,5,
2012-04,5,
2012-05,5,
2012-06,7,
2012-07,7,
2012-08,7,
2012-09,7,
2012-10,7,
2012-11,7,
2012-12,7,
2013-01,7,
2013-02,7,
2013-03,6,
2013-04,6,
2013-05,6,
2013-06,6,
2013-07,6,
2013-08,6,
2013-09,6,
2013-10,6,
2013-11,5,
2013-12,5,
2014-01,5,
2014-02,5,
2014-03,5,
2014-04,5,
2014-05,7,
2014-06,7,
2014-07,7,
2014-08,5,
2014-09,5,
2014-10,5,
2014-11,5,
