"",BBEX3.D.ISK.EUR.CA.AC.000,BBEX3.D.ISK.EUR.CA.AC.000_FLAGS
2007-11-12,.,No value available
2007-11-13,.,No value available
2007-11-14,.,No value available
2007-11-15,88.58,
2007-11-16,.,No value available
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,.,No value available
2007-11-20,.,No value available
2007-11-21,.,No value available
2007-11-22,.,No value available
2007-11-23,.,No value available
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,.,No value available
2007-11-27,.,No value available
2007-11-28,.,No value available
2007-11-29,.,No value available
2007-11-30,90.01,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,.,No value available
2007-12-04,.,No value available
2007-12-05,.,No value available
2007-12-06,.,No value available
2007-12-07,.,No value available
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,.,No value available
2007-12-11,.,No value available
2007-12-12,.,No value available
2007-12-13,.,No value available
2007-12-14,90.41,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,.,No value available
2007-12-18,.,No value available
2007-12-19,.,No value available
2007-12-20,.,No value available
2007-12-21,.,No value available
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,.,No value available
2007-12-25,.,No value available
2007-12-26,.,No value available
2007-12-27,.,No value available
2007-12-28,.,No value available
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,91.20,
2008-01-01,.,No value available
2008-01-02,.,No value available
2008-01-03,92.39,
2008-01-04,90.40,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,90.93,
2008-01-08,91.06,
2008-01-09,92.57,
2008-01-10,91.98,
2008-01-11,92.91,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,94.90,
2008-01-15,95.07,
2008-01-16,96.30,
2008-01-17,95.68,
2008-01-18,95.41,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,95.61,
2008-01-22,97.26,
2008-01-23,96.84,
2008-01-24,97.26,
2008-01-25,95.71,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,95.78,
2008-01-29,95.46,
2008-01-30,95.29,
2008-01-31,96.65,
2008-02-01,96.24,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,95.80,
2008-02-05,95.80,
2008-02-06,96.40,
2008-02-07,97.70,
2008-02-08,97.80,
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,99.45,
2008-02-12,99.47,
2008-02-13,97.85,
2008-02-14,97.70,
2008-02-15,97.98,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,97.86,
2008-02-19,98.36,
2008-02-20,98.64,
2008-02-21,98.87,
2008-02-22,99.27,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,98.69,
2008-02-26,98.11,
2008-02-27,98.40,
2008-02-28,98.80,
2008-02-29,99.80,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,100.77,
2008-03-04,100.54,
2008-03-05,100.58,
2008-03-06,101.59,
2008-03-07,104.76,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,105.16,
2008-03-11,105.27,
2008-03-12,105.41,
2008-03-13,109.48,
2008-03-14,108.86,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,118.35,
2008-03-18,122.71,
2008-03-19,122.51,
2008-03-20,.,No value available
2008-03-21,.,No value available
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,.,No value available
2008-03-25,116.54,
2008-03-26,120.35,
2008-03-27,117.75,
2008-03-28,122.97,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,121.28,
2008-04-01,120.68,
2008-04-02,117.56,
2008-04-03,116.57,
2008-04-04,117.03,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,113.58,
2008-04-08,114.41,
2008-04-09,113.17,
2008-04-10,114.85,
2008-04-11,115.64,
2008-04-12,.,No value available
2008-04-13,.,No value available
2008-04-14,117.49,
2008-04-15,118.15,
2008-04-16,118.20,
2008-04-17,117.86,
2008-04-18,119.99,
2008-04-19,.,No value available
2008-04-20,.,No value available
2008-04-21,119.29,
2008-04-22,118.34,
2008-04-23,117.44,
2008-04-24,.,No value available
2008-04-25,115.01,
2008-04-26,.,No value available
2008-04-27,.,No value available
2008-04-28,114.57,
2008-04-29,115.22,
2008-04-30,115.81,
2008-05-01,.,No value available
2008-05-02,115.92,
2008-05-03,.,No value available
2008-05-04,.,No value available
2008-05-05,118.35,
2008-05-06,119.46,
2008-05-07,118.69,
2008-05-08,118.44,
2008-05-09,122.40,
2008-05-10,.,No value available
2008-05-11,.,No value available
2008-05-12,.,No value available
2008-05-13,122.03,
2008-05-14,122.99,
2008-05-15,120.16,
2008-05-16,114.54,
2008-05-17,.,No value available
2008-05-18,.,No value available
2008-05-19,113.65,
2008-05-20,115.59,
2008-05-21,115.72,
2008-05-22,114.75,
2008-05-23,113.55,
2008-05-24,.,No value available
2008-05-25,.,No value available
2008-05-26,113.70,
2008-05-27,113.86,
2008-05-28,115.08,
2008-05-29,115.06,
2008-05-30,115.74,
2008-05-31,.,No value available
2008-06-01,.,No value available
2008-06-02,116.87,
2008-06-03,119.04,
2008-06-04,119.63,
2008-06-05,118.96,
2008-06-06,118.36,
2008-06-07,.,No value available
2008-06-08,.,No value available
2008-06-09,119.11,
2008-06-10,118.76,
2008-06-11,120.47,
2008-06-12,121.01,
2008-06-13,121.78,
2008-06-14,.,No value available
2008-06-15,.,No value available
2008-06-16,122.14,
2008-06-17,.,No value available
2008-06-18,124.22,
2008-06-19,127.24,
2008-06-20,125.51,
2008-06-21,.,No value available
2008-06-22,.,No value available
2008-06-23,127.75,
2008-06-24,131.44,
2008-06-25,129.12,
2008-06-26,126.62,
2008-06-27,128.43,
2008-06-28,.,No value available
2008-06-29,.,No value available
2008-06-30,125.33,
2008-07-01,125.66,
2008-07-02,124.11,
2008-07-03,124.75,
2008-07-04,121.23,
2008-07-05,.,No value available
2008-07-06,.,No value available
2008-07-07,120.35,
2008-07-08,121.04,
2008-07-09,118.97,
2008-07-10,118.66,
2008-07-11,119.97,
2008-07-12,.,No value available
2008-07-13,.,No value available
2008-07-14,121.67,
2008-07-15,124.43,
2008-07-16,124.16,
2008-07-17,121.80,
2008-07-18,125.57,
2008-07-19,.,No value available
2008-07-20,.,No value available
2008-07-21,124.30,
2008-07-22,125.76,
2008-07-23,125.03,
2008-07-24,126.04,
2008-07-25,127.80,
2008-07-26,.,No value available
2008-07-27,.,No value available
2008-07-28,129.58,
2008-07-29,126.49,
2008-07-30,124.70,
2008-07-31,123.83,
2008-08-01,123.52,
2008-08-02,.,No value available
2008-08-03,.,No value available
2008-08-04,.,No value available
2008-08-05,122.69,
2008-08-06,121.92,
2008-08-07,123.10,
2008-08-08,125.07,
2008-08-09,.,No value available
2008-08-10,.,No value available
2008-08-11,122.29,
2008-08-12,122.13,
2008-08-13,122.34,
2008-08-14,120.77,
2008-08-15,121.05,
2008-08-16,.,No value available
2008-08-17,.,No value available
2008-08-18,120.47,
2008-08-19,121.20,
2008-08-20,121.72,
2008-08-21,121.96,
2008-08-22,120.91,
2008-08-23,.,No value available
2008-08-24,.,No value available
2008-08-25,120.65,
2008-08-26,121.76,
2008-08-27,121.65,
2008-08-28,121.80,
2008-08-29,122.09,
2008-08-30,.,No value available
2008-08-31,.,No value available
2008-09-01,122.81,
2008-09-02,122.02,
2008-09-03,122.75,
2008-09-04,123.36,
2008-09-05,125.44,
2008-09-06,.,No value available
2008-09-07,.,No value available
2008-09-08,123.92,
2008-09-09,126.52,
2008-09-10,128.45,
2008-09-11,126.78,
2008-09-12,127.88,
2008-09-13,.,No value available
2008-09-14,.,No value available
2008-09-15,130.00,
2008-09-16,130.51,
2008-09-17,131.50,
2008-09-18,135.70,
2008-09-19,131.66,
2008-09-20,.,No value available
2008-09-21,.,No value available
2008-09-22,130.41,
2008-09-23,138.42,
2008-09-24,139.71,
2008-09-25,136.18,
2008-09-26,141.11,
2008-09-27,.,No value available
2008-09-28,.,No value available
2008-09-29,142.85,
2008-09-30,145.49,
2008-10-01,153.05,
2008-10-02,154.82,
2008-10-03,156.09,
2008-10-04,.,No value available
2008-10-05,.,No value available
2008-10-06,155.34,
2008-10-07,136.21,
2008-10-08,172.64,
2008-10-09,144.27,
2008-10-10,150.16,
2008-10-11,.,No value available
2008-10-12,.,No value available
2008-10-13,150.21,
2008-10-14,150.38,
2008-10-15,150.00,
2008-10-16,150.50,
2008-10-17,151.00,
2008-10-18,.,No value available
2008-10-19,.,No value available
2008-10-20,150.50,
2008-10-21,150.50,
2008-10-22,150.50,
2008-10-23,151.00,
2008-10-24,152.00,
2008-10-25,.,No value available
2008-10-26,.,No value available
2008-10-27,152.00,
2008-10-28,152.50,
2008-10-29,152.50,
2008-10-30,153.00,
2008-10-31,153.50,
2008-11-01,.,No value available
2008-11-02,.,No value available
2008-11-03,160.00,
2008-11-04,164.00,
2008-11-05,164.00,
2008-11-06,166.00,
2008-11-07,166.00,
2008-11-08,.,No value available
2008-11-09,.,No value available
2008-11-10,166.00,
2008-11-11,171.00,
2008-11-12,171.00,
2008-11-13,171.00,
2008-11-14,171.00,
2008-11-15,.,No value available
2008-11-16,.,No value available
2008-11-17,171.50,
2008-11-18,174.00,
2008-11-19,176.00,
2008-11-20,176.00,
2008-11-21,177.00,
2008-11-22,.,No value available
2008-11-23,.,No value available
2008-11-24,177.50,
2008-11-25,180.00,
2008-11-26,181.00,
2008-11-27,182.50,
2008-11-28,182.50,
2008-11-29,.,No value available
2008-11-30,.,No value available
2008-12-01,187.00,
2008-12-02,187.00,
2008-12-03,187.00,
2008-12-04,182.71,
2008-12-05,161.54,
2008-12-06,.,No value available
2008-12-07,.,No value available
2008-12-08,147.89,
2008-12-09,143.76,
2008-12-10,147.88,
2008-12-11,151.87,
2008-12-12,155.76,
2008-12-13,.,No value available
2008-12-14,.,No value available
2008-12-15,156.10,
2008-12-16,156.44,
2008-12-17,161.14,
2008-12-18,163.91,
2008-12-19,170.19,
2008-12-20,.,No value available
2008-12-21,.,No value available
2008-12-22,170.43,
2008-12-23,173.60,
2008-12-24,.,No value available
2008-12-25,.,No value available
2008-12-26,.,No value available
2008-12-27,.,No value available
2008-12-28,.,No value available
2008-12-29,179.85,
2008-12-30,171.49,
2008-12-31,169.97,
2009-01-01,.,No value available
2009-01-02,169.16,
2009-01-03,.,No value available
2009-01-04,.,No value available
2009-01-05,167.38,
2009-01-06,166.36,
2009-01-07,167.16,
2009-01-08,168.21,
2009-01-09,170.10,
2009-01-10,.,No value available
2009-01-11,.,No value available
2009-01-12,168.17,
2009-01-13,167.99,
2009-01-14,167.12,
2009-01-15,169.08,
2009-01-16,168.69,
2009-01-17,.,No value available
2009-01-18,.,No value available
2009-01-19,168.66,
2009-01-20,166.99,
2009-01-21,166.55,
2009-01-22,166.49,
2009-01-23,161.42,
2009-01-24,.,No value available
2009-01-25,.,No value available
2009-01-26,159.05,
2009-01-27,158.02,
2009-01-28,155.62,
2009-01-29,148.67,
2009-01-30,146.56,
2009-01-31,.,No value available
2009-02-01,.,No value available
2009-02-02,147.01,
2009-02-03,149.74,
2009-02-04,149.77,
2009-02-05,148.01,
2009-02-06,145.94,
2009-02-07,.,No value available
2009-02-08,.,No value available
2009-02-09,144.90,
2009-02-10,145.26,
2009-02-11,145.80,
2009-02-12,147.38,
2009-02-13,147.90,
2009-02-14,.,No value available
2009-02-15,.,No value available
2009-02-16,146.92,
2009-02-17,144.25,
2009-02-18,143.63,
2009-02-19,143.57,
2009-02-20,143.70,
2009-02-21,.,No value available
2009-02-22,.,No value available
2009-02-23,144.35,
2009-02-24,144.38,
2009-02-25,144.10,
2009-02-26,143.38,
2009-02-27,143.19,
2009-02-28,.,No value available
2009-03-01,.,No value available
2009-03-02,144.49,
2009-03-03,144.81,
2009-03-04,143.21,
2009-03-05,141.94,
2009-03-06,143.16,
2009-03-07,.,No value available
2009-03-08,.,No value available
2009-03-09,142.74,
2009-03-10,142.58,
2009-03-11,142.47,
2009-03-12,142.48,
2009-03-13,145.17,
2009-03-14,.,No value available
2009-03-15,.,No value available
2009-03-16,146.34,
2009-03-17,149.70,
2009-03-18,150.12,
2009-03-19,152.93,
2009-03-20,154.28,
2009-03-21,.,No value available
2009-03-22,.,No value available
2009-03-23,154.25,
2009-03-24,154.57,
2009-03-25,154.57,
2009-03-26,159.96,
2009-03-27,160.52,
2009-03-28,.,No value available
2009-03-29,.,No value available
2009-03-30,160.03,
2009-03-31,163.08,
2009-04-01,161.44,
2009-04-02,158.77,
2009-04-03,159.97,
2009-04-04,.,No value available
2009-04-05,.,No value available
2009-04-06,162.14,
2009-04-07,166.88,
2009-04-08,168.18,
2009-04-09,.,No value available
2009-04-10,.,No value available
2009-04-11,.,No value available
2009-04-12,.,No value available
2009-04-13,.,No value available
2009-04-14,169.48,
2009-04-15,169.37,
2009-04-16,167.44,
2009-04-17,167.85,
2009-04-18,.,No value available
2009-04-19,.,No value available
2009-04-20,167.64,
2009-04-21,167.62,
2009-04-22,168.76,
2009-04-23,.,No value available
2009-04-24,172.26,
2009-04-25,.,No value available
2009-04-26,.,No value available
2009-04-27,171.26,
2009-04-28,170.54,
2009-04-29,169.85,
2009-04-30,169.39,
2009-05-01,.,No value available
2009-05-02,.,No value available
2009-05-03,.,No value available
2009-05-04,169.07,
2009-05-05,168.58,
2009-05-06,168.26,
2009-05-07,169.57,
2009-05-08,168.08,
2009-05-09,.,No value available
2009-05-10,.,No value available
2009-05-11,170.38,
2009-05-12,170.65,
2009-05-13,171.96,
2009-05-14,172.51,
2009-05-15,171.66,
2009-05-16,.,No value available
2009-05-17,.,No value available
2009-05-18,169.85,
2009-05-19,173.59,
2009-05-20,174.49,
2009-05-21,.,No value available
2009-05-22,177.12,
2009-05-23,.,No value available
2009-05-24,.,No value available
2009-05-25,177.51,
2009-05-26,177.16,
2009-05-27,175.52,
2009-05-28,175.48,
2009-05-29,173.87,
2009-05-30,.,No value available
2009-05-31,.,No value available
2009-06-01,.,No value available
2009-06-02,172.11,
2009-06-03,172.40,
2009-06-04,173.97,
2009-06-05,173.72,
2009-06-06,.,No value available
2009-06-07,.,No value available
2009-06-08,175.64,
2009-06-09,177.44,
2009-06-10,180.53,
2009-06-11,180.00,
2009-06-12,179.60,
2009-06-13,.,No value available
2009-06-14,.,No value available
2009-06-15,177.73,
2009-06-16,176.72,
2009-06-17,.,No value available
2009-06-18,177.60,
2009-06-19,179.18,
2009-06-20,.,No value available
2009-06-21,.,No value available
2009-06-22,178.85,
2009-06-23,179.06,
2009-06-24,179.92,
2009-06-25,178.81,
2009-06-26,179.18,
2009-06-27,.,No value available
2009-06-28,.,No value available
2009-06-29,179.30,
2009-06-30,179.41,
2009-07-01,178.51,
2009-07-02,178.40,
2009-07-03,177.25,
2009-07-04,.,No value available
2009-07-05,.,No value available
2009-07-06,177.21,
2009-07-07,177.95,
2009-07-08,180.62,
2009-07-09,180.08,
2009-07-10,179.89,
2009-07-11,.,No value available
2009-07-12,.,No value available
2009-07-13,178.96,
2009-07-14,178.82,
2009-07-15,179.59,
2009-07-16,179.57,
2009-07-17,179.76,
2009-07-18,.,No value available
2009-07-19,.,No value available
2009-07-20,180.18,
2009-07-21,179.35,
2009-07-22,178.77,
2009-07-23,179.81,
2009-07-24,179.18,
2009-07-25,.,No value available
2009-07-26,.,No value available
2009-07-27,179.34,
2009-07-28,179.47,
2009-07-29,181.03,
2009-07-30,181.95,
2009-07-31,180.81,
2009-08-01,.,No value available
2009-08-02,.,No value available
2009-08-03,.,No value available
2009-08-04,180.68,
2009-08-05,180.16,
2009-08-06,180.14,
2009-08-07,180.46,
2009-08-08,.,No value available
2009-08-09,.,No value available
2009-08-10,179.51,
2009-08-11,179.76,
2009-08-12,181.00,
2009-08-13,180.04,
2009-08-14,180.13,
2009-08-15,.,No value available
2009-08-16,.,No value available
2009-08-17,179.98,
2009-08-18,181.52,
2009-08-19,182.33,
2009-08-20,183.47,
2009-08-21,182.67,
2009-08-22,.,No value available
2009-08-23,.,No value available
2009-08-24,182.99,
2009-08-25,183.36,
2009-08-26,184.97,
2009-08-27,183.37,
2009-08-28,180.52,
2009-08-29,.,No value available
2009-08-30,.,No value available
2009-08-31,179.44,
2009-09-01,178.97,
2009-09-02,179.44,
2009-09-03,181.27,
2009-09-04,180.75,
2009-09-05,.,No value available
2009-09-06,.,No value available
2009-09-07,180.66,
2009-09-08,180.67,
2009-09-09,180.49,
2009-09-10,181.02,
2009-09-11,181.02,
2009-09-12,.,No value available
2009-09-13,.,No value available
2009-09-14,181.39,
2009-09-15,181.45,
2009-09-16,181.48,
2009-09-17,182.05,
2009-09-18,181.70,
2009-09-19,.,No value available
2009-09-20,.,No value available
2009-09-21,181.73,
2009-09-22,182.50,
2009-09-23,182.61,
2009-09-24,183.11,
2009-09-25,183.45,
2009-09-26,.,No value available
2009-09-27,.,No value available
2009-09-28,182.51,
2009-09-29,181.97,
2009-09-30,181.61,
2009-10-01,180.93,
2009-10-02,182.15,
2009-10-03,.,No value available
2009-10-04,.,No value available
2009-10-05,182.08,
2009-10-06,182.30,
2009-10-07,183.24,
2009-10-08,184.35,
2009-10-09,184.63,
2009-10-10,.,No value available
2009-10-11,.,No value available
2009-10-12,184.31,
2009-10-13,184.41,
2009-10-14,184.07,
2009-10-15,183.58,
2009-10-16,184.67,
2009-10-17,.,No value available
2009-10-18,.,No value available
2009-10-19,184.51,
2009-10-20,183.83,
2009-10-21,183.19,
2009-10-22,182.96,
2009-10-23,184.16,
2009-10-24,.,No value available
2009-10-25,.,No value available
2009-10-26,183.69,
2009-10-27,184.57,
2009-10-28,184.58,
2009-10-29,184.47,
2009-10-30,184.54,
2009-10-31,.,No value available
2009-11-01,.,No value available
2009-11-02,185.01,
2009-11-03,182.84,
2009-11-04,184.01,
2009-11-05,184.87,
2009-11-06,186.11,
2009-11-07,.,No value available
2009-11-08,.,No value available
2009-11-09,185.53,
2009-11-10,186.10,
2009-11-11,186.65,
2009-11-12,186.46,
2009-11-13,186.00,
2009-11-14,.,No value available
2009-11-15,.,No value available
2009-11-16,183.50,
2009-11-17,183.95,
2009-11-18,184.46,
2009-11-19,184.49,
2009-11-20,184.11,
2009-11-21,.,No value available
2009-11-22,.,No value available
2009-11-23,183.51,
2009-11-24,183.73,
2009-11-25,183.76,
2009-11-26,184.30,
2009-11-27,184.28,
2009-11-28,.,No value available
2009-11-29,.,No value available
2009-11-30,183.76,
2009-12-01,183.70,
2009-12-02,183.28,
2009-12-03,183.51,
2009-12-04,183.48,
2009-12-05,.,No value available
2009-12-06,.,No value available
2009-12-07,183.43,
2009-12-08,183.50,
2009-12-09,183.27,
2009-12-10,183.22,
2009-12-11,183.28,
2009-12-12,.,No value available
2009-12-13,.,No value available
2009-12-14,184.05,
2009-12-15,183.96,
2009-12-16,183.77,
2009-12-17,183.17,
2009-12-18,183.43,
2009-12-19,.,No value available
2009-12-20,.,No value available
2009-12-21,183.52,
2009-12-22,183.48,
2009-12-23,182.45,
2009-12-24,.,No value available
2009-12-25,.,No value available
2009-12-26,.,No value available
2009-12-27,.,No value available
2009-12-28,181.51,
2009-12-29,180.96,
2009-12-30,180.48,
2009-12-31,179.88,
2010-01-01,.,No value available
2010-01-02,.,No value available
2010-01-03,.,No value available
2010-01-04,179.84,
2010-01-05,179.96,
2010-01-06,179.94,
2010-01-07,180.19,
2010-01-08,180.53,
2010-01-09,.,No value available
2010-01-10,.,No value available
2010-01-11,180.41,
2010-01-12,180.00,
2010-01-13,180.21,
2010-01-14,180.29,
2010-01-15,179.97,
2010-01-16,.,No value available
2010-01-17,.,No value available
2010-01-18,179.74,
2010-01-19,179.65,
2010-01-20,179.64,
2010-01-21,179.41,
2010-01-22,179.53,
2010-01-23,.,No value available
2010-01-24,.,No value available
2010-01-25,179.54,
2010-01-26,179.55,
2010-01-27,179.53,
2010-01-28,179.41,
2010-01-29,178.24,
2010-01-30,.,No value available
2010-01-31,.,No value available
2010-02-01,177.62,
2010-02-02,177.64,
2010-02-03,176.79,
2010-02-04,176.64,
2010-02-05,176.19,
2010-02-06,.,No value available
2010-02-07,.,No value available
2010-02-08,176.27,
2010-02-09,176.30,
2010-02-10,176.32,
2010-02-11,176.28,
2010-02-12,175.53,
2010-02-13,.,No value available
2010-02-14,.,No value available
2010-02-15,175.54,
2010-02-16,174.53,
2010-02-17,174.85,
2010-02-18,174.30,
2010-02-19,174.37,
2010-02-20,.,No value available
2010-02-21,.,No value available
2010-02-22,174.39,
2010-02-23,174.53,
2010-02-24,174.32,
2010-02-25,174.29,
2010-02-26,174.69,
2010-02-27,.,No value available
2010-02-28,.,No value available
2010-03-01,174.66,
2010-03-02,174.49,
2010-03-03,174.08,
2010-03-04,174.23,
2010-03-05,173.97,
2010-03-06,.,No value available
2010-03-07,.,No value available
2010-03-08,174.00,
2010-03-09,173.97,
2010-03-10,173.92,
2010-03-11,173.99,
2010-03-12,173.08,
2010-03-13,.,No value available
2010-03-14,.,No value available
2010-03-15,172.92,
2010-03-16,172.30,
2010-03-17,172.41,
2010-03-18,172.01,
2010-03-19,171.71,
2010-03-20,.,No value available
2010-03-21,.,No value available
2010-03-22,171.80,
2010-03-23,172.25,
2010-03-24,172.44,
2010-03-25,172.95,
2010-03-26,172.94,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,172.95,
2010-03-30,172.80,
2010-03-31,172.51,
2010-04-01,.,No value available
2010-04-02,.,No value available
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,171.83,
2010-04-07,171.68,
2010-04-08,171.33,
2010-04-09,171.31,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,171.33,
2010-04-13,171.27,
2010-04-14,171.21,
2010-04-15,170.92,
2010-04-16,170.86,
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,170.74,
2010-04-20,170.75,
2010-04-21,170.65,
2010-04-22,.,No value available
2010-04-23,171.10,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,171.17,
2010-04-27,171.21,
2010-04-28,170.59,
2010-04-29,170.56,
2010-04-30,170.04,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,169.99,
2010-05-04,169.04,
2010-05-05,167.32,
2010-05-06,164.83,
2010-05-07,164.99,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,164.38,
2010-05-11,163.54,
2010-05-12,163.48,
2010-05-13,.,No value available
2010-05-14,163.79,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,162.95,
2010-05-18,162.00,
2010-05-19,160.55,
2010-05-20,160.42,
2010-05-21,160.51,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,.,No value available
2010-05-25,160.14,
2010-05-26,160.29,
2010-05-27,160.18,
2010-05-28,159.99,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,158.85,
2010-06-01,157.52,
2010-06-02,156.56,
2010-06-03,156.96,
2010-06-04,156.85,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,156.34,
2010-06-08,156.29,
2010-06-09,156.85,
2010-06-10,156.98,
2010-06-11,157.09,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,157.02,
2010-06-15,157.06,
2010-06-16,157.03,
2010-06-17,.,No value available
2010-06-18,157.00,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,156.98,
2010-06-22,156.87,
2010-06-23,156.83,
2010-06-24,157.34,
2010-06-25,157.36,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,157.29,
2010-06-29,156.92,
2010-06-30,156.75,
2010-07-01,156.80,
2010-07-02,156.82,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,156.81,
2010-07-06,157.47,
2010-07-07,157.49,
2010-07-08,157.56,
2010-07-09,157.79,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,157.51,
2010-07-13,157.35,
2010-07-14,157.78,
2010-07-15,158.05,
2010-07-16,158.54,
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,158.80,
2010-07-20,158.70,
2010-07-21,157.99,
2010-07-22,158.07,
2010-07-23,158.21,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,157.94,
2010-07-27,157.38,
2010-07-28,157.18,
2010-07-29,157.44,
2010-07-30,156.56,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,.,No value available
2010-08-03,157.06,
2010-08-04,156.95,
2010-08-05,156.73,
2010-08-06,155.41,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,155.56,
2010-08-10,154.82,
2010-08-11,154.20,
2010-08-12,153.45,
2010-08-13,153.45,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,153.28,
2010-08-17,153.49,
2010-08-18,153.53,
2010-08-19,153.47,
2010-08-20,153.06,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,152.90,
2010-08-24,152.80,
2010-08-25,152.92,
2010-08-26,152.79,
2010-08-27,153.25,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,153.31,
2010-08-31,153.35,
2010-09-01,153.43,
2010-09-02,153.50,
2010-09-03,152.01,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,151.11,
2010-09-07,150.74,
2010-09-08,150.54,
2010-09-09,150.59,
2010-09-10,150.61,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,150.98,
2010-09-14,151.10,
2010-09-15,151.63,
2010-09-16,152.18,
2010-09-17,153.04,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,153.09,
2010-09-21,153.42,
2010-09-22,154.05,
2010-09-23,154.02,
2010-09-24,154.23,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,153.95,
2010-09-28,154.16,
2010-09-29,154.58,
2010-09-30,154.87,
2010-10-01,154.69,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,154.37,
2010-10-05,154.56,
2010-10-06,154.25,
2010-10-07,154.52,
2010-10-08,154.75,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,154.40,
2010-10-12,154.80,
2010-10-13,155.21,
2010-10-14,155.28,
2010-10-15,155.70,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,155.47,
2010-10-19,155.59,
2010-10-20,155.77,
2010-10-21,156.42,
2010-10-22,156.28,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,156.42,
2010-10-26,155.94,
2010-10-27,155.72,
2010-10-28,155.35,
2010-10-29,155.11,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,155.17,
2010-11-02,154.64,
2010-11-03,154.69,
2010-11-04,154.91,
2010-11-05,154.76,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,154.13,
2010-11-09,154.08,
2010-11-10,153.44,
2010-11-11,153.45,
2010-11-12,153.43,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,153.33,
2010-11-16,153.34,
2010-11-17,153.20,
2010-11-18,153.51,
2010-11-19,153.79,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,153.97,
2010-11-23,153.59,
2010-11-24,152.84,
2010-11-25,152.90,
2010-11-26,153.11,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,153.30,
2010-11-30,152.87,
2010-12-01,152.54,
2010-12-02,152.75,
2010-12-03,152.62,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,152.05,
2010-12-07,152.10,
2010-12-08,151.76,
2010-12-09,151.96,
2010-12-10,152.16,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,152.65,
2010-12-14,153.58,
