"",BBSF2.M.1.S.I1251.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:23,
2009-09,62539,
2009-10,64584,
2009-11,66913,
2009-12,68386,
2010-01,68576,
2010-02,69555,
2010-03,71240,
2010-04,71845,
2010-05,72324,
2010-06,72389,
2010-07,72503,
2010-08,74798,
2010-09,75145,
2010-10,75929,
2010-11,81934,
2010-12,80972,
2011-01,81533,
2011-02,82170,
2011-03,82718,
2011-04,83247,
2011-05,84092,
2011-06,83712,
2011-07,84199,
2011-08,83842,
2011-09,83814,
2011-10,84646,
2011-11,84431,
2011-12,87002,
2012-01,84729,
2012-02,91380,
2012-03,92505,
2012-04,92488,
2012-05,93274,
2012-06,93203,
2012-07,95632,
2012-08,96619,
2012-09,96720,
2012-10,97874,
2012-11,98579,
2012-12,99756,
2013-01,99125,
2013-02,100447,
2013-03,102090,
2013-04,104131,
2013-05,104405,
2013-06,102033,
2013-07,103849,
2013-08,103373,
2013-09,105292,
2013-10,107578,
2013-11,107429,
2013-12,107835,
2014-01,108082,
2014-02,109801,
2014-03,110810,
2014-04,111683,
2014-05,113117,
2014-06,113466,
2014-07,115478,
2014-08,118307,
2014-09,117754,
2014-10,118814,
2014-11,121297,
