"",BBK01.CEL6K0,BBK01.CEL6K0_FLAGS
"","Insurance, pension and standardised guarantees debtor: Insurance corporations and Pension funds                creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:25,
1999-01,18.5,
1999-04,11.3,
1999-07,13.1,
1999-10,16.7,
2000-01,20.1,
2000-04,11.0,
2000-07,12.1,
2000-10,7.0,
2001-01,19.6,
2001-04,10.4,
2001-07,15.4,
2001-10,12.5,
2002-01,24.4,
2002-04,10.6,
2002-07,12.9,
2002-10,-11.4,
2003-01,15.6,
2003-04,11.1,
2003-07,10.4,
2003-10,6.9,
2004-01,14.5,
2004-04,7.4,
2004-07,9.2,
2004-10,13.4,
2005-01,16.1,
2005-04,8.8,
2005-07,12.1,
2005-10,23.6,
2006-01,8.9,
2006-04,8.9,
2006-07,8.9,
2006-10,9.4,
2007-01,4.2,
2007-04,4.2,
2007-07,4.3,
2007-10,15.3,
2008-01,3.2,
2008-04,1.9,
2008-07,2.4,
2008-10,2.9,
2009-01,10.2,
2009-04,10.3,
2009-07,10.2,
2009-10,10.1,
2010-01,13.9,
2010-04,13.7,
2010-07,13.6,
2010-10,13.6,
2011-01,8.4,
2011-04,8.4,
2011-07,8.3,
2011-10,8.2,
2012-01,14.1,
2012-04,14.0,
2012-07,13.9,
2012-10,13.9,
2013-01,14.6,
2013-04,14.5,
2013-07,14.4,
2013-10,14.5,
2014-01,18.5,
2014-04,10.9,
2014-07,8.0,
