"",BBK01.CEFF0K,BBK01.CEFF0K_FLAGS
"",long-term loans  debtor: Total               creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:18,
1999-01,94.0,
1999-04,94.8,
1999-07,95.6,
1999-10,103.2,
2000-01,103.7,
2000-04,105.6,
2000-07,107.0,
2000-10,106.5,
2001-01,107.9,
2001-04,109.2,
2001-07,112.2,
2001-10,121.8,
2002-01,124.7,
2002-04,126.1,
2002-07,125.1,
2002-10,139.2,
2003-01,140.4,
2003-04,142.9,
2003-07,144.8,
2003-10,157.1,
2004-01,161.2,
2004-04,162.6,
2004-07,163.8,
2004-10,168.3,
2005-01,169.4,
2005-04,169.1,
2005-07,169.2,
2005-10,162.1,
2006-01,166.3,
2006-04,168.7,
2006-07,171.1,
2006-10,171.2,
2007-01,174.7,
2007-04,177.4,
2007-07,181.5,
2007-10,180.8,
2008-01,178.3,
2008-04,180.1,
2008-07,180.2,
2008-10,179.1,
2009-01,186.3,
2009-04,191.0,
2009-07,193.1,
2009-10,195.4,
2010-01,200.6,
2010-04,201.7,
2010-07,202.8,
2010-10,201.6,
2011-01,202.2,
2011-04,203.5,
2011-07,204.4,
2011-10,203.7,
2012-01,206.3,
2012-04,205.9,
2012-07,206.8,
2012-10,207.0,
2013-01,208.8,
2013-04,209.3,
2013-07,211.2,
2013-10,215.4,
2014-01,217.7,
2014-04,218.2,
2014-07,218.2,
