"",BBEX3.M.BWP.USD.CM.AB.A01,BBEX3.M.BWP.USD.CM.AB.A01_FLAGS
"",Exchange rates for the US dollar in Botswana / BWP 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:32,
1976-09,1.1486,comment
1976-10,.,No value available
1976-11,.,No value available
1976-12,1.1486,
1977-01,1.1486,
1977-02,1.1486,
1977-03,1.1486,
1977-04,1.2060,
1977-05,1.2060,
1977-06,1.2060,
1977-07,1.2060,
1977-08,1.2060,
1977-09,1.2060,
1977-10,1.2060,
1977-11,1.2060,
1977-12,1.2060,
1978-01,1.2060,
1978-02,1.2060,
1978-03,1.2060,
1978-04,1.2060,
1978-05,1.2060,
1978-06,1.2060,
1978-07,1.2060,
1978-08,1.2060,
1978-09,1.2060,
1978-10,1.2060,
1978-11,1.2060,
1978-12,1.2060,
1979-01,1.2060,
1979-02,1.2060,
1979-03,1.2060,
1979-04,1.2060,
1979-05,1.2060,
1979-06,1.2060,
1979-07,1.2060,
1979-08,1.2060,
1979-09,1.2663,
1979-10,1.2663,
1979-11,1.2663,
1979-12,1.2663,
1980-01,1.2663,
1980-02,1.2663,
1980-03,1.2663,
1980-04,1.2663,
1980-05,1.2663,
1980-06,1.2797,
1980-07,1.2851,
1980-08,1.2877,
1980-09,1.2897,
1980-10,1.2848,
1980-11,1.3437,
1980-12,1.3456,
1981-01,1.3206,
1981-02,1.2892,
1981-03,1.2734,
1981-04,1.2455,
1981-05,1.2087,
1981-06,1.1737,
1981-07,1.1191,
1981-08,1.1283,
1981-09,1.1294,
1981-10,1.1212,
1981-11,1.1393,
1981-12,1.1363,
1982-01,1.1170,
1982-02,1.1059,
1982-03,1.0594,
1982-04,1.0707,
1982-05,0.9485,comment
1982-06,0.9101,
1982-07,0.9080,
1982-08,0.9024,
1982-09,0.8975,
1982-10,0.8880,
1982-11,0.9163,
1982-12,0.9413,
1983-01,0.9376,
1983-02,0.9317,
1983-03,0.9214,
