"",BBK01.CEFEK3,BBK01.CEFEK3_FLAGS
"",short-term loans  debtor: Insurance corporations                     creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:30,
1999-01,1.4,
1999-04,1.5,
1999-07,1.2,
1999-10,1.0,
2000-01,1.4,
2000-04,1.4,
2000-07,1.8,
2000-10,1.1,
2001-01,1.2,
2001-04,1.6,
2001-07,2.3,
2001-10,2.6,
2002-01,2.2,
2002-04,1.5,
2002-07,1.9,
2002-10,2.0,
2003-01,2.4,
2003-04,2.4,
2003-07,1.9,
2003-10,1.7,
2004-01,2.0,
2004-04,1.2,
2004-07,1.1,
2004-10,0.8,
2005-01,1.0,
2005-04,1.1,
2005-07,1.2,
2005-10,0.7,
2006-01,1.3,
2006-04,1.3,
2006-07,0.8,
2006-10,0.7,
2007-01,3.6,
2007-04,3.4,
2007-07,3.8,
2007-10,4.1,
2008-01,4.4,
2008-04,2.8,
2008-07,4.2,
2008-10,2.2,
2009-01,2.5,
2009-04,1.9,
2009-07,2.2,
2009-10,1.9,
2010-01,2.1,
2010-04,1.8,
2010-07,1.6,
2010-10,2.1,
2011-01,0.8,
2011-04,0.6,
2011-07,0.7,
2011-10,0.7,
2012-01,0.7,
2012-04,1.6,
2012-07,1.3,
2012-10,1.3,
2013-01,1.3,
2013-04,1.3,
2013-07,1.0,
2013-10,1.6,
2014-01,2.1,
2014-04,1.7,
2014-07,3.1,
