"",BBQFS.M.DE.BANK.CBC.US.0000,BBQFS.M.DE.BANK.CBC.US.0000_FLAGS
"",Cross-border claims of German banks on the USA (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:34,
2002-03,502.79,
2002-04,508.06,
2002-05,478.12,
2002-06,462.69,
2002-07,462.13,
2002-08,476.84,
2002-09,469.86,
2002-10,465.82,
2002-11,470.19,
2002-12,424.52,
2003-01,405.64,
2003-02,416.47,
2003-03,411.87,
2003-04,410.41,
2003-05,403.55,
2003-06,422.98,
2003-07,424.55,
2003-08,425.67,
2003-09,398.42,
2003-10,399.20,
2003-11,415.22,
2003-12,369.73,
2004-01,384.80,
2004-02,384.56,
2004-03,394.89,
2004-04,387.90,
2004-05,370.33,
2004-06,368.82,
2004-07,377.69,
2004-08,373.30,
2004-09,377.24,
2004-10,392.87,
2004-11,387.06,
2004-12,375.48,
2005-01,401.95,
2005-02,415.87,
2005-03,433.56,
2005-04,440.96,
2005-05,454.06,
2005-06,457.35,
2005-07,457.90,
2005-08,464.46,
2005-09,464.30,
2005-10,477.64,
2005-11,495.06,
2005-12,478.81,
2006-01,491.83,
2006-02,507.01,
2006-03,488.16,
2006-04,475.23,
2006-05,476.47,
2006-06,469.81,
2006-07,489.09,
2006-08,512.10,
2006-09,517.85,
2006-10,519.93,
2006-11,544.12,
2006-12,537.05,
2007-01,523.80,
2007-02,538.27,
2007-03,568.49,
2007-04,567.10,
2007-05,591.71,
2007-06,583.02,
2007-07,597.39,
2007-08,595.31,
2007-09,600.69,
2007-10,596.62,
2007-11,589.83,
2007-12,577.41,
2008-01,585.75,
2008-02,565.73,
2008-03,516.75,
2008-04,529.03,
2008-05,522.70,
2008-06,499.11,
2008-07,492.24,
2008-08,514.26,
2008-09,541.79,
2008-10,599.68,
2008-11,548.44,
2008-12,460.17,
2009-01,506.33,
2009-02,495.58,
2009-03,450.43,
2009-04,463.27,
2009-05,434.61,
2009-06,422.87,
2009-07,403.53,
2009-08,422.67,
2009-09,399.34,
2009-10,406.99,
2009-11,385.88,
2009-12,370.06,
2010-01,394.02,
2010-02,424.74,
2010-03,382.93,
2010-04,441.70,
2010-05,478.17,
2010-06,457.79,
2010-07,412.32,
2010-08,403.70,
2010-09,377.78,
2010-10,374.42,
2010-11,389.29,
2010-12,367.33,
2011-01,373.23,
2011-02,376.56,
2011-03,353.45,
2011-04,383.71,
2011-05,414.81,
2011-06,386.26,
2011-07,382.94,
2011-08,388.02,
2011-09,433.99,
2011-10,403.72,
2011-11,411.64,
2011-12,406.97,
2012-01,409.34,
2012-02,403.24,
2012-03,375.59,
2012-04,411.56,
2012-05,423.66,
2012-06,390.66,
2012-07,396.63,
2012-08,372.31,
2012-09,392.04,
2012-10,387.73,
2012-11,389.74,
2012-12,375.79,
2013-01,385.13,
2013-02,384.21,
2013-03,383.90,
2013-04,384.84,
2013-05,397.10,
2013-06,358.49,
2013-07,369.15,
2013-08,366.37,
2013-09,360.56,
2013-10,373.10,
2013-11,370.72,
2013-12,334.03,
2014-01,390.57,
2014-02,382.10,
2014-03,360.79,
2014-04,371.48,
2014-05,381.50,
2014-06,399.22,
2014-07,415.54,
2014-08,401.21,
"",Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries.,
