"",BBAI3.Q.DE.N.V.LE.F34.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:59,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,1946,
2009-04,1856,
2009-07,1683,
2009-10,1641,
2010-01,1623,
2010-04,1662,
2010-07,1731,
2010-10,1717,
2011-01,1577,
2011-04,1626,
2011-07,1657,
2011-10,1537,
2012-01,1668,
2012-04,1669,
2012-07,1628,
2012-10,1583,
2013-01,1485,
2013-04,1643,
2013-07,1679,
2013-10,1390,
2014-01,1454,
2014-04,1408,
2014-07,1457,
