"",BBK01.CELF0K,BBK01.CELF0K_FLAGS
"",long-term loans                                            debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:59,
1999-01,1.2,
1999-04,1.2,
1999-07,1.2,
1999-10,3.5,
2000-01,1.0,
2000-04,2.5,
2000-07,1.9,
2000-10,-3.6,
2001-01,2.0,
2001-04,1.9,
2001-07,3.5,
2001-10,7.1,
2002-01,3.3,
2002-04,1.8,
2002-07,-0.6,
2002-10,13.6,
2003-01,1.6,
2003-04,2.8,
2003-07,2.3,
2003-10,13.2,
2004-01,3.2,
2004-04,0.5,
2004-07,0.3,
2004-10,8.0,
2005-01,0.9,
2005-04,-0.4,
2005-07,0.0,
2005-10,-8.4,
2006-01,4.1,
2006-04,2.4,
2006-07,2.5,
2006-10,0.1,
2007-01,3.5,
2007-04,2.6,
2007-07,4.2,
2007-10,-0.7,
2008-01,-2.6,
2008-04,1.9,
2008-07,0.0,
2008-10,-1.1,
2009-01,7.2,
2009-04,4.7,
2009-07,2.1,
2009-10,2.3,
2010-01,5.2,
2010-04,1.1,
2010-07,1.0,
2010-10,-1.2,
2011-01,0.7,
2011-04,1.2,
2011-07,1.0,
2011-10,-0.7,
2012-01,2.6,
2012-04,-0.4,
2012-07,0.9,
2012-10,0.2,
2013-01,1.9,
2013-04,0.4,
2013-07,1.9,
2013-10,4.2,
2014-01,2.4,
2014-04,0.5,
2014-07,0.0,
