"",BBK01.CEFS0K,BBK01.CEFS0K_FLAGS
"",Savings certificates  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:10,
1999-01,14.5,
1999-04,14.7,
1999-07,14.5,
1999-10,14.6,
2000-01,14.5,
2000-04,14.5,
2000-07,14.7,
2000-10,14.7,
2001-01,14.6,
2001-04,14.6,
2001-07,14.6,
2001-10,14.0,
2002-01,13.9,
2002-04,14.0,
2002-07,13.8,
2002-10,13.4,
2003-01,13.5,
2003-04,13.3,
2003-07,13.0,
2003-10,12.4,
2004-01,12.1,
2004-04,12.1,
2004-07,12.0,
2004-10,11.8,
2005-01,11.8,
2005-04,11.8,
2005-07,11.6,
2005-10,10.9,
2006-01,10.8,
2006-04,10.7,
2006-07,10.4,
2006-10,10.1,
2007-01,10.5,
2007-04,10.4,
2007-07,10.2,
2007-10,10.2,
2008-01,10.1,
2008-04,10.0,
2008-07,9.6,
2008-10,9.3,
2009-01,9.2,
2009-04,9.3,
2009-07,9.5,
2009-10,9.5,
2010-01,9.8,
2010-04,9.8,
2010-07,10.0,
2010-10,8.0,
2011-01,7.8,
2011-04,8.0,
2011-07,8.0,
2011-10,7.9,
2012-01,7.7,
2012-04,7.6,
2012-07,7.5,
2012-10,7.2,
2013-01,7.2,
2013-04,7.1,
2013-07,7.1,
2013-10,6.9,
2014-01,6.6,
2014-04,6.4,
2014-07,7.4,
