"",BBK01.CEH7QB,BBK01.CEH7QB_FLAGS
"",Other claims debtor: All sectors (consolidated)                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:27,
1991-01,0.5,
1991-04,-0.4,
1991-07,0.4,
1991-10,1.3,
1992-01,1.2,
1992-04,0.4,
1992-07,0.3,
1992-10,0.0,
1993-01,0.8,
1993-04,1.0,
1993-07,0.6,
1993-10,-2.4,
1994-01,0.2,
1994-04,1.5,
1994-07,0.7,
1994-10,-0.7,
1995-01,-3.0,
1995-04,0.9,
1995-07,1.4,
1995-10,0.3,
1996-01,0.7,
1996-04,0.0,
1996-07,0.1,
1996-10,-3.5,
1997-01,2.5,
1997-04,0.1,
1997-07,0.7,
1997-10,-2.1,
1998-01,0.9,
1998-04,1.5,
1998-07,0.5,
1998-10,-1.0,
1999-01,0.3,
1999-04,-0.3,
1999-07,-0.3,
1999-10,3.2,
2000-01,0.6,
2000-04,-0.4,
2000-07,-0.3,
2000-10,0.5,
2001-01,0.3,
2001-04,-0.6,
2001-07,0.2,
2001-10,-0.1,
2002-01,1.6,
2002-04,-0.4,
2002-07,-0.2,
2002-10,-0.3,
2003-01,-0.4,
2003-04,-0.4,
2003-07,-0.7,
2003-10,8.8,
2004-01,1.6,
2004-04,0.5,
2004-07,1.0,
2004-10,-2.8,
2005-01,1.9,
2005-04,0.7,
2005-07,1.6,
2005-10,25.0,
2006-01,0.3,
2006-04,-0.4,
2006-07,-0.5,
2006-10,-6.8,
2007-01,0.6,
2007-04,-0.6,
2007-07,-0.7,
2007-10,-4.6,
2008-01,0.1,
2008-04,1.9,
2008-07,1.3,
2008-10,-2.4,
2009-01,2.6,
2009-04,-1.9,
2009-07,0.4,
2009-10,-2.4,
2010-01,2.3,
2010-04,-0.4,
2010-07,-0.7,
2010-10,0.4,
2011-01,0.8,
2011-04,0.5,
2011-07,0.1,
2011-10,-3.9,
2012-01,0.8,
2012-04,-0.6,
2012-07,0.2,
2012-10,0.1,
2013-01,2.2,
2013-04,-1.1,
2013-07,-0.7,
2013-10,0.2,
2014-01,2.2,
