"",BBK01.CEHV0I,BBK01.CEHV0I_FLAGS
"",longer-term savings deposits debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:51,
1991-01,-1.5,
1991-04,0.5,
1991-07,-1.7,
1991-10,3.0,
1992-01,-0.7,
1992-04,0.9,
1992-07,0.5,
1992-10,4.2,
1993-01,-1.5,
1993-04,3.4,
1993-07,4.8,
1993-10,5.4,
1994-01,-0.4,
1994-04,2.6,
1994-07,2.3,
1994-10,2.4,
1995-01,-1.8,
1995-04,2.4,
1995-07,1.5,
1995-10,-0.5,
1996-01,-2.6,
1996-04,-3.0,
1996-07,-2.0,
1996-10,-2.9,
1997-01,-3.3,
1997-04,-3.4,
1997-07,-2.1,
1997-10,-2.2,
1998-01,-1.7,
1998-04,-3.0,
1998-07,-0.6,
1998-10,-1.5,
1999-01,-3.3,
1999-04,-6.4,
1999-07,-1.1,
1999-10,-1.1,
2000-01,1.9,
2000-04,3.4,
2000-07,6.3,
2000-10,1.4,
2001-01,0.9,
2001-04,-2.7,
2001-07,-2.0,
2001-10,-5.7,
2002-01,-4.7,
2002-04,-2.2,
2002-07,0.5,
2002-10,-3.8,
2003-01,-3.8,
2003-04,-4.7,
2003-07,-3.6,
2003-10,-0.7,
2004-01,-1.0,
2004-04,-1.8,
2004-07,0.3,
2004-10,0.9,
2005-01,0.8,
2005-04,-0.9,
2005-07,-2.8,
2005-10,-0.9,
2006-01,2.2,
2006-04,3.1,
2006-07,4.3,
2006-10,5.1,
2007-01,6.0,
2007-04,1.4,
2007-07,2.5,
2007-10,0.6,
2008-01,-2.0,
2008-04,-2.5,
2008-07,-1.7,
2008-10,7.4,
2009-01,1.5,
2009-04,3.5,
2009-07,3.9,
2009-10,-1.0,
2010-01,-1.6,
2010-04,-4.4,
2010-07,-5.6,
2010-10,-2.3,
2011-01,0.3,
2011-04,-0.6,
2011-07,-0.1,
2011-10,-3.1,
2012-01,-2.6,
2012-04,-1.7,
2012-07,-3.6,
2012-10,-5.0,
2013-01,-4.0,
2013-04,-4.2,
2013-07,-2.6,
2013-10,-1.1,
2014-01,-0.1,
