"",BBAI3.Q.DE.N.V.LE.F29AAB.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:23,
2005-10,1181,
2006-01,1359,
2006-04,1393,
2006-07,1526,
2006-10,1776,
2007-01,1999,
2007-04,2177,
2007-07,2065,
2007-10,2313,
2008-01,2196,
2008-04,3269,
2008-07,3683,
2008-10,3034,
2009-01,2967,
2009-04,2832,
2009-07,2509,
2009-10,2487,
2010-01,2379,
2010-04,1780,
2010-07,1430,
2010-10,1486,
2011-01,1663,
2011-04,1501,
2011-07,1608,
2011-10,1614,
2012-01,1403,
2012-04,1531,
2012-07,1582,
2012-10,1424,
2013-01,1415,
2013-04,1696,
2013-07,1527,
2013-10,1551,
2014-01,1299,
2014-04,1305,
2014-07,1668,
