"",BBK01.CEFXEK,BBK01.CEFXEK_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits  debtor: Insurance corporations                                       creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:41,
1999-01,7.4,
1999-04,7.4,
1999-07,7.4,
1999-10,7.4,
2000-01,7.6,
2000-04,7.8,
2000-07,8.0,
2000-10,8.1,
2001-01,8.3,
2001-04,8.4,
2001-07,8.5,
2001-10,8.7,
2002-01,8.9,
2002-04,9.2,
2002-07,9.4,
2002-10,9.7,
2003-01,9.8,
2003-04,9.9,
2003-07,10.1,
2003-10,10.2,
2004-01,10.3,
2004-04,10.4,
2004-07,10.5,
2004-10,10.6,
2005-01,10.7,
2005-04,10.9,
2005-07,11.0,
2005-10,11.1,
2006-01,11.3,
2006-04,11.4,
2006-07,11.6,
2006-10,11.7,
2007-01,11.6,
2007-04,11.4,
2007-07,11.2,
2007-10,11.0,
2008-01,11.0,
2008-04,10.9,
2008-07,10.8,
2008-10,10.7,
2009-01,10.8,
2009-04,10.8,
2009-07,10.9,
2009-10,10.9,
2010-01,10.9,
2010-04,10.8,
2010-07,10.8,
2010-10,10.7,
2011-01,10.8,
2011-04,10.8,
2011-07,10.9,
2011-10,10.9,
2012-01,11.0,
2012-04,11.0,
2012-07,11.1,
2012-10,11.1,
2013-01,11.2,
2013-04,11.2,
2013-07,11.2,
2013-10,11.2,
2014-01,11.2,
2014-04,11.3,
2014-07,11.3,
