"",BBAI3.Q.DE.N.V.LE.F21.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F21.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Currency / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:39,
2005-10,5,
2006-01,4,
2006-04,4,
2006-07,4,
2006-10,4,
2007-01,4,
2007-04,4,
2007-07,4,
2007-10,3,
2008-01,3,
2008-04,3,
2008-07,3,
2008-10,3,
2009-01,3,
2009-04,3,
2009-07,3,
2009-10,4,
2010-01,4,
2010-04,3,
2010-07,3,
2010-10,3,
2011-01,4,
2011-04,4,
2011-07,5,
2011-10,5,
2012-01,5,
2012-04,5,
2012-07,5,
2012-10,4,
2013-01,4,
2013-04,4,
2013-07,3,
2013-10,3,
2014-01,3,
2014-04,3,
2014-07,3,
