"",BBFN1.M.DE.N.1.A.BG.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BG.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-09,0.001,
1986-10,0.001,
1986-11,0.001,
1986-12,0.001,
1987-01,0.001,
1987-02,0.001,
1987-03,0.001,
1987-04,0.001,
1987-05,0.001,
1987-06,0.001,
1987-07,0.001,
1987-08,0.001,
1987-09,0.001,
1987-10,0.001,
1987-11,0.001,
1987-12,0.001,
1988-01,0.001,
1988-02,-,Nothing exists
1988-03,0.001,
1988-04,0.001,
1988-05,0.001,
1988-06,0.002,
1988-07,0.002,
1988-08,0.001,
1988-09,0.002,
1988-10,0.001,
1988-11,0.001,
1988-12,0.001,
1989-01,0.001,
1989-02,0.001,
1989-03,0.001,
1989-04,0.001,
1989-05,0.001,
1989-06,0.002,
1989-07,0.001,
1989-08,0.001,
1989-09,0.001,
1989-10,0.001,
1989-11,0.001,
1989-12,0.002,
1990-01,0.001,
1990-02,0.001,
1990-03,0.001,
1990-04,0.001,
1990-05,0.001,
1990-06,0.002,
1990-07,0.002,
1990-08,0.002,
1990-09,0.002,
1990-10,0.002,
1990-11,0.002,
1990-12,0.002,
1991-01,0.002,
1991-02,0.002,
1991-03,0.002,
1991-04,0.002,
1991-05,0.002,
1991-06,0.002,
1991-07,0.002,
1991-08,0.002,
1991-09,0.002,
1991-10,0.002,
1991-11,0.002,
1991-12,0.002,
1992-01,0.004,
1992-02,0.004,
1992-03,0.004,
1992-04,0.003,
1992-05,0.004,
1992-06,0.003,
1992-07,0.003,
1992-08,0.003,
1992-09,0.003,
1992-10,0.003,
1992-11,0.003,
1992-12,0.002,
1993-01,0.003,
1993-02,0.003,
1993-03,0.003,
1993-04,0.003,
1993-05,0.003,
1993-06,0.002,
1993-07,0.003,
1993-08,0.003,
1993-09,0.002,
1993-10,0.002,
1993-11,0.002,
1993-12,0.002,
1994-01,0.002,
1994-02,0.003,
1994-03,0.003,
1994-04,0.003,
1994-05,0.004,
1994-06,0.004,
1994-07,0.006,
1994-08,0.009,
1994-09,0.009,
1994-10,0.009,
1994-11,0.008,
1994-12,0.008,
1995-01,0.008,
1995-02,0.008,
1995-03,0.008,
1995-04,0.009,
1995-05,0.008,
1995-06,0.009,
1995-07,0.009,
1995-08,0.008,
1995-09,0.008,
1995-10,0.008,
1995-11,0.008,
1995-12,0.010,
1996-01,0.010,
1996-02,0.010,
1996-03,0.010,
1996-04,0.010,
1996-05,0.011,
1996-06,0.011,
1996-07,0.011,
1996-08,0.011,
1996-09,0.013,
1996-10,0.015,
1996-11,0.015,
1996-12,0.013,
1997-01,0.012,
1997-02,0.027,
1997-03,0.028,
1997-04,0.027,
1997-05,0.027,
1997-06,0.027,
1997-07,0.027,
1997-08,0.028,
1997-09,0.028,
1997-10,0.029,
1997-11,0.029,
1997-12,0.035,
1998-01,0.038,
1998-02,0.038,
1998-03,0.034,
1998-04,0.033,
1998-05,0.033,
1998-06,0.036,
1998-07,0.035,
1998-08,0.036,
1998-09,0.035,
1998-10,0.038,
1998-11,0.037,
1998-12,0.035,
1999-01,0.035,
1999-02,0.032,
1999-03,0.033,
1999-04,0.032,
1999-05,0.031,
1999-06,0.028,
1999-07,0.028,
1999-08,0.032,
1999-09,0.033,
1999-10,0.037,
1999-11,0.037,
1999-12,0.039,
2000-01,0.047,
2000-02,0.046,
2000-03,0.042,
2000-04,0.046,
2000-05,0.033,
2000-06,0.033,
2000-07,0.036,
2000-08,0.041,
2000-09,0.043,
2000-10,0.045,
2000-11,0.044,
2000-12,0.049,
2001-01,0.061,
2001-02,0.046,
2001-03,0.052,
2001-04,0.070,
2001-05,0.072,
2001-06,0.062,
2001-07,0.060,
2001-08,0.063,
2001-09,0.062,
2001-10,0.077,
2001-11,0.076,
2001-12,0.081,
2002-01,0.074,
2002-02,0.079,
2002-03,0.080,
2002-04,0.086,
2002-05,0.088,
2002-06,0.091,
2002-07,0.092,
2002-08,0.092,
2002-09,0.096,
2002-10,0.091,
2002-11,0.097,
2002-12,0.087,
2003-01,0.081,
2003-02,0.090,
2003-03,0.096,
2003-04,0.099,
2003-05,0.098,
2003-06,0.099,
2003-07,0.097,
2003-08,0.095,
2003-09,0.094,
2003-10,0.089,
2003-11,0.086,
2003-12,0.088,
2004-01,0.087,
2004-02,0.088,
2004-03,0.093,
2004-04,0.097,
2004-05,0.097,
2004-06,0.099,
2004-07,0.096,
2004-08,0.089,
2004-09,0.087,
2004-10,0.090,
2004-11,0.087,
2004-12,0.089,
2005-01,0.064,
2005-02,0.084,
2005-03,0.113,
2005-04,0.107,
2005-05,0.112,
2005-06,0.112,
2005-07,0.108,
2005-08,0.109,
2005-09,0.112,
2005-10,0.115,
2005-11,0.111,
2005-12,0.094,
2006-01,0.065,
2006-02,0.097,
2006-03,0.114,
2006-04,0.114,
2006-05,0.111,
2006-06,0.119,
2006-07,0.117,
2006-08,0.118,
2006-09,0.107,
2006-10,0.109,
2006-11,0.103,
2006-12,0.102,
2007-01,0.083,
2007-02,0.092,
2007-03,0.100,
2007-04,0.111,
2007-05,0.106,
2007-06,0.114,
2007-07,0.151,
2007-08,0.153,
2007-09,0.150,
2007-10,0.161,
2007-11,0.147,
2007-12,0.231,
2008-01,0.227,
2008-02,0.239,
2008-03,0.246,
2008-04,0.226,
2008-05,0.258,
2008-06,0.445,
2008-07,0.463,
2008-08,0.484,
2008-09,0.482,
2008-10,0.589,
2008-11,0.555,
2008-12,0.516,
2009-01,0.561,
2009-02,0.495,
2009-03,0.480,
2009-04,0.484,
2009-05,0.501,
2009-06,0.479,
2009-07,0.501,
2009-08,0.494,
2009-09,0.438,
2009-10,0.532,
2009-11,0.561,
2009-12,0.650,
2010-01,0.697,
2010-02,0.701,
2010-03,0.434,
2010-04,0.544,
2010-05,0.528,
2010-06,0.566,
2010-07,0.634,
2010-08,0.546,
2010-09,0.551,
2010-10,0.488,
2010-11,0.566,
2010-12,0.615,
2011-01,0.669,
2011-02,0.656,
2011-03,0.447,
2011-04,0.531,
2011-05,0.482,
2011-06,0.400,
2011-07,0.377,
2011-08,0.339,
2011-09,0.340,
2011-10,0.350,
2011-11,0.389,
2011-12,0.372,
2012-01,0.378,
2012-02,0.300,
2012-03,0.339,
2012-04,0.338,
2012-05,0.341,
2012-06,0.350,
2012-07,0.381,
2012-08,0.412,
2012-09,0.373,
2012-10,0.370,
2012-11,0.388,
2012-12,0.349,
2013-01,0.354,
2013-02,0.360,
2013-03,0.362,
2013-04,0.369,
2013-05,0.379,
2013-06,0.349,
2013-07,0.324,
2013-08,0.329,
2013-09,0.359,
2013-10,0.337,
2013-11,0.325,
2013-12,0.291,
2014-01,0.391,
2014-02,0.363,
2014-03,0.294,
2014-04,0.353,
2014-05,0.354,
2014-06,0.339,
2014-07,0.284,
2014-08,0.282,
2014-09,0.320,
2014-10,0.324,
2014-11,0.319,
2014-12,0.308,
