"",BBK01.CEB4BQ,BBK01.CEB4BQ_FLAGS
"",Loans debtor: Insurance corporations                            creditor: All sectors     (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:48,
1991-01,10.9,
1991-04,11.2,
1991-07,11.1,
1991-10,11.2,
1992-01,12.0,
1992-04,12.8,
1992-07,12.5,
1992-10,12.4,
1993-01,13.0,
1993-04,13.3,
1993-07,13.8,
1993-10,13.6,
1994-01,14.2,
1994-04,15.2,
1994-07,14.7,
1994-10,15.2,
1995-01,17.0,
1995-04,16.7,
1995-07,17.1,
1995-10,15.9,
1996-01,17.3,
1996-04,17.9,
1996-07,17.3,
1996-10,17.5,
1997-01,18.0,
1997-04,19.2,
1997-07,19.5,
1997-10,20.7,
1998-01,21.2,
1998-04,22.0,
1998-07,23.2,
1998-10,23.6,
1999-01,23.7,
1999-04,24.7,
1999-07,25.0,
1999-10,25.1,
2000-01,25.8,
2000-04,26.1,
2000-07,26.6,
2000-10,26.1,
2001-01,27.3,
2001-04,27.8,
2001-07,28.6,
2001-10,29.8,
2002-01,30.5,
2002-04,31.3,
2002-07,34.3,
2002-10,35.4,
2003-01,36.9,
2003-04,39.8,
2003-07,39.5,
2003-10,38.0,
2004-01,40.7,
2004-04,40.5,
2004-07,41.5,
2004-10,43.9,
2005-01,35.2,
2005-04,33.7,
2005-07,38.6,
2005-10,33.2,
2006-01,33.7,
2006-04,33.9,
2006-07,30.7,
2006-10,32.4,
2007-01,30.2,
2007-04,31.3,
2007-07,31.6,
2007-10,28.0,
2008-01,27.3,
2008-04,25.9,
2008-07,27.8,
2008-10,23.7,
2009-01,23.6,
2009-04,22.9,
2009-07,22.6,
2009-10,22.8,
2010-01,23.7,
2010-04,24.1,
2010-07,25.6,
2010-10,23.2,
2011-01,20.5,
2011-04,20.1,
2011-07,20.5,
2011-10,20.5,
2012-01,20.5,
2012-04,22.0,
2012-07,22.3,
2012-10,22.5,
2013-01,23.6,
2013-04,23.7,
2013-07,20.6,
2013-10,21.2,
2014-01,22.0,
