"",BBK01.CEFAK0,BBK01.CEFAK0_FLAGS
"",short-term debt securities  debtor: Insurance corporations                                                                                     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:28,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,0.0,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,0.0,
2003-07,0.0,
2003-10,0.0,
2004-01,0.0,
2004-04,0.0,
2004-07,0.0,
2004-10,0.0,
2005-01,0.0,
2005-04,0.0,
2005-07,0.0,
2005-10,0.0,
2006-01,0.0,
2006-04,0.1,
2006-07,0.3,
2006-10,0.8,
2007-01,1.7,
2007-04,1.3,
2007-07,1.7,
2007-10,2.3,
2008-01,2.4,
2008-04,2.7,
2008-07,3.7,
2008-10,2.8,
2009-01,2.2,
2009-04,1.8,
2009-07,1.7,
2009-10,1.3,
2010-01,1.5,
2010-04,2.0,
2010-07,2.0,
2010-10,1.9,
2011-01,1.3,
2011-04,1.2,
2011-07,1.2,
2011-10,0.8,
2012-01,1.0,
2012-04,1.0,
2012-07,1.4,
2012-10,1.4,
2013-01,1.3,
2013-04,0.9,
2013-07,0.8,
2013-10,0.6,
2014-01,0.6,
2014-04,0.6,
2014-07,0.7,
