"",BBDE1.A.DE.N.GUA1.N2G470000.A.V.I10.L,BBDE1.A.DE.N.GUA1.N2G470000.A.V.I10.L_FLAGS
"","Turnover / At current prices, flows / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Unadjusted figure",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 14:29:28,
1950,5.7,
1951,6.7,
1952,7.2,
1953,7.8,
1954,8.5,
1955,9.5,
1956,10.6,
1957,11.6,
1958,12.3,
1959,13.2,
1960,14.8,
1961,15.8,
1962,18.0,
1963,18.8,
1964,20.3,
1965,22.4,
1966,23.6,
1967,23.9,
1968,24.9,
1969,27.5,
1970,30.6,
1971,33.8,
1972,37.1,
1973,39.7,
1974,41.9,
1975,45.7,
1976,48.9,
1977,52.4,
1978,55.1,
1979,58.6,
1980,61.9,
1981,64.3,
1982,64.9,
1983,66.5,
1984,68.2,
1985,69.8,
1986,71.1,
1987,73.5,
1988,76.1,
1989,79.0,
1990,86.5,
1991,92.5,
1992,94.2,
1993,94.1,
1994,94.0,
1995,95.3,
1996,95.5,
1997,94.4,
1998,95.0,
1999,95.5,
2000,97.7,
2001,98.9,
2002,96.8,
2003,95.9,
2004,97.9,
2005,99.6,
2006,100.6,
2007,99.1,
2008,101.3,
2009,97.5,
2010,100.0,
2011,102.7,
2012,104.8,
2013,106.3,
2014,108.2,Provisional value
"","General: 1 Source of the original data: Up to 1964: Bundesbank calculations using the annual figures calculated on the basis of the turnover tax statistics combined with the monthly indices published by the Federal Statistical Office. As of 1965: Federal Statistical Office. - 2 Territorial definition: Western Gemany up tp 1990 (up to 1960 excluding Saarland and up tp 1964 excluding West Berlin), afterwards Germany (chain-linked over the annual average of 1991; Bundesbank calculation). - 3 Methodology: Yearly averages. Up to 1967 including turnover tax, 1968 to 1990 including VAT and as of 1991 excluding VAT. Up to 1989 according to the economic sector classification, issue 1979; whereas up to 1979: Retail trade (position 43) excluding retail sale of automotive fuel by agencies (position 437.10) as well as from 1980 to 1990: excluding retail trade of motor vehicles and vehicle parts (position 438.1) as well as fuels and lubricants (position 437). From 1991 to 1993 according to the economic sector classification, issue 1993: Retail trade  (positions 52.1 - .6) (excluding  the sale of motor vehicles and of automotive fuel).  From 1994 according to the economic sector classification, issue 2008: Retail trade (position 47) (excluding  the sale of motor vehicles).",
