"",BBAI3.Q.DE.N.V.LE.F51M.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:28,
2005-10,201975,
2006-01,198953,
2006-04,197760,
2006-07,201263,
2006-10,206371,
2007-01,206480,
2007-04,208421,
2007-07,218179,
2007-10,224998,
2008-01,220010,
2008-04,216120,
2008-07,207977,
2008-10,204010,
2009-01,196884,
2009-04,188772,
2009-07,187023,
2009-10,185266,
2010-01,188468,
2010-04,190997,
2010-07,192612,
2010-10,197450,
2011-01,198183,
2011-04,199778,
2011-07,201448,
2011-10,204662,
2012-01,204717,
2012-04,204191,
2012-07,206891,
2012-10,202062,
2013-01,210695,
2013-04,209969,
2013-07,209681,
2013-10,209858,
2014-01,210585,
2014-04,211668,
2014-07,213058,
