"",BBAI3.Q.DE.N.V.LE.F29AAA.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:40,
2005-10,2625,
2006-01,3033,
2006-04,2750,
2006-07,2818,
2006-10,3275,
2007-01,3397,
2007-04,3205,
2007-07,2713,
2007-10,3173,
2008-01,3976,
2008-04,3309,
2008-07,2964,
2008-10,3369,
2009-01,4236,
2009-04,3180,
2009-07,3196,
2009-10,3291,
2010-01,3365,
2010-04,2968,
2010-07,2575,
2010-10,2547,
2011-01,3054,
2011-04,3056,
2011-07,3261,
2011-10,2961,
2012-01,3064,
2012-04,2989,
2012-07,2899,
2012-10,2988,
2013-01,3086,
2013-04,2756,
2013-07,2507,
2013-10,2375,
2014-01,2969,
2014-04,2900,
2014-07,2590,
