"",BBFN1.M.DE.N.1.L.MT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1985-07,0.011,
1985-08,0.011,
1985-09,0.011,
1985-10,0.014,
1985-11,0.014,
1985-12,0.014,
1986-01,0.014,
1986-02,0.014,
1986-03,-,Nothing exists
1986-04,0.001,
1986-05,-,Nothing exists
1986-06,-,Nothing exists
1986-07,-,Nothing exists
1986-08,0.001,
1986-09,-,Nothing exists
1986-10,-,Nothing exists
1986-11,-,Nothing exists
1986-12,-,Nothing exists
1987-01,-,Nothing exists
1987-02,-,Nothing exists
1987-03,0.001,
1987-04,0.001,
1987-05,-,Nothing exists
1987-06,-,Nothing exists
1987-07,-,Nothing exists
1987-08,0.001,
1987-09,-,Nothing exists
1987-10,0.001,
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,0.001,
1988-02,0.001,
1988-03,0.001,
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,0.001,
1988-09,0.001,
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,0.001,
1989-02,0.001,
1989-03,0.001,
1989-04,0.001,
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,0.001,
1989-09,-,Nothing exists
1989-10,0.001,
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,0.001,
1990-02,0.001,
1990-03,0.001,
1990-04,0.001,
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,0.002,
1990-09,0.001,
1990-10,0.001,
1990-11,0.001,
1990-12,-,Nothing exists
1991-01,0.002,
1991-02,0.002,
1991-03,0.002,
1991-04,0.003,
1991-05,0.002,
1991-06,0.002,
1991-07,-,Nothing exists
1991-08,0.001,
1991-09,0.001,
1991-10,-,Nothing exists
1991-11,0.001,
1991-12,-,Nothing exists
1992-01,0.001,
1992-02,0.001,
1992-03,0.001,
1992-04,0.001,
1992-05,-,Nothing exists
1992-06,0.001,
1992-07,-,Nothing exists
1992-08,0.001,
1992-09,0.001,
1992-10,0.001,
1992-11,-,Nothing exists
1992-12,0.002,
1993-01,0.003,
1993-02,0.003,
1993-03,0.003,
1993-04,0.004,
1993-05,0.002,
1993-06,0.003,
1993-07,0.002,
1993-08,0.004,
1993-09,0.003,
1993-10,0.003,
1993-11,0.003,
1993-12,0.003,
1994-01,0.003,
1994-02,0.004,
1994-03,0.004,
1994-04,0.002,
1994-05,0.008,
1994-06,0.008,
1994-07,0.008,
1994-08,0.009,
1994-09,0.009,
1994-10,0.010,
1994-11,0.008,
1994-12,0.008,
1995-01,0.008,
1995-02,0.008,
1995-03,0.007,
1995-04,0.007,
1995-05,0.008,
1995-06,0.009,
1995-07,0.007,
1995-08,0.009,
1995-09,0.008,
1995-10,0.009,
1995-11,0.008,
1995-12,0.007,
1996-01,0.008,
1996-02,0.009,
1996-03,0.009,
1996-04,0.010,
1996-05,0.010,
1996-06,0.010,
1996-07,0.009,
1996-08,0.009,
1996-09,0.009,
1996-10,0.009,
1996-11,0.009,
1996-12,0.009,
1997-01,0.009,
1997-02,0.010,
1997-03,0.010,
1997-04,0.011,
1997-05,0.010,
1997-06,0.009,
1997-07,0.010,
1997-08,0.011,
1997-09,0.013,
1997-10,0.010,
1997-11,0.010,
1997-12,0.009,
1998-01,0.009,
1998-02,0.004,
1998-03,0.004,
1998-04,0.005,
1998-05,0.014,
1998-06,0.004,
1998-07,0.005,
1998-08,0.006,
1998-09,0.005,
1998-10,0.005,
1998-11,0.005,
1998-12,0.005,
1999-01,0.007,
1999-02,0.008,
1999-03,0.008,
1999-04,0.007,
1999-05,0.004,
1999-06,0.003,
1999-07,0.003,
1999-08,0.003,
1999-09,0.008,
1999-10,0.008,
1999-11,0.006,
1999-12,0.004,
2000-01,0.008,
2000-02,0.007,
2000-03,0.011,
2000-04,0.017,
2000-05,0.006,
2000-06,0.008,
2000-07,0.005,
2000-08,0.006,
2000-09,0.011,
2000-10,0.006,
2000-11,0.006,
2000-12,0.009,
2001-01,0.009,
2001-02,0.011,
2001-03,0.014,
2001-04,0.011,
2001-05,0.012,
2001-06,0.011,
2001-07,0.009,
2001-08,0.010,
2001-09,0.011,
2001-10,0.008,
2001-11,0.010,
2001-12,0.003,
2002-01,0.007,
2002-02,0.007,
2002-03,0.007,
2002-04,0.009,
2002-05,0.010,
2002-06,0.009,
2002-07,0.009,
2002-08,0.039,
2002-09,0.035,
2002-10,0.035,
2002-11,0.035,
2002-12,0.037,
2003-01,0.032,
2003-02,0.031,
2003-03,0.024,
2003-04,0.028,
2003-05,0.033,
2003-06,0.028,
2003-07,0.026,
2003-08,0.027,
2003-09,0.026,
2003-10,0.028,
2003-11,0.031,
2003-12,0.034,
2004-01,0.035,
2004-02,0.034,
2004-03,0.034,
2004-04,0.033,
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,0.046,
2004-12,0.047,
2005-01,0.046,
2005-02,0.007,
2005-03,0.052,
2005-04,0.052,
2005-05,0.054,
2005-06,0.057,
2005-07,0.066,
2005-08,0.056,
2005-09,0.063,
2005-10,0.066,
2005-11,0.084,
2005-12,0.075,
2006-01,0.073,
2006-02,0.077,
2006-03,0.017,
2006-04,0.018,
2006-05,0.229,
2006-06,0.242,
2006-07,0.351,
2006-08,0.434,
2006-09,1.268,
2006-10,1.024,
2006-11,1.046,
2006-12,1.049,
2007-01,1.035,
2007-02,1.075,
2007-03,1.066,
2007-04,1.751,
2007-05,2.744,
2007-06,2.755,
2007-07,2.099,
2007-08,2.217,
2007-09,2.217,
2007-10,2.203,
2007-11,1.764,
2007-12,1.757,
2008-01,2.301,
2008-02,1.921,
2008-03,1.564,
2008-04,1.987,
2008-05,2.175,
2008-06,2.106,
2008-07,2.924,
2008-08,3.022,
2008-09,2.521,
2008-10,2.238,
2008-11,2.045,
2008-12,3.182,
2009-01,2.883,
2009-02,3.156,
2009-03,2.790,
2009-04,1.701,
2009-05,1.723,
2009-06,0.934,
2009-07,1.037,
2009-08,1.038,
2009-09,1.049,
2009-10,1.107,
2009-11,1.113,
2009-12,1.275,
2010-01,1.282,
2010-02,1.260,
2010-03,1.778,
2010-04,1.812,
2010-05,1.826,
2010-06,1.694,
2010-07,1.824,
2010-08,1.860,
2010-09,1.797,
2010-10,1.828,
2010-11,1.884,
2010-12,2.299,
2011-01,1.943,
2011-02,1.781,
2011-03,1.592,
2011-04,1.788,
2011-05,1.680,
2011-06,6.581,
2011-07,6.605,
2011-08,6.606,
2011-09,6.596,
2011-10,1.440,
2011-11,1.409,
2011-12,1.457,
2012-01,1.378,
2012-02,1.412,
2012-03,1.608,
2012-04,1.383,
2012-05,1.347,
2012-06,1.544,
2012-07,2.082,
2012-08,1.874,
2012-09,1.767,
2012-10,1.739,
2012-11,5.431,
2012-12,5.555,
2013-01,5.429,
2013-02,5.923,
2013-03,5.887,
2013-04,5.045,
2013-05,5.227,
2013-06,5.123,
2013-07,5.131,
2013-08,2.138,
2013-09,1.269,
2013-10,1.190,
2013-11,1.262,
2013-12,1.702,
2014-01,1.600,
2014-02,1.635,
2014-03,1.201,
2014-04,1.256,
2014-05,1.494,
2014-06,1.602,
2014-07,1.633,
2014-08,1.519,
2014-09,2.016,
2014-10,1.906,
2014-11,2.687,
2014-12,2.255,
