"",BBK01.CEH4B0,BBK01.CEH4B0_FLAGS
"",Loans debtor: Insurance corporations                          creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:07,
1991-01,0.4,
1991-04,0.6,
1991-07,0.3,
1991-10,0.9,
1992-01,1.2,
1992-04,0.9,
1992-07,0.1,
1992-10,0.0,
1993-01,1.0,
1993-04,0.7,
1993-07,0.9,
1993-10,-0.2,
1994-01,1.0,
1994-04,1.5,
1994-07,0.0,
1994-10,0.8,
1995-01,3.4,
1995-04,0.3,
1995-07,0.9,
1995-10,0.1,
1996-01,2.0,
1996-04,1.3,
1996-07,-0.1,
1996-10,0.5,
1997-01,1.2,
1997-04,1.9,
1997-07,1.0,
1997-10,1.3,
1998-01,1.2,
1998-04,1.4,
1998-07,1.8,
1998-10,1.0,
1999-01,1.3,
1999-04,1.9,
1999-07,1.2,
1999-10,1.1,
2000-01,1.4,
2000-04,1.6,
2000-07,1.4,
2000-10,-0.4,
2001-01,2.4,
2001-04,1.6,
2001-07,3.3,
2001-10,3.0,
2002-01,2.1,
2002-04,1.5,
2002-07,3.3,
2002-10,3.4,
2003-01,2.7,
2003-04,4.3,
2003-07,0.5,
2003-10,0.1,
2004-01,2.3,
2004-04,-0.6,
2004-07,0.5,
2004-10,3.0,
2005-01,-3.2,
2005-04,-2.8,
2005-07,-0.7,
2005-10,-3.8,
2006-01,2.0,
2006-04,0.1,
2006-07,0.9,
2006-10,1.6,
2007-01,-0.1,
2007-04,2.6,
2007-07,1.8,
2007-10,-5.7,
2008-01,-0.7,
2008-04,-1.5,
2008-07,0.0,
2008-10,-6.8,
2009-01,-1.2,
2009-04,-1.7,
2009-07,-1.2,
2009-10,-0.6,
2010-01,1.9,
2010-04,0.3,
2010-07,1.7,
2010-10,-1.0,
2011-01,-2.4,
2011-04,-0.5,
2011-07,0.4,
2011-10,0.7,
2012-01,0.9,
2012-04,1.7,
2012-07,0.3,
2012-10,0.7,
2013-01,1.2,
2013-04,0.1,
2013-07,-2.7,
2013-10,2.2,
2014-01,1.6,
