"",BBAI3.Q.DE.N.V.LE.N.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:40,
2005-10,45339,
2006-01,45086,
2006-04,45092,
2006-07,44810,
2006-10,44632,
2007-01,42428,
2007-04,41469,
2007-07,41444,
2007-10,40701,
2008-01,38071,
2008-04,38338,
2008-07,38139,
2008-10,38246,
2009-01,38289,
2009-04,38114,
2009-07,38272,
2009-10,38089,
2010-01,38634,
2010-04,38845,
2010-07,39402,
2010-10,40277,
2011-01,40138,
2011-04,40059,
2011-07,40231,
2011-10,41688,
2012-01,41934,
2012-04,42673,
2012-07,43030,
2012-10,43296,
2013-01,43810,
2013-04,44301,
2013-07,45527,
2013-10,46435,
2014-01,47030,
2014-04,47375,
2014-07,48395,
