"",BBK01.CEHEB0,BBK01.CEHEB0_FLAGS
"",short-term loans debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:07,
1991-01,0.3,
1991-04,0.4,
1991-07,0.2,
1991-10,0.1,
1992-01,1.0,
1992-04,0.8,
1992-07,-0.1,
1992-10,0.1,
1993-01,0.9,
1993-04,0.5,
1993-07,0.7,
1993-10,0.1,
1994-01,0.9,
1994-04,1.1,
1994-07,-0.3,
1994-10,0.4,
1995-01,1.9,
1995-04,-0.1,
1995-07,0.4,
1995-10,-0.1,
1996-01,1.5,
1996-04,0.9,
1996-07,-0.4,
1996-10,0.4,
1997-01,0.8,
1997-04,0.9,
1997-07,0.5,
1997-10,1.1,
1998-01,0.6,
1998-04,1.0,
1998-07,1.3,
1998-10,0.4,
1999-01,0.5,
1999-04,1.1,
1999-07,0.5,
1999-10,0.4,
2000-01,2.1,
2000-04,0.3,
2000-07,0.7,
2000-10,-0.3,
2001-01,1.5,
2001-04,0.9,
2001-07,1.4,
2001-10,1.5,
2002-01,1.0,
2002-04,1.1,
2002-07,3.3,
2002-10,1.1,
2003-01,2.0,
2003-04,0.3,
2003-07,0.2,
2003-10,-0.4,
2004-01,3.0,
2004-04,0.8,
2004-07,1.5,
2004-10,-0.1,
2005-01,-2.9,
2005-04,-1.9,
2005-07,-0.7,
2005-10,-1.6,
2006-01,-0.3,
2006-04,-0.5,
2006-07,-0.9,
2006-10,0.2,
2007-01,0.0,
2007-04,2.1,
2007-07,-0.3,
2007-10,-0.9,
2008-01,-1.0,
2008-04,-2.1,
2008-07,1.3,
2008-10,-4.2,
2009-01,-0.8,
2009-04,-1.2,
2009-07,-0.7,
2009-10,-0.8,
2010-01,1.3,
2010-04,0.4,
2010-07,0.8,
2010-10,1.6,
2011-01,-1.8,
2011-04,-0.5,
2011-07,0.1,
2011-10,0.0,
2012-01,0.6,
2012-04,1.6,
2012-07,0.4,
2012-10,-0.1,
2013-01,1.1,
2013-04,0.6,
2013-07,-3.0,
2013-10,0.9,
2014-01,1.8,
