"",BBDP1.M.DE.N.VPI.C.C1C041.I10.A,BBDP1.M.DE.N.VPI.C.C1C041.I10.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / 04.1 Actual rentals for housing,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:50:05,
1995-01,80.3,
1995-02,80.7,
1995-03,80.9,
1995-04,81.2,
1995-05,81.4,
1995-06,81.6,
1995-07,81.8,
1995-08,82.8,
1995-09,82.8,
1995-10,83.0,
1995-11,83.2,
1995-12,83.3,
1996-01,83.7,
1996-02,83.9,
1996-03,84.1,
1996-04,84.3,
1996-05,84.4,
1996-06,84.5,
1996-07,84.6,
1996-08,84.7,
1996-09,84.9,
1996-10,85.1,
1996-11,85.3,
1996-12,85.5,
1997-01,86.0,
1997-02,86.2,
1997-03,86.3,
1997-04,86.4,
1997-05,86.6,
1997-06,86.6,
1997-07,86.8,
1997-08,86.9,
1997-09,86.9,
1997-10,87.0,
1997-11,87.1,
1997-12,87.2,
1998-01,87.3,
1998-02,87.5,
1998-03,87.6,
1998-04,87.7,
1998-05,87.7,
1998-06,87.7,
1998-07,87.8,
1998-08,87.8,
1998-09,87.9,
1998-10,87.9,
1998-11,87.9,
1998-12,87.9,
1999-01,88.0,
1999-02,88.2,
1999-03,88.2,
1999-04,88.3,
1999-05,88.4,
1999-06,88.6,
1999-07,88.6,
1999-08,88.6,
1999-09,88.7,
1999-10,88.8,
1999-11,89.0,
1999-12,89.0,
2000-01,89.1,
2000-02,89.3,
2000-03,89.4,
2000-04,89.5,
2000-05,89.6,
2000-06,89.6,
2000-07,89.6,
2000-08,89.6,
2000-09,89.7,
2000-10,89.8,
2000-11,89.9,
2000-12,90.0,
2001-01,90.1,
2001-02,90.2,
2001-03,90.3,
2001-04,90.4,
2001-05,90.4,
2001-06,90.5,
2001-07,90.6,
2001-08,90.8,
2001-09,90.9,
2001-10,90.9,
2001-11,91.0,
2001-12,91.1,
2002-01,91.3,
2002-02,91.4,
2002-03,91.6,
2002-04,91.7,
2002-05,91.7,
2002-06,91.8,
2002-07,91.9,
2002-08,92.0,
2002-09,92.0,
2002-10,92.1,
2002-11,92.2,
2002-12,92.3,
2003-01,92.4,
2003-02,92.5,
2003-03,92.6,
2003-04,92.8,
2003-05,92.8,
2003-06,92.9,
2003-07,92.9,
2003-08,93.0,
2003-09,93.0,
2003-10,93.0,
2003-11,93.0,
2003-12,93.0,
2004-01,93.1,
2004-02,93.2,
2004-03,93.3,
2004-04,93.4,
2004-05,93.5,
2004-06,93.5,
2004-07,93.6,
2004-08,93.7,
2004-09,93.8,
2004-10,93.8,
2004-11,93.9,
2004-12,93.9,
2005-01,94.0,
2005-02,94.1,
2005-03,94.2,
2005-04,94.3,
2005-05,94.4,
2005-06,94.4,
2005-07,94.5,
2005-08,94.6,
2005-09,94.6,
2005-10,94.7,
2005-11,94.8,
2005-12,94.9,
2006-01,95.0,
2006-02,95.1,
2006-03,95.2,
2006-04,95.3,
2006-05,95.4,
2006-06,95.5,
2006-07,95.5,
2006-08,95.6,
2006-09,95.7,
2006-10,95.7,
2006-11,95.9,
2006-12,95.9,
2007-01,96.0,
2007-02,96.1,
2007-03,96.2,
2007-04,96.3,
2007-05,96.4,
2007-06,96.5,
2007-07,96.6,
2007-08,96.8,
2007-09,96.9,
2007-10,97.0,
2007-11,97.0,
2007-12,97.1,
2008-01,97.3,
2008-02,97.4,
2008-03,97.5,
2008-04,97.5,
2008-05,97.7,
2008-06,97.8,
2008-07,97.8,
2008-08,97.9,
2008-09,98.0,
2008-10,98.2,
2008-11,98.2,
2008-12,98.3,
2009-01,98.4,
2009-02,98.5,
2009-03,98.6,
2009-04,98.7,
2009-05,98.7,
2009-06,98.8,
2009-07,98.9,
2009-08,99.0,
2009-09,99.0,
2009-10,99.1,
2009-11,99.2,
2009-12,99.2,
2010-01,99.4,
2010-02,99.6,
2010-03,99.7,
2010-04,99.9,
2010-05,99.9,
2010-06,100.0,
2010-07,100.1,
2010-08,100.1,
2010-09,100.2,
2010-10,100.3,
2010-11,100.4,
2010-12,100.5,
2011-01,100.7,
2011-02,100.8,
2011-03,100.9,
2011-04,101.0,
2011-05,101.1,
2011-06,101.2,
2011-07,101.3,
2011-08,101.4,
2011-09,101.5,
2011-10,101.6,
2011-11,101.7,
2011-12,101.8,
2012-01,102.0,
2012-02,102.1,
2012-03,102.1,
2012-04,102.2,
2012-05,102.3,
2012-06,102.4,
2012-07,102.5,
2012-08,102.6,
2012-09,102.7,
2012-10,102.8,
2012-11,102.9,
2012-12,102.9,
2013-01,103.2,
2013-02,103.3,
2013-03,103.4,
2013-04,103.5,
2013-05,103.6,
2013-06,103.7,
2013-07,103.9,
2013-08,104.0,
2013-09,104.1,
2013-10,104.1,
2013-11,104.4,
2013-12,104.5,
2014-01,104.7,
2014-02,104.8,
2014-03,104.9,comment
2014-04,105.1,
2014-05,105.2,
2014-06,105.3,
2014-07,105.4,
2014-08,105.6,
2014-09,105.6,
2014-10,105.8,
2014-11,105.9,
2014-12,106.0,
2015-01,106.1,
2015-02,106.2,Estimated value
