"",BBAI3.Q.DE.N.V.LE.F331.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:24,
2005-10,3603,
2006-01,1108,
2006-04,1115,
2006-07,1316,
2006-10,1979,
2007-01,3340,
2007-04,4126,
2007-07,1995,
2007-10,3239,
2008-01,3687,
2008-04,2825,
2008-07,2840,
2008-10,3870,
2009-01,2550,
2009-04,2757,
2009-07,1806,
2009-10,2707,
2010-01,2103,
2010-04,2801,
2010-07,2900,
2010-10,4178,
2011-01,2322,
2011-04,2169,
2011-07,3440,
2011-10,2682,
2012-01,3172,
2012-04,3560,
2012-07,4483,
2012-10,4321,
2013-01,4025,
2013-04,2890,
2013-07,2813,
2013-10,3004,
2014-01,3473,
2014-04,2733,
2014-07,2493,
