"",BBK01.CELEJ0,BBK01.CELEJ0_FLAGS
"",short-term loans                                            debtor:  Households                                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:55,
1999-01,-2.4,
1999-04,2.6,
1999-07,-0.2,
1999-10,0.4,
2000-01,-2.0,
2000-04,2.8,
2000-07,0.4,
2000-10,1.1,
2001-01,-3.1,
2001-04,1.3,
2001-07,-0.8,
2001-10,-0.9,
2002-01,-3.2,
2002-04,-0.2,
2002-07,0.3,
2002-10,-0.8,
2003-01,-3.8,
2003-04,-0.2,
2003-07,-0.2,
2003-10,-3.1,
2004-01,-4.7,
2004-04,-1.0,
2004-07,-0.2,
2004-10,-2.4,
2005-01,-2.9,
2005-04,-0.7,
2005-07,-0.8,
2005-10,-1.0,
2006-01,-2.2,
2006-04,-0.2,
2006-07,-0.3,
2006-10,-2.6,
2007-01,-1.9,
2007-04,0.8,
2007-07,-0.8,
2007-10,1.0,
2008-01,-0.7,
2008-04,0.0,
2008-07,0.7,
2008-10,1.1,
2009-01,-0.3,
2009-04,0.0,
2009-07,-1.3,
2009-10,-2.5,
2010-01,-0.3,
2010-04,1.0,
2010-07,-0.8,
2010-10,-2.3,
2011-01,-0.6,
2011-04,0.9,
2011-07,-0.8,
2011-10,-1.6,
2012-01,-0.2,
2012-04,0.8,
2012-07,-1.2,
2012-10,-0.6,
2013-01,-1.5,
2013-04,-0.4,
2013-07,0.0,
2013-10,-1.4,
2014-01,0.8,
2014-04,0.5,
2014-07,-1.3,
