"",BBFB1.M.N.DE.W1.S1.S1.T.D.SDB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SDB._Z._Z._Z._T._X.N_FLAGS
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,3583.347,
2001-02,2707.118,
2001-03,3061.622,
2001-04,3707.111,
2001-05,3524.022,
2001-06,4222.245,
2001-07,5129.818,
2001-08,6769.116,
2001-09,5391.303,
2001-10,4717.212,
2001-11,2622.138,
2001-12,2025.237,
2002-01,2910.636,
2002-02,2807.607,
2002-03,3895.216,
2002-04,3401.637,
2002-05,4355.238,
2002-06,3927.806,
2002-07,5126.392,
2002-08,6505.474,
2002-09,5088.675,
2002-10,4098.803,
2002-11,2343.542,
2002-12,2796.444,
2003-01,2947.809,
2003-02,2608.709,
2003-03,3418.453,
2003-04,3860.517,
2003-05,3827.367,
2003-06,4561.195,
2003-07,5431.578,
2003-08,7451.072,
2003-09,5882.445,
2003-10,4498.255,
2003-11,2444.916,
2003-12,2654.449,
2004-01,2944.667,
2004-02,3243.781,
2004-03,3122.779,
2004-04,3548.661,
2004-05,4210.823,
2004-06,4826.350,
2004-07,4845.561,
2004-08,7437.844,
2004-09,5480.908,
2004-10,4164.387,
2004-11,2811.438,
2004-12,2311.001,
2005-01,2827.919,
2005-02,2870.536,
2005-03,4141.971,
2005-04,3295.204,
2005-05,4397.835,
2005-06,4471.773,
2005-07,5797.275,
2005-08,7307.203,
2005-09,5833.323,
2005-10,4777.811,
2005-11,2343.176,
2005-12,2266.708,
2006-01,2986.908,
2006-02,2839.511,
2006-03,3567.124,
2006-04,3567.189,
2006-05,4254.736,
2006-06,4846.826,
2006-07,5972.140,
2006-08,6371.393,
2006-09,6132.987,
2006-10,4554.000,
2006-11,2559.784,
2006-12,2345.152,
2007-01,2545.145,
2007-02,2664.890,
2007-03,3768.701,
2007-04,3332.894,
2007-05,4396.210,
2007-06,5045.168,
2007-07,6142.928,
2007-08,7394.207,
2007-09,5975.204,
2007-10,4708.997,
2007-11,2818.963,
2007-12,2403.625,
2008-01,2814.347,
2008-02,2869.336,
2008-03,3981.056,
2008-04,3460.296,
2008-05,5110.044,
2008-06,5003.073,
2008-07,6752.439,
2008-08,7277.841,
2008-09,6345.594,
2008-10,5430.808,
2008-11,2483.598,
2008-12,2169.216,
2009-01,3164.723,
2009-02,2873.576,
2009-03,2978.301,
2009-04,3290.045,
2009-05,4070.220,
2009-06,5289.329,
2009-07,6812.395,
2009-08,6796.382,
2009-09,5553.583,
2009-10,5471.328,
2009-11,2712.018,
2009-12,1989.516,
2010-01,2599.912,
2010-02,2521.255,
2010-03,3282.992,
2010-04,3444.951,
2010-05,4177.451,
2010-06,5258.037,
2010-07,6130.708,
2010-08,7367.162,
2010-09,5883.372,
2010-10,4809.934,
2010-11,2984.118,
2010-12,2517.440,
2011-01,3143.531,
2011-02,2922.216,
2011-03,2878.825,
2011-04,2798.147,
2011-05,3972.741,
2011-06,6386.214,
2011-07,6671.155,
2011-08,7525.713,
2011-09,6588.774,
2011-10,5578.916,
2011-11,3077.469,
2011-12,2511.588,
2012-01,3120.060,
2012-02,2880.763,
2012-03,3852.847,
2012-04,3236.018,
2012-05,4392.824,
2012-06,5782.958,
2012-07,6283.141,
2012-08,8541.956,
2012-09,7115.692,
2012-10,5949.298,
2012-11,3144.134,
2012-12,2337.164,
2013-01,3215.606,
2013-02,3284.372,
2013-03,4119.602,
2013-04,3047.461,
2013-05,5086.364,
2013-06,5866.619,
2013-07,7647.044,
2013-08,8909.474,
2013-09,7172.502,
2013-10,6753.610,
2013-11,3684.852,
2013-12,2703.520,
2014-01,3304.571,
2014-02,2809.939,Provisional value
2014-03,3856.479,Provisional value
2014-04,3720.292,Provisional value
2014-05,4613.168,Provisional value
2014-06,6417.606,Provisional value
2014-07,7640.804,Provisional value
2014-08,9825.745,Provisional value
2014-09,7640.805,
2014-10,6832.181,
2014-11,3827.300,
2014-12,2952.104,Provisional value
