"",BBAI3.Q.DE.N.V.LE.F7.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:22,
2005-10,28964,
2006-01,29013,
2006-04,28847,
2006-07,28717,
2006-10,28802,
2007-01,28833,
2007-04,28640,
2007-07,28732,
2007-10,28782,
2008-01,28825,
2008-04,28853,
2008-07,29015,
2008-10,29470,
2009-01,30019,
2009-04,30092,
2009-07,30487,
2009-10,30860,
2010-01,31078,
2010-04,31149,
2010-07,31384,
2010-10,31533,
2011-01,31400,
2011-04,31283,
2011-07,31372,
2011-10,33559,
2012-01,30707,
2012-04,30948,
2012-07,31360,
2012-10,31454,
2013-01,31480,
2013-04,31101,
2013-07,31298,
2013-10,31503,
2014-01,32273,
2014-04,32331,
2014-07,32630,
