"",BBAI3.Q.DE.N.V.LE.F51.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:20,
2005-10,87022,
2006-01,88744,
2006-04,86679,
2006-07,89133,
2006-10,93774,
2007-01,93784,
2007-04,94046,
2007-07,92789,
2007-10,93219,
2008-01,89252,
2008-04,87454,
2008-07,84436,
2008-10,79970,
2009-01,76315,
2009-04,74070,
2009-07,73256,
2009-10,73046,
2010-01,74794,
2010-04,74431,
2010-07,74814,
2010-10,75557,
2011-01,76881,
2011-04,76491,
2011-07,74106,
2011-10,73756,
2012-01,74879,
2012-04,74851,
2012-07,74563,
2012-10,71979,
2013-01,74024,
2013-04,74181,
2013-07,74295,
2013-10,74279,
2014-01,74827,
2014-04,74820,
2014-07,75006,
