"",BBK01.CELEC0,BBK01.CELEC0_FLAGS
"",short-term loans                                              debtor: General government                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:29,
1999-01,2.2,
1999-04,0.9,
1999-07,-0.1,
1999-10,-4.0,
2000-01,7.5,
2000-04,-7.0,
2000-07,11.3,
2000-10,-15.8,
2001-01,14.5,
2001-04,-10.7,
2001-07,1.2,
2001-10,2.6,
2002-01,16.5,
2002-04,-16.3,
2002-07,-2.6,
2002-10,7.1,
2003-01,4.9,
2003-04,2.7,
2003-07,9.5,
2003-10,-7.9,
2004-01,12.5,
2004-04,-7.1,
2004-07,-0.6,
2004-10,-3.1,
2005-01,10.2,
2005-04,-1.1,
2005-07,3.5,
2005-10,-7.0,
2006-01,12.0,
2006-04,-2.2,
2006-07,9.4,
2006-10,-13.3,
2007-01,16.1,
2007-04,4.2,
2007-07,-4.8,
2007-10,-12.7,
2008-01,15.3,
2008-04,5.3,
2008-07,-9.9,
2008-10,10.4,
2009-01,-4.5,
2009-04,-6.5,
2009-07,5.1,
2009-10,-6.3,
2010-01,-0.2,
2010-04,9.8,
2010-07,1.9,
2010-10,159.2,
2011-01,-21.6,
2011-04,-17.9,
2011-07,-3.6,
2011-10,7.2,
2012-01,-21.8,
2012-04,11.5,
2012-07,-19.5,
2012-10,-16.5,
2013-01,-14.9,
2013-04,-3.0,
2013-07,-18.5,
2013-10,9.3,
2014-01,-13.4,
2014-04,1.1,
2014-07,-0.4,
