"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,2.733,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,3.145,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,3.527,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,4.057,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,4.377,
1982-10,4.382,
1982-11,4.410,
1982-12,4.639,
1983-01,4.655,
1983-02,4.866,
1983-03,5.014,
1983-04,4.982,
1983-05,4.805,
1983-06,4.789,
1983-07,4.787,
1983-08,4.805,
1983-09,4.740,
1983-10,4.643,
1983-11,4.771,
1983-12,4.855,
1984-01,4.883,
1984-02,4.863,
1984-03,4.880,
1984-04,4.907,
1984-05,4.889,
1984-06,4.868,
1984-07,4.924,
1984-08,4.916,
1984-09,4.830,
1984-10,4.919,
1984-11,5.106,
1984-12,5.161,
1985-01,5.213,
1985-02,5.280,
1985-03,5.635,
1985-04,5.637,
1985-05,5.484,
1985-06,5.616,
1985-07,5.593,
1985-08,5.707,
1985-09,5.804,
1985-10,6.063,
1985-11,6.260,
1985-12,6.582,
1986-01,6.592,
1986-02,6.637,
1986-03,6.591,
1986-04,6.718,
1986-05,6.576,
1986-06,6.580,
1986-07,6.666,
1986-08,6.817,
1986-09,6.849,
1986-10,6.988,
1986-11,7.068,
1986-12,6.767,
1987-01,7.103,
1987-02,7.213,
1987-03,7.424,
1987-04,7.444,
1987-05,7.571,
1987-06,7.605,
1987-07,7.658,
1987-08,7.798,
1987-09,7.760,
1987-10,7.850,
1987-11,7.891,
1987-12,8.024,
1988-01,8.019,
1988-02,8.031,
1988-03,8.217,
1988-04,8.230,
1988-05,8.204,
1988-06,8.317,
1988-07,8.375,
1988-08,8.523,
1988-09,8.522,
1988-10,8.693,
1988-11,8.358,
1988-12,8.308,
1989-01,8.360,
1989-02,8.403,
1989-03,9.930,
1989-04,9.964,
1989-05,10.250,
1989-06,10.224,
1989-07,10.313,
1989-08,10.460,
1989-09,10.747,
1989-10,10.641,
1989-11,10.620,
1989-12,10.517,
1990-01,10.380,
1990-02,10.936,
1990-03,11.147,
1990-04,11.405,
1990-05,11.523,
1990-06,11.311,
1990-07,11.039,
1990-08,10.579,
1990-09,10.853,
1990-10,10.885,
1990-11,10.889,
1990-12,10.901,
1991-01,10.865,
1991-02,10.907,
1991-03,11.024,
1991-04,10.871,
1991-05,10.763,
1991-06,10.970,
1991-07,11.282,
1991-08,11.441,
1991-09,11.462,
1991-10,11.263,
1991-11,11.152,
1991-12,10.990,
1992-01,11.194,
1992-02,10.601,
1992-03,10.374,
1992-04,10.311,
1992-05,10.332,
1992-06,10.167,
1992-07,10.180,
1992-08,10.197,
1992-09,10.188,
1992-10,10.336,
1992-11,10.373,
1992-12,11.020,
1993-01,10.914,
1993-02,11.000,
1993-03,10.975,
1993-04,11.054,
1993-05,11.047,
1993-06,11.389,
1993-07,11.262,
1993-08,11.282,
1993-09,11.086,
1993-10,11.132,
1993-11,11.197,
1993-12,10.785,
1994-01,10.791,
1994-02,10.885,
1994-03,10.719,
1994-04,10.801,
1994-05,10.737,
1994-06,10.666,
1994-07,10.405,
1994-08,10.486,
1994-09,9.778,
1994-10,9.773,
1994-11,9.840,
1994-12,9.633,
1995-01,9.263,
1995-02,9.085,
1995-03,9.031,
1995-04,8.871,
1995-05,8.927,
1995-06,9.326,
1995-07,9.592,
1995-08,9.823,
1995-09,9.756,
1995-10,10.053,
1995-11,10.206,
1995-12,9.862,
1996-01,9.890,
1996-02,10.104,
1996-03,9.996,
1996-04,9.944,
1996-05,10.020,
1996-06,9.158,
1996-07,8.944,
1996-08,8.913,
1996-09,8.803,
1996-10,8.634,
1996-11,8.771,
1996-12,8.811,
1997-01,8.972,
1997-02,8.963,
1997-03,9.661,
1997-04,9.775,
1997-05,9.835,
1997-06,9.913,
1997-07,9.724,
1997-08,9.335,
1997-09,9.460,
1997-10,9.319,
1997-11,9.567,
1997-12,10.058,
1998-01,10.562,
1998-02,10.699,
1998-03,11.125,
1998-04,11.500,
1998-05,11.547,
1998-06,11.718,
1998-07,11.711,
1998-08,12.056,
1998-09,12.139,
1998-10,12.322,
1998-11,13.912,
1998-12,14.423,
1999-01,14.609,
1999-02,14.672,
1999-03,14.664,
1999-04,14.875,
1999-05,15.179,
1999-06,15.344,
1999-07,16.525,
1999-08,17.286,
1999-09,17.920,
1999-10,18.649,
1999-11,18.816,
1999-12,17.717,
2000-01,18.510,
2000-02,18.607,
2000-03,18.062,
2000-04,17.896,
2000-05,20.065,
2000-06,21.783,
2000-07,22.157,
2000-08,22.709,
2000-09,22.962,
2000-10,23.579,
2000-11,23.684,
2000-12,24.700,
2001-01,25.362,
2001-02,25.326,
2001-03,25.879,
2001-04,26.029,
2001-05,26.602,
2001-06,27.746,
2001-07,27.988,
2001-08,28.250,
2001-09,28.568,
2001-10,29.148,
2001-11,29.272,
2001-12,30.805,
2002-01,31.223,
2002-02,38.478,
2002-03,38.714,
2002-04,39.172,
2002-05,39.746,
2002-06,39.237,
2002-07,40.884,
2002-08,41.666,
2002-09,40.858,
2002-10,41.668,
2002-11,42.821,
2002-12,37.399,
2003-01,41.825,
2003-02,41.888,
2003-03,42.056,
2003-04,40.773,
2003-05,40.107,
2003-06,39.814,
2003-07,41.447,
2003-08,41.199,
2003-09,39.109,
2003-10,40.584,
2003-11,40.455,
2003-12,39.130,
2004-01,40.003,
2004-02,38.941,
2004-03,39.452,
2004-04,39.748,
2004-05,41.907,
2004-06,43.067,
2004-07,44.223,
2004-08,43.997,
2004-09,44.731,
2004-10,44.403,
2004-11,44.350,
2004-12,42.660,
2005-01,45.762,
2005-02,45.135,
2005-03,46.950,
2005-04,46.892,
2005-05,44.457,
2005-06,45.877,
2005-07,46.003,
2005-08,45.184,
2005-09,44.379,
2005-10,42.917,
2005-11,43.962,
2005-12,44.563,
2006-01,45.006,
2006-02,45.814,
2006-03,46.122,
2006-04,46.255,
2006-05,47.205,
2006-06,46.085,
2006-07,44.336,
2006-08,44.240,
2006-09,44.607,
2006-10,46.293,
2006-11,45.340,
2006-12,47.018,
2007-01,47.961,
2007-02,47.082,
2007-03,48.203,
2007-04,49.307,
2007-05,52.282,
2007-06,52.292,
2007-07,52.671,
2007-08,56.857,
2007-09,59.146,
2007-10,58.334,
2007-11,57.361,
2007-12,51.320,
2008-01,55.167,
2008-02,56.545,
2008-03,58.986,
2008-04,60.091,
2008-05,60.992,
2008-06,58.464,
2008-07,57.332,
2008-08,57.612,
2008-09,61.674,
2008-10,62.378,
2008-11,62.911,
2008-12,59.632,
2009-01,61.846,
2009-02,63.150,
2009-03,63.184,
2009-04,65.239,
2009-05,64.149,
2009-06,64.474,
2009-07,64.757,
2009-08,67.635,
2009-09,70.209,
2009-10,73.347,
2009-11,74.968,
2009-12,79.141,
2010-01,80.980,
2010-02,82.150,
2010-03,83.511,
2010-04,84.219,
2010-05,86.186,
2010-06,87.581,
2010-07,83.822,
2010-08,84.537,
2010-09,86.009,
2010-10,85.917,
2010-11,86.814,
2010-12,86.918,
2011-01,87.181,
2011-02,87.123,
2011-03,88.576,
2011-04,87.993,
2011-05,88.638,
2011-06,86.426,
2011-07,87.063,
2011-08,87.457,
2011-09,86.483,
2011-10,85.744,
2011-11,86.887,
2011-12,88.948,
2012-01,90.295,
2012-02,91.310,
2012-03,92.742,
2012-04,93.288,
2012-05,93.806,
2012-06,94.413,
2012-07,96.894,
2012-08,97.744,
2012-09,99.821,
2012-10,98.507,
2012-11,102.627,
2012-12,104.745,
2013-01,110.144,
2013-02,110.863,
2013-03,111.948,
2013-04,121.833,
2013-05,124.449,
2013-06,125.831,
2013-07,124.153,
2013-08,126.442,
2013-09,129.657,
2013-10,123.727,
2013-11,127.650,
2013-12,127.403,
2014-01,126.808,
2014-02,127.765,
2014-03,129.149,
2014-04,127.850,
2014-05,131.410,
2014-06,129.851,
2014-07,131.998,
2014-08,133.279,
2014-09,134.557,
2014-10,134.237,
2014-11,135.006,
2014-12,136.756,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
