"",BBFN1.M.DE.N.1.A.GB.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.024,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.004,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.016,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,0.016,
1982-10,0.020,
1982-11,0.020,
1982-12,0.020,
1983-01,0.025,
1983-02,0.026,
1983-03,0.073,
1983-04,0.073,
1983-05,0.067,
1983-06,0.071,
1983-07,0.077,
1983-08,0.077,
1983-09,0.077,
1983-10,0.075,
1983-11,0.075,
1983-12,0.075,
1984-01,0.075,
1984-02,0.075,
1984-03,0.086,
1984-04,0.080,
1984-05,0.080,
1984-06,0.080,
1984-07,0.081,
1984-08,0.088,
1984-09,0.082,
1984-10,0.082,
1984-11,0.083,
1984-12,0.080,
1985-01,0.083,
1985-02,0.091,
1985-03,0.049,
1985-04,0.041,
1985-05,0.041,
1985-06,0.035,
1985-07,0.035,
1985-08,0.035,
1985-09,0.035,
1985-10,0.038,
1985-11,0.038,
1985-12,0.038,
1986-01,0.033,
1986-02,0.033,
1986-03,0.017,
1986-04,0.017,
1986-05,0.017,
1986-06,0.017,
1986-07,0.071,
1986-08,0.071,
1986-09,0.071,
1986-10,0.060,
1986-11,0.060,
1986-12,0.042,
1987-01,0.042,
1987-02,0.042,
1987-03,0.041,
1987-04,0.041,
1987-05,0.041,
1987-06,0.007,
1987-07,0.007,
1987-08,0.007,
1987-09,0.007,
1987-10,0.058,
1987-11,0.059,
1987-12,0.060,
1988-01,0.085,
1988-02,0.086,
1988-03,0.086,
1988-04,0.086,
1988-05,0.060,
1988-06,0.062,
1988-07,0.063,
1988-08,0.063,
1988-09,0.064,
1988-10,0.063,
1988-11,0.062,
1988-12,0.038,
1989-01,0.038,
1989-02,0.037,
1989-03,0.037,
1989-04,0.038,
1989-05,0.037,
1989-06,0.041,
1989-07,0.040,
1989-08,0.041,
1989-09,0.050,
1989-10,0.056,
1989-11,0.066,
1989-12,0.041,
1990-01,0.040,
1990-02,0.037,
1990-03,0.039,
1990-04,0.032,
1990-05,0.032,
1990-06,0.031,
1990-07,0.030,
1990-08,0.030,
1990-09,0.021,
1990-10,0.016,
1990-11,0.015,
1990-12,0.033,
1991-01,0.036,
1991-02,0.036,
1991-03,0.042,
1991-04,0.074,
1991-05,0.077,
1991-06,0.080,
1991-07,0.076,
1991-08,0.075,
1991-09,0.075,
1991-10,0.073,
1991-11,0.099,
1991-12,0.152,
1992-01,0.184,
1992-02,0.213,
1992-03,0.215,
1992-04,0.171,
1992-05,0.170,
1992-06,0.168,
1992-07,0.167,
1992-08,0.195,
1992-09,0.199,
1992-10,0.203,
1992-11,0.201,
1992-12,0.198,
1993-01,0.179,
1993-02,0.152,
1993-03,0.145,
1993-04,0.145,
1993-05,0.144,
1993-06,0.152,
1993-07,0.150,
1993-08,0.260,
1993-09,0.258,
1993-10,0.288,
1993-11,0.288,
1993-12,0.277,
1994-01,0.284,
1994-02,0.293,
1994-03,0.314,
1994-04,0.266,
1994-05,0.204,
1994-06,0.154,
1994-07,0.208,
1994-08,0.240,
1994-09,0.273,
1994-10,0.271,
1994-11,0.320,
1994-12,0.301,
1995-01,0.306,
1995-02,0.405,
1995-03,0.386,
1995-04,0.402,
1995-05,0.402,
1995-06,0.674,
1995-07,0.675,
1995-08,0.607,
1995-09,0.568,
1995-10,0.578,
1995-11,0.572,
1995-12,0.279,
1996-01,0.278,
1996-02,0.226,
1996-03,0.197,
1996-04,0.214,
1996-05,0.211,
1996-06,0.207,
1996-07,0.229,
1996-08,0.224,
1996-09,0.203,
1996-10,0.188,
1996-11,0.690,
1996-12,0.677,
1997-01,0.708,
1997-02,0.708,
1997-03,0.702,
1997-04,0.708,
1997-05,0.692,
1997-06,0.646,
1997-07,0.663,
1997-08,0.663,
1997-09,0.675,
1997-10,0.726,
1997-11,0.770,
1997-12,0.674,
1998-01,0.775,
1998-02,0.778,
1998-03,0.778,
1998-04,0.778,
1998-05,0.659,
1998-06,0.659,
1998-07,0.773,
1998-08,0.706,
1998-09,0.707,
1998-10,0.715,
1998-11,0.259,
1998-12,0.388,
1999-01,0.426,
1999-02,0.432,
1999-03,0.422,
1999-04,0.435,
1999-05,0.450,
1999-06,0.982,
1999-07,0.977,
1999-08,0.979,
1999-09,0.958,
1999-10,0.984,
1999-11,0.950,
1999-12,0.932,
2000-01,0.941,
2000-02,0.956,
2000-03,1.044,
2000-04,1.037,
2000-05,1.027,
2000-06,1.027,
2000-07,0.992,
2000-08,1.033,
2000-09,1.017,
2000-10,1.001,
2000-11,1.031,
2000-12,0.495,
2001-01,0.556,
2001-02,0.562,
2001-03,0.562,
2001-04,0.562,
2001-05,0.563,
2001-06,0.575,
2001-07,0.554,
2001-08,0.544,
2001-09,0.540,
2001-10,0.543,
2001-11,0.543,
2001-12,0.563,
2002-01,0.563,
2002-02,0.564,
2002-03,0.566,
2002-04,0.566,
2002-05,0.568,
2002-06,0.568,
2002-07,0.569,
2002-08,0.574,
2002-09,0.597,
2002-10,0.593,
2002-11,0.599,
2002-12,0.615,
2003-01,0.628,
2003-02,0.644,
2003-03,0.554,
2003-04,0.538,
2003-05,0.539,
2003-06,0.562,
2003-07,0.562,
2003-08,0.604,
2003-09,0.574,
2003-10,0.577,
2003-11,0.587,
2003-12,0.632,
2004-01,0.682,
2004-02,0.679,
2004-03,0.691,
2004-04,0.675,
2004-05,0.666,
2004-06,0.697,
2004-07,0.698,
2004-08,0.850,
2004-09,0.968,
2004-10,0.945,
2004-11,1.038,
2004-12,1.017,
2005-01,1.058,
2005-02,1.258,
2005-03,1.289,
2005-04,1.289,
2005-05,1.319,
2005-06,1.479,
2005-07,1.343,
2005-08,1.139,
2005-09,1.169,
2005-10,1.179,
2005-11,1.172,
2005-12,1.300,
2006-01,1.300,
2006-02,1.407,
2006-03,1.442,
2006-04,1.614,
2006-05,1.915,
2006-06,1.721,
2006-07,1.762,
2006-08,1.768,
2006-09,1.784,
2006-10,1.781,
2006-11,1.800,
2006-12,1.801,
2007-01,1.790,
2007-02,2.280,
2007-03,2.382,
2007-04,2.516,
2007-05,2.934,
2007-06,2.933,
2007-07,2.769,
2007-08,2.867,
2007-09,2.736,
2007-10,3.248,
2007-11,3.548,
2007-12,3.746,
2008-01,3.739,
2008-02,3.883,
2008-03,3.711,
2008-04,3.909,
2008-05,4.315,
2008-06,4.004,
2008-07,4.037,
2008-08,3.932,
2008-09,3.877,
2008-10,3.808,
2008-11,3.907,
2008-12,3.894,
2009-01,3.574,
2009-02,3.555,
2009-03,3.551,
2009-04,3.288,
2009-05,3.454,
2009-06,3.461,
2009-07,3.460,
2009-08,3.498,
2009-09,3.611,
2009-10,3.753,
2009-11,3.773,
2009-12,3.861,
2010-01,3.939,
2010-02,3.942,
2010-03,4.041,
2010-04,4.133,
2010-05,4.091,
2010-06,4.758,
2010-07,4.739,
2010-08,4.904,
2010-09,5.064,
2010-10,5.059,
2010-11,5.305,
2010-12,5.448,
2011-01,5.505,
2011-02,5.382,
2011-03,5.688,
2011-04,5.634,
2011-05,6.223,
2011-06,6.050,
2011-07,6.131,
2011-08,6.482,
2011-09,6.439,
2011-10,6.883,
2011-11,6.933,
2011-12,7.088,
2012-01,7.179,
2012-02,7.541,
2012-03,7.804,
2012-04,8.222,
2012-05,8.260,
2012-06,8.588,
2012-07,8.621,
2012-08,8.511,
2012-09,8.624,
2012-10,8.596,
2012-11,8.480,
2012-12,8.535,
2013-01,8.619,
2013-02,8.722,
2013-03,9.122,
2013-04,9.122,
2013-05,8.986,
2013-06,9.098,
2013-07,9.550,
2013-08,9.725,
2013-09,9.849,
2013-10,9.859,
2013-11,9.864,
2013-12,10.215,
2014-01,10.138,
2014-02,10.261,
2014-03,10.491,
2014-04,10.753,
2014-05,10.784,
2014-06,10.850,
2014-07,10.503,
2014-08,10.373,
2014-09,10.352,
2014-10,10.329,
2014-11,10.110,
2014-12,9.971,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
