"",BBEX3.M.HTG.USD.CA.AC.A01,BBEX3.M.HTG.USD.CA.AC.A01_FLAGS
"",Exchange rates (reference rates) for the US dollar in Haiti / USD 1 = HTG ...,
unit,HTG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:53,
1991-09,7.5300,
1991-10,8.1300,
1991-11,8.3000,
1991-12,8.2400,
1992-01,8.5490,
1992-02,8.7780,
1992-03,8.9110,
1992-04,9.2700,
1992-05,9.7260,
1992-06,9.7970,
1992-07,9.5050,
1992-08,9.8560,
1992-09,10.1780,
1992-10,10.5090,
1992-11,11.3540,
1992-12,10.9080,
1993-01,12.1310,
1993-02,11.0000,
1993-03,12.8344,
1993-04,13.4196,
1993-05,14.4485,
1993-06,13.6558,
1993-07,12.3758,
1993-08,12.4661,
1993-09,12.3966,
1993-10,12.4866,
1993-11,13.1677,
1993-12,12.8161,
1994-01,13.7755,
1994-02,13.8890,
1994-03,14.2085,
1994-04,14.9482,
1994-05,14.8599,
1994-06,14.3818,
1994-07,17.1647,
1994-08,21.4932,
1994-09,15.0964,
1994-10,14.2828,
1994-11,14.0546,
1994-12,12.9466,
1995-01,14.1560,
1995-02,13.9795,comment
1995-03,14.4729,
1995-04,14.4810,
1995-05,14.9073,
1995-06,15.2963,
1995-07,15.0173,
1995-08,15.6292,
1995-09,15.5384,
1995-10,17.0236,
1995-11,16.1755,
1995-12,16.1599,
1996-01,16.7830,
1996-02,16.5518,
1996-03,16.8024,
1996-04,16.3635,
1996-05,16.0997,
1996-06,15.5882,
1996-07,15.0446,
1996-08,15.0343,
1996-09,15.0454,
1996-10,15.5525,
1996-11,15.2733,
1996-12,15.0928,
1997-01,16.2599,
1997-02,16.1117,
1997-03,16.5056,
1997-04,16.9613,
1997-05,16.8170,
1997-06,16.7564,
1997-07,16.4850,
1997-08,16.7518,
1997-09,16.9496,
1997-10,17.4131,
1997-11,16.8719,
1997-12,17.3110,
1998-01,17.5602,
1998-02,17.3928,
1998-03,17.3427,
1998-04,16.9492,
1998-05,16.6870,
1998-06,15.6646,
1998-07,16.0670,
1998-08,16.5075,
1998-09,16.8475,
1998-10,16.3043,
1998-11,16.5948,
1998-12,16.5046,
1999-01,16.7778,
1999-02,16.8943,
1999-03,16.7306,
1999-04,16.6876,
1999-05,16.6990,
1999-06,16.7046,
1999-07,16.8242,
1999-08,16.7961,
1999-09,16.9411,
1999-10,17.5482,
1999-11,17.9632,
1999-12,17.9688,
2000-01,18.2620,
2000-02,19.1848,
2000-03,19.7373,
2000-04,19.7265,
2000-05,19.6744,
2000-06,20.3781,
2000-07,20.8679,
2000-08,21.6345,
2000-09,28.3337,
2000-10,23.5820,
2000-11,23.8881,
2000-12,22.5242,
2001-01,23.7612,
2001-02,23.5483,
2001-03,23.9641,
2001-04,23.4651,
2001-05,23.5197,
2001-06,24.3731,
2001-07,24.1052,
2001-08,24.4244,
2001-09,25.4927,
2001-10,26.0076,
2001-11,25.9602,
2001-12,26.3389,
2002-01,26.6744,
2002-02,27.1982,
2002-03,26.7658,
2002-04,26.6768,
2002-05,26.9701,
2002-06,27.2819,
