"",BBFN1.M.DE.N.1.L.MX.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MX.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1993-03,.,No value available
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,0.014,
1993-08,0.011,
1993-09,0.011,
1993-10,0.014,
1993-11,0.012,
1993-12,0.010,
1994-01,0.015,
1994-02,.,No value available
1994-03,.,No value available
1994-04,.,No value available
1994-05,0.011,
1994-06,.,No value available
1994-07,0.014,
1994-08,0.009,
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,0.015,
1995-07,0.017,
1995-08,0.015,
1995-09,0.013,
1995-10,0.013,
1995-11,0.017,
1995-12,0.018,
1996-01,0.022,
1996-02,0.021,
1996-03,0.017,
1996-04,0.018,
1996-05,0.017,
1996-06,0.021,
1996-07,0.020,
1996-08,0.022,
1996-09,0.034,
1996-10,0.023,
1996-11,0.024,
1996-12,0.018,
1997-01,0.013,
1997-02,0.027,
1997-03,0.025,
1997-04,0.035,
1997-05,0.027,
1997-06,0.015,
1997-07,0.018,
1997-08,0.018,
1997-09,0.021,
1997-10,0.025,
1997-11,0.028,
1997-12,0.032,
1998-01,0.031,
1998-02,0.027,
1998-03,0.028,
1998-04,0.024,
1998-05,0.028,
1998-06,0.030,
1998-07,.,No value available
1998-08,.,No value available
1998-09,0.074,
1998-10,0.038,
1998-11,0.035,
1998-12,0.036,
1999-01,.,No value available
1999-02,.,No value available
1999-03,0.036,
1999-04,0.029,
1999-05,0.024,
1999-06,0.029,
1999-07,0.025,
1999-08,0.117,
1999-09,0.123,
1999-10,0.129,
1999-11,0.131,
1999-12,.,No value available
2000-01,.,No value available
2000-02,0.153,
2000-03,0.192,
2000-04,0.201,
2000-05,0.210,
2000-06,.,No value available
2000-07,0.415,
2000-08,0.417,
2000-09,0.562,
2000-10,0.581,
2000-11,0.476,
2000-12,0.432,
2001-01,0.277,
2001-02,0.286,
2001-03,0.279,
2001-04,0.293,
2001-05,0.279,
2001-06,0.342,
2001-07,.,No value available
2001-08,.,No value available
2001-09,0.156,
2001-10,0.269,
2001-11,0.259,
2001-12,0.303,
2002-01,0.158,
2002-02,0.118,
2002-03,0.129,
2002-04,0.097,
2002-05,0.068,
2002-06,0.092,
2002-07,0.073,
2002-08,0.090,
2002-09,0.112,
2002-10,0.058,
2002-11,0.034,
2002-12,0.347,
2003-01,0.347,
2003-02,0.270,
2003-03,0.048,
2003-04,0.041,
2003-05,0.213,
2003-06,0.212,
2003-07,0.306,
2003-08,0.347,
2003-09,0.388,
2003-10,0.387,
2003-11,0.198,
2003-12,0.247,
2004-01,0.194,
2004-02,0.170,
2004-03,0.163,
2004-04,0.125,
2004-05,0.222,
2004-06,0.257,
2004-07,0.260,
2004-08,0.286,
2004-09,0.296,
2004-10,0.335,
2004-11,0.211,
2004-12,0.229,
2005-01,0.328,
2005-02,0.334,
2005-03,0.163,
2005-04,0.291,
2005-05,0.337,
2005-06,0.163,
2005-07,0.076,
2005-08,0.232,
2005-09,0.215,
2005-10,0.203,
2005-11,0.237,
2005-12,0.173,
2006-01,0.142,
2006-02,0.254,
2006-03,0.133,
2006-04,0.079,
2006-05,0.088,
2006-06,0.111,
2006-07,0.117,
2006-08,0.157,
2006-09,0.148,
2006-10,0.135,
2006-11,0.233,
2006-12,0.256,
2007-01,0.204,
2007-02,0.163,
2007-03,0.159,
2007-04,0.148,
2007-05,0.164,
2007-06,0.160,
2007-07,0.151,
2007-08,0.175,
2007-09,0.174,
2007-10,0.173,
2007-11,0.205,
2007-12,0.254,
2008-01,0.203,
2008-02,0.163,
2008-03,0.128,
2008-04,0.129,
2008-05,0.121,
2008-06,0.131,
2008-07,0.143,
2008-08,0.181,
2008-09,0.348,
2008-10,0.551,
2008-11,0.533,
2008-12,0.376,
2009-01,0.104,
2009-02,0.127,
2009-03,0.160,
2009-04,0.135,
2009-05,0.129,
2009-06,0.159,
2009-07,0.183,
2009-08,0.187,
2009-09,0.305,
2009-10,0.163,
2009-11,0.159,
2009-12,0.244,
2010-01,0.331,
2010-02,0.202,
2010-03,0.280,
2010-04,0.246,
2010-05,0.215,
2010-06,0.248,
2010-07,0.237,
2010-08,0.247,
2010-09,0.260,
2010-10,0.295,
2010-11,0.316,
2010-12,0.309,
2011-01,0.291,
2011-02,0.312,
2011-03,0.319,
2011-04,0.330,
2011-05,0.264,
2011-06,0.272,
2011-07,0.238,
2011-08,0.232,
2011-09,0.243,
2011-10,0.300,
2011-11,0.318,
2011-12,0.358,
2012-01,0.389,
2012-02,0.370,
2012-03,0.415,
2012-04,0.400,
2012-05,0.361,
2012-06,0.355,
2012-07,0.403,
2012-08,0.433,
2012-09,0.438,
2012-10,0.392,
2012-11,0.447,
2012-12,0.473,
2013-01,0.575,
2013-02,0.637,
2013-03,0.672,
2013-04,0.484,
2013-05,0.576,
2013-06,0.574,
2013-07,0.566,
2013-08,0.619,
2013-09,0.594,
2013-10,0.652,
2013-11,0.569,
2013-12,0.633,
2014-01,0.578,
2014-02,0.646,
2014-03,0.671,
2014-04,0.645,
2014-05,0.622,
2014-06,0.718,
2014-07,0.743,
2014-08,0.787,
2014-09,0.869,
2014-10,0.936,
2014-11,0.965,
2014-12,0.895,
