"",BBSF2.M.1.T.00000.DHE01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:47:08,
2009-09,12,
2009-10,12,
2009-11,12,
2009-12,12,
2010-01,12,
2010-02,12,
2010-03,12,
2010-04,11,
2010-05,11,
2010-06,11,
2010-07,11,
2010-08,11,
2010-09,11,
2010-10,10,
2010-11,10,
2010-12,10,
2011-01,7,
2011-02,7,
2011-03,7,
2011-04,7,
2011-05,7,
2011-06,7,
2011-07,7,
2011-08,7,
2011-09,7,
2011-10,7,
2011-11,7,
2011-12,7,
2012-01,7,
2012-02,7,
2012-03,7,
2012-04,7,
2012-05,7,
2012-06,7,
2012-07,7,
2012-08,7,
2012-09,7,
2012-10,7,
2012-11,7,
2012-12,7,
2013-01,7,
2013-02,7,
2013-03,7,
2013-04,7,
2013-05,7,
2013-06,4,
2013-07,4,
2013-08,4,
2013-09,4,
2013-10,2,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,1,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,1,
2014-11,1,
