"",BBK01.OXA8D2,BBK01.OXA8D2_FLAGS
"",Short-term loans (including bills of exchange) to domestic households and non-profit institutions serving households - Housing loans,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:49,
2002-12,7.914,
2003-01,7.596,
2003-02,7.431,
2003-03,7.482,
2003-04,7.413,
2003-05,7.521,
2003-06,7.917,
2003-07,7.780,
2003-08,8.011,
2003-09,8.074,
2003-10,7.822,
2003-11,7.800,
2003-12,7.806,
2004-01,7.689,
2004-02,7.565,
2004-03,7.740,
2004-04,7.447,
2004-05,7.550,
2004-06,7.685,
2004-07,7.626,
2004-08,7.523,
2004-09,7.642,
2004-10,7.697,
2004-11,7.629,
2004-12,7.686,
2005-01,7.244,
2005-02,7.148,
2005-03,7.193,
2005-04,7.152,
2005-05,7.020,
2005-06,7.154,
2005-07,7.063,
2005-08,6.825,
2005-09,6.969,
2005-10,6.781,
2005-11,6.815,
2005-12,6.713,
2006-01,6.372,
2006-02,6.327,
2006-03,6.236,
2006-04,6.144,
2006-05,6.029,
2006-06,6.165,
2006-07,6.045,
2006-08,6.047,
2006-09,6.461,
2006-10,6.019,
2006-11,5.873,
2006-12,6.070,
2007-01,5.673,
2007-02,5.826,
2007-03,6.285,
2007-04,5.908,
2007-05,5.959,
2007-06,6.350,
2007-07,5.654,
2007-08,5.686,
2007-09,5.769,
2007-10,5.616,
2007-11,5.595,
2007-12,5.731,
2008-01,5.561,
2008-02,5.539,
2008-03,5.659,
2008-04,5.641,
2008-05,5.410,
2008-06,5.508,
2008-07,5.532,
2008-08,5.491,
2008-09,5.552,
2008-10,5.450,
2008-11,5.451,
2008-12,5.548,
2009-01,5.440,
2009-02,5.407,
2009-03,5.652,
2009-04,5.609,
2009-05,5.610,
2009-06,5.629,
2009-07,5.668,
2009-08,5.610,
2009-09,5.694,
2009-10,5.617,
2009-11,5.563,
2009-12,5.575,
2010-01,5.356,
2010-02,5.290,
2010-03,5.431,
2010-04,5.333,
2010-05,5.458,
2010-06,5.064,
2010-07,5.068,
2010-08,5.529,
2010-09,5.514,
2010-10,5.471,
2010-11,5.413,
2010-12,5.395,
2011-01,5.269,
2011-02,5.053,
2011-03,5.269,
2011-04,5.227,
2011-05,5.277,
2011-06,5.234,
2011-07,5.319,
2011-08,5.349,
2011-09,5.309,
2011-10,5.262,
2011-11,5.187,
2011-12,5.326,
2012-01,5.163,
2012-02,5.077,
2012-03,5.125,
2012-04,5.090,
2012-05,5.209,
2012-06,5.229,
2012-07,5.319,
2012-08,5.295,
2012-09,5.368,
2012-10,5.368,
2012-11,5.351,
2012-12,5.428,
2013-01,5.462,
2013-02,5.373,
2013-03,5.401,
2013-04,5.449,
2013-05,5.533,
2013-06,5.505,
2013-07,5.674,
2013-08,5.542,
2013-09,5.613,
2013-10,5.798,
2013-11,5.654,
2013-12,5.699,
2014-01,5.718,
2014-02,5.617,
2014-03,5.723,
2014-04,5.758,
2014-05,5.779,
2014-06,5.779,
2014-07,5.828,
2014-08,5.684,
2014-09,5.647,
2014-10,5.779,
2014-11,5.643,
2014-12,5.169,Provisional value
