"",BBAI3.Q.DE.N.V.LE.F511.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:36,
2005-10,1276,
2006-01,1640,
2006-04,1817,
2006-07,1959,
2006-10,2169,
2007-01,2353,
2007-04,2669,
2007-07,2359,
2007-10,2343,
2008-01,2235,
2008-04,2085,
2008-07,1912,
2008-10,1022,
2009-01,930,
2009-04,672,
2009-07,629,
2009-10,699,
2010-01,692,
2010-04,655,
2010-07,934,
2010-10,899,
2011-01,869,
2011-04,1108,
2011-07,947,
2011-10,893,
2012-01,916,
2012-04,823,
2012-07,844,
2012-10,1124,
2013-01,796,
2013-04,737,
2013-07,676,
2013-10,687,
2014-01,619,
2014-04,632,
2014-07,624,
