"",BBFN1.M.DE.N.1.A.NL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,0.698,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,0.808,
1982-10,0.853,
1982-11,0.814,
1982-12,0.819,
1983-01,0.786,
1983-02,0.769,
1983-03,0.793,
1983-04,0.829,
1983-05,0.846,
1983-06,0.829,
1983-07,0.787,
1983-08,0.762,
1983-09,0.762,
1983-10,0.798,
1983-11,0.799,
1983-12,0.793,
1984-01,0.791,
1984-02,0.793,
1984-03,0.790,
1984-04,0.861,
1984-05,0.827,
1984-06,0.794,
1984-07,0.853,
1984-08,0.809,
1984-09,0.819,
1984-10,0.863,
1984-11,0.831,
1984-12,0.886,
1985-01,0.998,
1985-02,0.922,
1985-03,1.179,
1985-04,1.256,
1985-05,0.891,
1985-06,0.920,
1985-07,0.870,
1985-08,0.843,
1985-09,0.943,
1985-10,1.040,
1985-11,1.112,
1985-12,1.600,
1986-01,1.786,
1986-02,1.925,
1986-03,2.146,
1986-04,2.209,
1986-05,2.342,
1986-06,2.384,
1986-07,2.839,
1986-08,2.861,
1986-09,2.773,
1986-10,3.055,
1986-11,2.920,
1986-12,2.607,
1987-01,2.718,
1987-02,2.790,
1987-03,2.811,
1987-04,2.837,
1987-05,2.860,
1987-06,2.816,
1987-07,2.570,
1987-08,2.731,
1987-09,2.874,
1987-10,2.834,
1987-11,3.032,
1987-12,2.848,
1988-01,2.774,
1988-02,2.652,
1988-03,2.635,
1988-04,2.619,
1988-05,2.836,
1988-06,2.774,
1988-07,2.752,
1988-08,2.616,
1988-09,2.634,
1988-10,2.681,
1988-11,2.737,
1988-12,2.686,
1989-01,2.947,
1989-02,2.693,
1989-03,3.070,
1989-04,3.298,
1989-05,3.680,
1989-06,3.709,
1989-07,3.530,
1989-08,3.966,
1989-09,4.186,
1989-10,4.883,
1989-11,4.779,
1989-12,4.709,
1990-01,4.888,
1990-02,5.097,
1990-03,5.677,
1990-04,6.096,
1990-05,6.425,
1990-06,6.419,
1990-07,6.713,
1990-08,7.239,
1990-09,7.104,
1990-10,7.427,
1990-11,7.266,
1990-12,7.413,
1991-01,8.121,
1991-02,8.441,
1991-03,8.732,
1991-04,9.013,
1991-05,8.761,
1991-06,8.570,
1991-07,9.235,
1991-08,9.456,
1991-09,9.427,
1991-10,9.754,
1991-11,10.098,
1991-12,9.675,
1992-01,9.461,
1992-02,6.349,
1992-03,5.938,
1992-04,5.756,
1992-05,5.791,
1992-06,5.852,
1992-07,5.792,
1992-08,5.730,
1992-09,5.431,
1992-10,5.274,
1992-11,5.487,
1992-12,4.441,
1993-01,5.298,
1993-02,6.048,
1993-03,7.057,
1993-04,7.139,
1993-05,7.107,
1993-06,6.629,
1993-07,6.325,
1993-08,6.240,
1993-09,6.169,
1993-10,6.332,
1993-11,6.141,
1993-12,6.013,
1994-01,6.620,
1994-02,6.568,
1994-03,6.851,
1994-04,7.124,
1994-05,7.169,
1994-06,7.199,
1994-07,7.533,
1994-08,7.620,
1994-09,7.813,
1994-10,7.433,
1994-11,7.693,
1994-12,6.569,
1995-01,6.818,
1995-02,7.172,
1995-03,7.593,
1995-04,8.033,
1995-05,7.792,
1995-06,7.486,
1995-07,6.729,
1995-08,6.995,
1995-09,7.352,
1995-10,8.085,
1995-11,8.343,
1995-12,7.169,
1996-01,7.511,
1996-02,8.086,
1996-03,8.818,
1996-04,8.081,
1996-05,7.705,
1996-06,7.238,
1996-07,6.952,
1996-08,6.488,
1996-09,6.016,
1996-10,5.544,
1996-11,5.568,
1996-12,5.525,
1997-01,6.469,
1997-02,6.443,
1997-03,6.448,
1997-04,6.930,
1997-05,6.569,
1997-06,6.582,
1997-07,6.710,
1997-08,6.545,
1997-09,6.517,
1997-10,6.603,
1997-11,6.536,
1997-12,6.592,
1998-01,6.487,
1998-02,6.869,
1998-03,6.661,
1998-04,6.727,
1998-05,6.814,
1998-06,6.960,
1998-07,6.728,
1998-08,7.126,
1998-09,7.076,
1998-10,7.767,
1998-11,7.701,
1998-12,7.730,
1999-01,8.534,
1999-02,9.507,
1999-03,11.439,
1999-04,12.021,
1999-05,12.884,
1999-06,14.051,
1999-07,14.510,
1999-08,14.934,
1999-09,14.888,
1999-10,12.540,
1999-11,12.646,
1999-12,11.949,
2000-01,12.862,
2000-02,13.319,
2000-03,12.965,
2000-04,12.126,
2000-05,11.791,
2000-06,10.866,
2000-07,9.789,
2000-08,10.488,
2000-09,9.230,
2000-10,8.927,
2000-11,9.940,
2000-12,10.849,
2001-01,10.243,
2001-02,12.418,
2001-03,12.346,
2001-04,11.085,
2001-05,12.089,
2001-06,11.380,
2001-07,10.726,
2001-08,10.289,
2001-09,10.126,
2001-10,10.092,
2001-11,9.818,
2001-12,10.882,
2002-01,12.284,
2002-02,12.118,
2002-03,14.878,
2002-04,12.005,
2002-05,13.242,
2002-06,12.224,
2002-07,13.076,
2002-08,13.312,
2002-09,12.409,
2002-10,13.516,
2002-11,13.923,
2002-12,17.330,
2003-01,16.602,
2003-02,17.175,
2003-03,15.728,
2003-04,16.470,
2003-05,17.881,
2003-06,18.238,
2003-07,18.473,
2003-08,17.542,
2003-09,17.675,
2003-10,17.736,
2003-11,18.438,
2003-12,18.005,
2004-01,18.784,
2004-02,19.813,
2004-03,19.739,
2004-04,19.652,
2004-05,19.197,
2004-06,20.429,
2004-07,20.313,
2004-08,20.884,
2004-09,20.640,
2004-10,20.429,
2004-11,19.661,
2004-12,20.128,
2005-01,19.870,
2005-02,21.538,
2005-03,21.053,
2005-04,21.141,
2005-05,20.751,
2005-06,19.761,
2005-07,20.154,
2005-08,20.819,
2005-09,19.487,
2005-10,19.554,
2005-11,20.453,
2005-12,22.187,
2006-01,22.522,
2006-02,23.449,
2006-03,23.280,
2006-04,25.226,
2006-05,26.612,
2006-06,26.631,
2006-07,25.877,
2006-08,27.002,
2006-09,27.456,
2006-10,27.686,
2006-11,25.326,
2006-12,25.697,
2007-01,31.318,
2007-02,27.508,
2007-03,27.651,
2007-04,29.528,
2007-05,28.740,
2007-06,28.330,
2007-07,28.980,
2007-08,30.127,
2007-09,30.670,
2007-10,31.424,
2007-11,29.336,
2007-12,27.701,
2008-01,26.576,
2008-02,29.196,
2008-03,31.468,
2008-04,33.084,
2008-05,34.499,
2008-06,32.806,
2008-07,33.253,
2008-08,32.897,
2008-09,31.810,
2008-10,32.510,
2008-11,35.923,
2008-12,32.325,
2009-01,32.165,
2009-02,32.378,
2009-03,36.360,
2009-04,35.600,
2009-05,32.660,
2009-06,33.089,
2009-07,33.273,
2009-08,32.200,
2009-09,32.759,
2009-10,35.755,
2009-11,37.140,
2009-12,36.445,
2010-01,38.569,
2010-02,38.604,
2010-03,38.929,
2010-04,39.717,
2010-05,40.341,
2010-06,44.850,
2010-07,42.897,
2010-08,44.286,
2010-09,44.628,
2010-10,45.003,
2010-11,46.342,
2010-12,45.270,
2011-01,47.417,
2011-02,47.474,
2011-03,49.691,
2011-04,49.119,
2011-05,49.724,
2011-06,53.800,
2011-07,54.405,
2011-08,56.006,
2011-09,57.095,
2011-10,56.381,
2011-11,53.051,
2011-12,53.034,
2012-01,53.903,
2012-02,54.499,
2012-03,57.292,
2012-04,58.132,
2012-05,58.740,
2012-06,59.332,
2012-07,58.912,
2012-08,60.176,
2012-09,60.278,
2012-10,59.723,
2012-11,63.460,
2012-12,62.823,
2013-01,65.456,
2013-02,65.395,
2013-03,68.963,
2013-04,69.164,
2013-05,71.115,
2013-06,72.134,
2013-07,70.828,
2013-08,71.595,
2013-09,74.221,
2013-10,73.319,
2013-11,74.141,
2013-12,72.009,
2014-01,74.073,
2014-02,73.855,
2014-03,74.506,
2014-04,75.077,
2014-05,76.303,
2014-06,75.457,
2014-07,75.500,
2014-08,77.300,
2014-09,76.709,
2014-10,75.446,
2014-11,73.084,
2014-12,77.174,
