"",BBK01.CEHH0B,BBK01.CEHH0B_FLAGS
"",Shares debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:24,
1991-01,0.9,
1991-04,0.4,
1991-07,0.6,
1991-10,0.9,
1992-01,1.9,
1992-04,-3.5,
1992-07,5.6,
1992-10,-0.1,
1993-01,1.1,
1993-04,-3.1,
1993-07,5.1,
1993-10,0.1,
1994-01,0.8,
1994-04,1.2,
1994-07,1.0,
1994-10,1.2,
1995-01,0.6,
1995-04,0.5,
1995-07,0.9,
1995-10,0.8,
1996-01,1.7,
1996-04,1.0,
1996-07,0.5,
1996-10,2.7,
1997-01,4.8,
1997-04,1.2,
1997-07,3.2,
1997-10,7.3,
1998-01,1.9,
1998-04,5.6,
1998-07,2.5,
1998-10,4.0,
1999-01,2.2,
1999-04,1.6,
1999-07,2.1,
1999-10,2.3,
2000-01,2.5,
2000-04,2.7,
2000-07,2.6,
2000-10,-2.8,
2001-01,4.3,
2001-04,2.3,
2001-07,6.7,
2001-10,-7.8,
2002-01,7.8,
2002-04,0.6,
2002-07,-0.2,
2002-10,-10.4,
2003-01,-0.4,
2003-04,0.5,
2003-07,1.0,
2003-10,0.2,
2004-01,-0.8,
2004-04,-2.2,
2004-07,0.6,
2004-10,-1.0,
2005-01,0.7,
2005-04,-0.4,
2005-07,5.7,
2005-10,-4.7,
2006-01,-7.1,
2006-04,3.9,
2006-07,2.3,
2006-10,3.3,
2007-01,-10.9,
2007-04,0.3,
2007-07,-3.7,
2007-10,11.9,
2008-01,-3.5,
2008-04,-5.9,
2008-07,-1.8,
2008-10,-11.8,
2009-01,6.2,
2009-04,-0.3,
2009-07,-3.2,
2009-10,2.7,
2010-01,-0.1,
2010-04,1.1,
2010-07,-0.1,
2010-10,1.1,
2011-01,0.1,
2011-04,-0.1,
2011-07,0.4,
2011-10,0.7,
2012-01,-0.7,
2012-04,-1.4,
2012-07,-2.6,
2012-10,9.0,
2013-01,1.6,
2013-04,-2.0,
2013-07,3.2,
2013-10,0.4,
2014-01,3.1,
