"",BBK01.CELM0J,BBK01.CELM0J_FLAGS
"",Currency                         debtor: Total                    creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:39,
1999-01,0.6,
1999-04,0.2,
1999-07,0.0,
1999-10,3.4,
2000-01,-2.1,
2000-04,0.0,
2000-07,-0.7,
2000-10,-0.1,
2001-01,-4.5,
2001-04,-3.8,
2001-07,-8.9,
2001-10,-31.2,
2002-01,9.4,
2002-04,11.0,
2002-07,9.2,
2002-10,4.5,
2003-01,8.1,
2003-04,5.8,
2003-07,5.4,
2003-10,3.3,
2004-01,5.8,
2004-04,5.9,
2004-07,6.5,
2004-10,4.4,
2005-01,2.0,
2005-04,2.9,
2005-07,1.0,
2005-10,1.5,
2006-01,0.6,
2006-04,2.2,
2006-07,0.3,
2006-10,1.5,
2007-01,-1.1,
2007-04,-1.3,
2007-07,-3.3,
2007-10,1.6,
2008-01,-4.2,
2008-04,-1.1,
2008-07,-3.3,
2008-10,6.9,
2009-01,-1.5,
2009-04,0.0,
2009-07,-0.7,
2009-10,4.3,
2010-01,-0.3,
2010-04,-0.3,
2010-07,-0.9,
2010-10,2.1,
2011-01,-2.2,
2011-04,0.1,
2011-07,-1.5,
2011-10,1.2,
2012-01,-2.4,
2012-04,0.8,
2012-07,-0.9,
2012-10,2.4,
2013-01,2.6,
2013-04,4.3,
2013-07,3.8,
2013-10,0.1,
2014-01,5.3,
2014-04,3.5,
2014-07,4.0,
