"",BBK01.CEH0B0,BBK01.CEH0B0_FLAGS
"",External financing debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:11,
1991-01,12.4,
1991-04,4.9,
1991-07,12.4,
1991-10,6.9,
1992-01,20.5,
1992-04,1.1,
1992-07,18.5,
1992-10,3.5,
1993-01,15.1,
1993-04,4.9,
1993-07,23.8,
1993-10,4.4,
1994-01,18.3,
1994-04,20.0,
1994-07,13.1,
1994-10,-2.3,
1995-01,25.4,
1995-04,14.9,
1995-07,17.1,
1995-10,16.9,
1996-01,26.7,
1996-04,15.7,
1996-07,13.1,
1996-10,5.5,
1997-01,31.6,
1997-04,16.7,
1997-07,14.8,
1997-10,17.2,
1998-01,25.0,
1998-04,20.7,
1998-07,16.6,
1998-10,19.8,
1999-01,29.7,
1999-04,13.6,
1999-07,16.4,
1999-10,26.8,
2000-01,32.6,
2000-04,17.8,
2000-07,13.2,
2000-10,3.7,
2001-01,25.6,
2001-04,15.1,
2001-07,20.8,
2001-10,49.7,
2002-01,44.5,
2002-04,13.9,
2002-07,14.9,
2002-10,17.5,
2003-01,14.5,
2003-04,14.1,
2003-07,7.5,
2003-10,45.8,
2004-01,22.9,
2004-04,4.4,
2004-07,7.3,
2004-10,11.4,
2005-01,30.5,
2005-04,9.5,
2005-07,17.9,
2005-10,32.4,
2006-01,11.2,
2006-04,20.6,
2006-07,7.5,
2006-10,17.7,
2007-01,12.1,
2007-04,16.3,
2007-07,11.9,
2007-10,20.0,
2008-01,6.5,
2008-04,-0.2,
2008-07,10.7,
2008-10,5.0,
2009-01,22.2,
2009-04,-4.1,
2009-07,-3.2,
2009-10,2.0,
2010-01,34.5,
2010-04,7.9,
2010-07,9.9,
2010-10,24.1,
2011-01,23.3,
2011-04,22.8,
2011-07,9.7,
2011-10,15.4,
2012-01,38.8,
2012-04,8.5,
2012-07,12.7,
2012-10,37.3,
2013-01,35.4,
2013-04,1.3,
2013-07,8.3,
2013-10,19.3,
2014-01,36.4,
