"",BBK01.OXA8C6,BBK01.OXA8C6_FLAGS
"",Short-term loans (including bills of exchange) to domestic other financial intermediaries  - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:47,
1999-01,8.551,
1999-02,8.758,
1999-03,9.696,
1999-04,11.540,
1999-05,11.901,
1999-06,11.439,
1999-07,10.400,
1999-08,9.999,
1999-09,9.245,
1999-10,8.271,
1999-11,8.764,
1999-12,6.528,
2000-01,7.413,
2000-02,7.926,
2000-03,11.224,
2000-04,11.870,
2000-05,18.243,
2000-06,14.798,
2000-07,13.804,
2000-08,12.482,
2000-09,14.231,
2000-10,14.687,
2000-11,14.264,
2000-12,7.569,
2001-01,13.367,
2001-02,19.818,
2001-03,17.181,
2001-04,21.345,
2001-05,19.130,
2001-06,12.649,
2001-07,12.044,
2001-08,11.717,
2001-09,11.309,
2001-10,11.484,
2001-11,11.595,
2001-12,10.068,
2002-01,9.260,
2002-02,10.550,
2002-03,11.858,
2002-04,14.517,
2002-05,15.794,
2002-06,9.143,
2002-07,9.159,
2002-08,9.546,
2002-09,13.701,
2002-10,13.269,
2002-11,11.079,
2002-12,9.609,
2003-01,12.377,
2003-02,16.693,
2003-03,20.392,
2003-04,20.090,
2003-05,19.671,
2003-06,18.307,
2003-07,15.207,
2003-08,13.346,
2003-09,22.544,
2003-10,21.946,
2003-11,24.987,
2003-12,21.508,
2004-01,20.611,
2004-02,23.267,
2004-03,23.126,
2004-04,25.230,
2004-05,25.072,
2004-06,19.906,
2004-07,20.597,
2004-08,15.575,
2004-09,18.816,
2004-10,18.806,
2004-11,26.943,
2004-12,22.604,
2005-01,23.694,
2005-02,30.583,
2005-03,30.283,
2005-04,31.459,
2005-05,32.302,
2005-06,32.003,
2005-07,34.342,
2005-08,35.175,
2005-09,39.313,
2005-10,48.105,
2005-11,44.610,
2005-12,30.450,
2006-01,40.571,
2006-02,45.624,
2006-03,52.025,
2006-04,55.181,
2006-05,54.782,
2006-06,48.388,
2006-07,43.316,
2006-08,46.951,
2006-09,58.212,
2006-10,55.835,
2006-11,50.126,
2006-12,32.571,
2007-01,43.193,
2007-02,47.972,
2007-03,53.478,
2007-04,52.075,
2007-05,46.415,
2007-06,49.851,
2007-07,52.183,
2007-08,51.545,
2007-09,53.643,
2007-10,56.973,
2007-11,51.395,
2007-12,45.731,
2008-01,59.280,
2008-02,62.823,
2008-03,67.666,
2008-04,72.548,
2008-05,72.704,
2008-06,71.576,
2008-07,79.345,
2008-08,74.575,
2008-09,78.679,
2008-10,73.138,
2008-11,75.789,
2008-12,66.202,
2009-01,87.129,
2009-02,80.186,
2009-03,101.656,
2009-04,102.442,
2009-05,101.444,
2009-06,106.076,
2009-07,92.762,
2009-08,80.662,
2009-09,95.219,
2009-10,92.006,
2009-11,96.675,
2009-12,87.635,
2010-01,86.204,
2010-02,82.146,
2010-03,84.183,
2010-04,98.176,
2010-05,93.836,
2010-06,92.890,
2010-07,94.284,
2010-08,100.730,
2010-09,80.128,
2010-10,86.768,
2010-11,106.392,
2010-12,75.868,
2011-01,83.607,
2011-02,98.025,
2011-03,80.340,
2011-04,87.085,
2011-05,96.199,
2011-06,92.602,
2011-07,94.174,
2011-08,108.717,
2011-09,111.398,
2011-10,143.074,
2011-11,139.362,
2011-12,109.501,
2012-01,130.462,
2012-02,126.572,
2012-03,115.840,
2012-04,116.943,
2012-05,112.327,
2012-06,108.090,
2012-07,138.357,
2012-08,135.134,
2012-09,125.792,
2012-10,141.298,
2012-11,128.588,
2012-12,110.765,
2013-01,135.205,
2013-02,132.517,
2013-03,123.195,
2013-04,121.857,
2013-05,122.534,
2013-06,133.266,
2013-07,119.742,
2013-08,21.286,
2013-09,22.354,
2013-10,22.163,
2013-11,20.770,
2013-12,20.581,
2014-01,20.349,
2014-02,20.965,
2014-03,21.220,
2014-04,20.852,
2014-05,21.145,
2014-06,19.964,
2014-07,19.597,
2014-08,18.644,
2014-09,21.924,
2014-10,19.901,
2014-11,21.636,
2014-12,21.778,Provisional value
