"",BBK01.WZ3500,BBK01.WZ3500_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 30.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:28,
2000-01,6.45,
2000-02,6.20,
2000-03,5.96,
2000-04,5.80,
2000-05,5.55,
2000-06,5.62,
2000-07,5.53,
2000-08,5.59,
2000-09,5.92,
2000-10,5.89,
2000-11,5.74,
2000-12,5.78,
2001-01,5.78,
2001-02,5.78,
2001-03,5.78,
2001-04,5.92,
2001-05,6.08,
2001-06,5.99,
2001-07,5.81,
2001-08,5.85,
2001-09,6.01,
2001-10,5.60,
2001-11,5.46,
2001-12,5.62,
2002-01,5.49,
2002-02,5.61,
2002-03,5.85,
2002-04,5.85,
2002-05,5.73,
2002-06,5.54,
2002-07,5.53,
2002-08,5.34,
2002-09,5.29,
2002-10,5.56,
2002-11,5.44,
2002-12,5.25,
2003-01,5.08,
2003-02,5.19,
2003-03,5.32,
2003-04,5.31,
2003-05,4.97,
2003-06,5.19,
2003-07,5.36,
2003-08,5.26,
2003-09,5.26,
2003-10,5.41,
2003-11,5.38,
2003-12,5.27,
2004-01,5.33,
2004-02,5.23,
2004-03,5.17,
2004-04,5.35,
2004-05,5.36,
2004-06,5.31,
2004-07,5.26,
2004-08,5.14,
2004-09,5.00,
2004-10,4.90,
2004-11,4.74,
2004-12,4.66,
2005-01,4.30,
2005-02,4.41,
2005-03,4.37,
2005-04,4.26,
2005-05,4.12,
2005-06,3.94,
2005-07,3.95,
2005-08,3.82,
2005-09,3.88,
2005-10,4.03,
2005-11,4.04,
2005-12,3.81,
2006-01,3.91,
2006-02,3.88,
2006-03,4.11,
2006-04,4.35,
2006-05,4.40,
2006-06,4.47,
2006-07,4.35,
2006-08,4.17,
2006-09,3.95,
2006-10,3.97,
2006-11,3.95,
2006-12,4.13,
2007-01,4.29,
2007-02,4.17,
2007-03,4.34,
2007-04,4.48,
2007-05,4.62,
2007-06,4.79,
2007-07,4.60,
2007-08,4.71,
2007-09,4.78,
2007-10,4.67,
2007-11,4.78,
2007-12,4.77,
2008-01,4.80,
2008-02,4.82,
2008-03,4.94,
2008-04,4.92,
2008-05,5.10,
2008-06,5.09,
2008-07,4.82,
2008-08,4.61,
2008-09,4.90,
2008-10,4.44,
2008-11,3.81,
2008-12,3.76,
2009-01,4.02,
2009-02,4.00,
2009-03,4.19,
2009-04,4.09,
2009-05,4.65,
2009-06,4.51,
2009-07,4.33,
2009-08,4.31,
2009-09,4.22,
2009-10,4.28,
2009-11,4.21,
2009-12,4.31,
2010-01,4.13,
2010-02,4.05,
2010-03,4.00,
2010-04,3.86,
2010-05,3.54,
2010-06,3.46,
2010-07,3.52,
2010-08,2.73,
2010-09,2.97,
2010-10,3.10,
2010-11,3.21,
2010-12,3.49,
2011-01,3.66,
2011-02,3.65,
2011-03,3.90,
2011-04,3.87,
2011-05,3.70,
2011-06,3.92,
2011-07,3.52,
2011-08,3.33,
2011-09,2.83,
2011-10,3.01,
2011-11,3.08,
2011-12,2.42,
2012-01,2.60,
2012-02,2.52,
2012-03,2.55,
2012-04,2.50,
2012-05,1.89,
2012-06,2.42,
2012-07,2.32,
2012-08,2.23,
2012-09,2.33,
2012-10,2.44,
2012-11,2.37,
2012-12,2.20,
2013-01,2.45,
2013-02,2.38,
2013-03,2.28,
2013-04,2.18,
2013-05,2.43,
2013-06,2.55,
2013-07,2.56,
2013-08,2.72,
2013-09,2.67,
2013-10,2.72,
2013-11,2.73,
2013-12,2.86,
2014-01,2.57,
2014-02,2.60,
2014-03,2.57,
2014-04,2.51,
2014-05,2.38,
2014-06,2.31,
2014-07,2.17,
2014-08,1.88,
2014-09,2.02,
2014-10,1.96,
2014-11,1.80,
2014-12,1.59,
2015-01,1.10,
